Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
9,0.91,0.44,0.15,1.02,-1.12,2.52,1.61,3.19,ARM_SWING
68,0.92,0.46,0.14,1.04,-3.22,5.11,2.17,6.42,ARM_SWING
126,0.86,0.51,0.10,1.00,-7.98,2.59,-7.21,11.06,ARM_SWING
185,0.80,0.55,0.12,0.97,-26.60,-5.46,-22.54,35.29,ARM_SWING
244,0.82,0.58,0.20,1.02,-18.90,-3.08,-28.00,33.92,ARM_SWING
303,0.84,0.64,0.19,1.07,-18.41,5.04,-35.56,40.36,ARM_SWING
363,0.86,0.60,0.18,1.06,-15.12,0.84,-39.83,42.61,ARM_SWING
421,0.84,0.62,0.16,1.06,-28.21,2.31,-48.23,55.92,ARM_SWING
480,0.78,0.58,0.12,0.98,-44.66,-4.06,-47.25,65.14,ARM_SWING
539,0.81,0.72,0.19,1.10,-29.96,-6.16,-35.91,47.17,ARM_SWING
599,0.77,0.78,0.21,1.11,-30.10,-0.07,-48.37,56.97,ARM_SWING
658,0.71,0.75,0.26,1.06,-19.95,6.65,-62.51,65.95,ARM_SWING
718,0.74,0.70,0.23,1.04,0.07,19.39,-69.79,72.43,ARM_SWING
777,0.73,0.72,0.25,1.06,-3.15,22.26,-71.40,74.86,ARM_SWING
836,0.61,0.61,0.28,0.91,-2.24,18.27,-62.37,65.03,ARM_SWING
896,0.57,0.52,0.28,0.82,-14.35,6.02,-42.07,44.86,ARM_SWING
954,0.57,0.48,0.30,0.80,-13.16,-4.55,-8.26,16.19,ARM_SWING
1014,0.59,0.47,0.34,0.82,-22.96,-10.78,34.79,43.05,ARM_SWING
1073,0.62,0.49,0.39,0.88,-27.44,-21.21,67.13,75.56,ARM_SWING
1133,0.71,0.52,0.45,0.98,-28.21,-22.61,96.60,103.14,ARM_SWING
1193,0.79,0.57,0.44,1.07,-23.38,-22.82,116.97,121.45,ARM_SWING
1252,0.85,0.58,0.48,1.13,-38.22,-20.93,112.14,120.31,ARM_SWING
1312,0.90,0.55,0.48,1.16,-21.14,-10.50,91.56,94.55,ARM_SWING
1371,0.90,0.56,0.43,1.15,4.97,-5.81,74.27,74.66,ARM_SWING
