Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
9,-0.37,0.57,0.76,1.02,1.96,2.52,-6.93,7.63,RANDOM_MOVEMENT
67,-0.40,0.55,0.72,0.99,9.31,0.28,-6.23,11.21,RANDOM_MOVEMENT
127,-0.42,0.58,0.73,1.02,7.21,-3.15,-7.70,11.01,RANDOM_MOVEMENT
187,-0.42,0.59,0.74,1.04,11.27,-5.18,-14.35,18.97,RANDOM_MOVEMENT
246,-0.38,0.62,0.81,1.09,6.23,-2.31,-28.42,29.19,RANDOM_MOVEMENT
306,-0.32,0.58,0.81,1.05,24.36,9.31,-25.34,36.36,RANDOM_MOVEMENT
365,-0.42,0.75,0.65,1.08,22.12,-13.86,-19.81,32.77,RANDOM_MOVEMENT
425,-0.23,0.70,0.75,1.05,43.75,-14.84,-27.65,53.84,RANDOM_MOVEMENT
484,-0.11,0.62,0.70,0.94,53.83,-6.02,-33.95,63.93,RANDOM_MOVEMENT
544,-0.13,0.76,0.73,1.06,35.70,-21.70,-55.93,69.81,RANDOM_MOVEMENT
604,-0.21,0.64,0.72,0.99,10.57,-41.09,-55.02,69.48,RANDOM_MOVEMENT
663,-0.34,0.50,0.74,0.95,-7.63,-75.88,-41.09,86.63,RANDOM_MOVEMENT
723,-0.28,0.39,0.72,0.87,-11.34,-83.65,-14.42,85.64,RANDOM_MOVEMENT
782,-0.32,0.27,0.97,1.06,-9.66,-53.06,29.61,61.53,RANDOM_MOVEMENT
842,-0.33,0.34,1.11,1.20,-17.15,-6.72,79.80,81.90,RANDOM_MOVEMENT
901,-0.37,0.44,1.12,1.26,-18.48,65.52,130.06,146.80,RANDOM_MOVEMENT
961,-0.32,0.67,0.88,1.15,-13.58,119.70,158.48,199.07,RANDOM_MOVEMENT
1021,-0.38,0.81,0.53,1.04,-22.68,117.53,157.29,197.66,RANDOM_MOVEMENT
1080,-0.34,0.96,0.40,1.10,-78.54,107.73,107.87,171.49,RANDOM_MOVEMENT
1140,-0.36,1.03,0.47,1.19,-159.74,81.62,39.83,183.75,RANDOM_MOVEMENT
1199,-0.44,0.47,0.74,0.98,-57.96,57.12,45.01,92.99,RANDOM_MOVEMENT
1259,-0.43,0.57,0.70,1.00,4.27,41.23,50.19,65.09,RANDOM_MOVEMENT
1318,-0.49,0.39,0.81,1.02,25.97,33.25,56.91,70.84,RANDOM_MOVEMENT
1378,-0.54,0.46,0.88,1.13,7.63,45.92,68.74,83.02,RANDOM_MOVEMENT
1438,-0.52,0.47,0.67,0.97,-61.46,60.34,61.39,105.77,RANDOM_MOVEMENT
1497,-0.50,0.46,0.79,1.04,-44.03,54.53,68.74,98.17,RANDOM_MOVEMENT
1557,-0.49,0.46,0.62,0.91,-52.50,46.41,62.30,93.76,RANDOM_MOVEMENT
1616,-0.58,0.49,0.59,0.97,-41.09,18.69,57.82,73.35,RANDOM_MOVEMENT
1676,-0.50,0.54,0.74,1.05,-33.39,-2.10,51.87,61.72,RANDOM_MOVEMENT
1735,-0.45,0.58,0.71,1.02,-6.09,-10.50,40.39,42.17,RANDOM_MOVEMENT
1795,-0.38,0.79,0.59,1.06,13.09,-37.24,17.57,43.21,RANDOM_MOVEMENT
1855,-0.53,0.62,0.71,1.08,-25.48,-56.00,-22.75,65.60,RANDOM_MOVEMENT
1914,-0.54,0.59,0.74,1.09,-8.89,-36.75,-45.29,59.00,RANDOM_MOVEMENT
1974,-0.45,0.68,0.75,1.11,44.87,-49.14,-66.29,93.93,RANDOM_MOVEMENT
2033,-0.39,0.87,0.67,1.17,121.66,-42.35,-103.53,165.27,RANDOM_MOVEMENT
2093,-0.31,0.81,0.66,1.09,102.06,-44.80,-145.25,183.09,RANDOM_MOVEMENT
