Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
9,0.78,0.36,0.48,0.98,-4.20,-4.34,12.25,13.66,STILL
68,0.75,0.41,0.50,0.99,0.84,-0.14,5.11,5.18,STILL
126,0.72,0.44,0.51,0.99,12.32,7.21,-9.80,17.31,STILL
185,0.74,0.45,0.59,1.04,20.93,22.26,-26.60,40.51,STILL
244,0.73,0.46,0.51,1.01,39.06,34.37,-37.24,63.98,STILL
304,0.66,0.50,0.44,0.94,27.93,9.52,-44.73,53.59,STILL
363,0.66,0.48,0.43,0.92,1.82,-18.06,-47.32,50.68,STILL
421,0.69,0.48,0.42,0.94,-13.09,-29.26,-21.42,38.55,STILL
481,0.75,0.47,0.41,0.97,-22.75,-38.85,-22.68,50.41,STILL
539,0.86,0.52,0.43,1.10,-14.35,-28.42,-11.41,33.82,STILL
598,0.87,0.58,0.39,1.12,-18.55,-16.94,-16.45,30.03,STILL
658,0.75,0.56,0.34,1.00,-23.94,-29.19,-19.04,42.28,STILL
716,0.75,0.59,0.35,1.02,-35.42,-28.56,-0.98,45.51,STILL
776,0.77,0.60,0.32,1.03,-21.42,-23.94,11.20,34.02,STILL
834,0.77,0.60,0.34,1.03,-17.57,-23.17,13.16,31.92,STILL
893,0.80,0.58,0.37,1.05,-10.08,-16.52,12.46,23.02,STILL
952,0.80,0.56,0.38,1.04,-1.33,-9.38,8.68,12.85,STILL
1011,0.79,0.54,0.39,1.03,0.70,-1.40,3.29,3.64,STILL
1070,0.78,0.52,0.40,1.02,0.70,3.85,0.28,3.92,STILL
1128,0.79,0.48,0.42,1.01,11.55,7.98,2.80,14.32,STILL
1187,0.77,0.48,0.39,0.98,14.56,17.22,6.02,23.34,STILL
1245,0.80,0.48,0.40,1.01,9.38,15.12,13.30,22.21,STILL
1304,0.74,0.51,0.39,0.98,13.79,3.78,19.81,24.43,STILL
1363,0.71,0.52,0.44,0.99,-7.00,-4.27,14.28,16.47,STILL
1422,0.77,0.49,0.47,1.03,-2.52,-3.01,15.61,16.10,STILL
1481,0.79,0.54,0.46,1.06,8.12,5.25,9.87,13.82,STILL
1539,0.78,0.50,0.45,1.03,0.70,5.95,1.61,6.20,STILL
1598,0.77,0.48,0.45,1.01,4.55,1.19,0.77,4.77,STILL
1657,0.76,0.46,0.43,0.99,-7.28,-0.49,-9.80,12.22,STILL
1715,0.79,0.44,0.45,1.01,-12.04,-4.34,-17.85,21.96,STILL
1774,0.82,0.41,0.48,1.03,-4.48,14.77,-21.91,26.80,STILL
1833,0.78,0.40,0.47,1.00,6.79,1.96,-19.18,20.44,STILL
1892,0.70,0.41,0.45,0.92,4.20,-1.05,-20.02,20.48,STILL
1950,0.70,0.40,0.47,0.93,-2.10,-6.02,-13.44,14.88,STILL
2009,0.75,0.43,0.47,0.98,-2.59,-8.54,-0.14,8.93,STILL
2068,0.77,0.44,0.47,1.00,-9.10,-4.48,8.26,13.08,STILL
2126,0.75,0.51,0.42,1.01,-6.23,-2.45,7.91,10.36,STILL
2185,0.79,0.50,0.45,1.04,-17.71,-0.70,-1.33,17.77,STILL
2243,0.76,0.49,0.45,1.01,8.19,1.40,0.21,8.31,STILL
2302,0.77,0.50,0.43,1.01,3.99,-3.15,0.07,5.08,STILL
2361,0.76,0.48,0.43,1.00,10.01,-3.43,3.71,11.21,STILL
2419,0.74,0.51,0.42,0.99,0.77,-8.89,5.46,10.46,STILL
2478,0.75,0.50,0.45,1.01,-5.67,-16.24,10.92,20.37,STILL
2536,0.77,0.50,0.45,1.02,-7.28,-12.67,5.32,15.55,STILL
2595,0.79,0.49,0.46,1.03,-5.74,-6.02,1.61,8.47,STILL
2655,0.80,0.50,0.43,1.04,4.90,-2.73,-3.15,6.43,STILL
2713,0.79,0.47,0.42,1.01,2.03,-1.68,-8.26,8.67,STILL
2772,0.77,0.45,0.39,0.97,0.77,-4.20,-6.93,8.14,STILL
2830,0.78,0.46,0.41,0.99,-1.19,-8.05,-2.59,8.54,STILL
2889,0.81,0.45,0.42,1.01,-0.63,-6.58,-0.63,6.64,STILL
2948,0.80,0.46,0.42,1.01,-0.91,-5.81,-4.62,7.48,STILL
3007,0.78,0.45,0.42,1.00,-3.36,-6.30,1.33,7.26,STILL
3066,0.78,0.47,0.41,1.00,-2.59,-3.57,0.21,4.42,STILL
3125,0.79,0.49,0.41,1.01,-3.85,-6.09,1.05,7.28,STILL
3184,0.80,0.48,0.41,1.02,-2.52,-3.29,-1.82,4.53,STILL
3242,0.78,0.48,0.39,1.00,-2.87,-5.18,-2.45,6.41,STILL
3301,0.79,0.48,0.41,1.01,-6.44,-8.96,0.28,11.04,STILL
3360,0.79,0.48,0.43,1.02,-8.19,-9.24,-1.26,12.41,STILL
3418,0.78,0.47,0.44,1.01,-4.06,-5.04,-4.34,7.79,STILL
3476,0.78,0.47,0.44,1.01,3.08,-0.07,-2.59,4.02,STILL
3534,0.79,0.48,0.44,1.03,5.11,6.93,-11.76,14.58,STILL
3593,0.77,0.44,0.42,0.98,4.06,8.61,-11.27,14.75,STILL
3653,0.76,0.46,0.39,0.97,7.07,3.85,-0.84,8.09,STILL
3711,0.79,0.48,0.39,1.00,-1.40,-1.47,0.63,2.13,STILL
3770,0.80,0.49,0.40,1.02,-3.85,-5.25,-2.73,7.06,STILL
3829,0.79,0.48,0.40,1.01,-0.56,-5.67,0.49,5.72,STILL
3888,0.77,0.48,0.41,1.00,-0.77,-5.60,0.70,5.70,STILL
3947,0.77,0.47,0.40,0.98,-3.92,-4.48,-1.47,6.13,STILL
4006,0.78,0.45,0.40,0.99,-2.94,-7.35,2.66,8.35,STILL
4065,0.77,0.44,0.40,0.97,-9.31,-10.29,2.17,14.05,STILL
4124,0.80,0.44,0.42,1.00,-9.03,-8.47,4.48,13.17,STILL
4184,0.83,0.46,0.43,1.04,-1.54,-6.79,10.43,12.54,STILL
4242,0.82,0.47,0.42,1.04,4.55,-0.63,6.30,7.80,STILL
4302,0.79,0.46,0.41,1.00,2.59,-3.15,4.48,6.06,STILL
4361,0.78,0.45,0.41,0.99,2.87,-2.59,7.14,8.12,STILL
4419,0.81,0.48,0.41,1.03,-2.73,-8.40,8.96,12.58,STILL
4478,0.82,0.51,0.43,1.05,0.42,-5.39,1.26,5.55,STILL
4536,0.80,0.49,0.44,1.03,-0.49,0.49,-5.95,5.99,STILL
4595,0.78,0.48,0.43,1.01,2.94,3.15,-8.82,9.82,STILL
4654,0.79,0.48,0.44,1.02,6.16,6.30,-9.38,12.87,STILL
4712,0.78,0.47,0.44,1.01,2.66,6.09,-12.60,14.25,STILL
4771,0.79,0.45,0.44,1.00,2.59,12.46,-9.03,15.60,STILL
4829,0.80,0.45,0.44,1.01,7.07,10.36,-7.35,14.54,STILL
4888,0.79,0.46,0.43,1.01,6.23,10.01,-5.95,13.21,STILL
4947,0.78,0.45,0.43,1.00,3.99,13.51,-0.98,14.12,STILL
5005,0.77,0.46,0.43,1.00,4.83,7.42,0.07,8.85,STILL
5064,0.78,0.44,0.41,0.99,8.26,5.95,4.48,11.12,STILL
5122,0.82,0.43,0.38,1.01,15.96,1.96,14.28,21.51,STILL
5181,0.77,0.47,0.38,0.98,5.81,-5.25,20.23,21.69,STILL
5240,0.75,0.45,0.43,0.97,-10.43,-10.92,13.79,20.45,STILL
5298,0.78,0.44,0.47,1.01,7.28,2.31,17.57,19.16,STILL
5357,0.79,0.48,0.44,1.02,20.37,5.46,12.74,24.64,STILL
5415,0.78,0.47,0.42,1.00,10.50,0.35,9.66,14.27,STILL
5474,0.76,0.46,0.41,0.98,-10.01,-8.40,5.67,14.24,STILL
5533,0.77,0.45,0.45,1.00,-17.08,-11.13,7.84,21.84,STILL
5592,0.79,0.48,0.47,1.04,-6.72,-0.84,8.96,11.23,STILL
5651,0.78,0.52,0.45,1.04,6.30,1.05,-1.75,6.62,STILL
5709,0.77,0.52,0.44,1.03,2.10,-0.49,-9.31,9.56,STILL
5768,0.76,0.48,0.45,1.01,-6.30,-2.17,-14.42,15.89,STILL
5827,0.77,0.49,0.43,1.01,-4.27,-0.91,-16.38,16.95,STILL
5886,0.81,0.47,0.44,1.03,6.86,2.17,-19.53,20.81,STILL
5945,0.79,0.47,0.41,1.01,5.74,-0.14,-24.71,25.37,STILL
6004,0.77,0.46,0.41,0.99,0.98,-9.31,-15.75,18.32,STILL
6063,0.79,0.45,0.42,1.00,-0.84,-6.65,-15.68,17.05,STILL
6123,0.78,0.43,0.42,0.99,-4.62,-5.81,-8.19,11.05,STILL
6182,0.76,0.43,0.42,0.97,-5.53,-8.47,-4.41,11.03,STILL
6241,0.77,0.45,0.43,0.99,-4.62,-9.80,3.01,11.24,STILL
6299,0.77,0.48,0.42,1.00,-3.71,-9.38,6.65,12.08,STILL
6358,0.79,0.48,0.44,1.02,-4.41,-10.85,7.35,13.83,STILL
6416,0.76,0.49,0.44,1.00,-6.44,-7.70,9.87,14.08,STILL
6476,0.76,0.49,0.44,1.00,-2.24,-4.06,10.15,11.16,STILL
6534,0.75,0.50,0.43,1.00,2.03,-1.54,4.55,5.21,STILL
6593,0.77,0.49,0.42,1.00,12.88,2.10,-2.52,13.29,STILL
6653,0.78,0.49,0.37,0.99,23.38,-2.17,2.31,23.59,STILL
6711,0.76,0.51,0.36,0.99,-0.84,-10.08,1.33,10.20,STILL
6770,0.77,0.50,0.40,1.00,-7.63,-12.18,0.91,14.40,STILL
6829,0.80,0.50,0.40,1.02,-1.40,-9.59,1.68,9.84,STILL
6888,0.80,0.52,0.39,1.03,-0.35,-6.30,1.61,6.51,STILL
6947,0.78,0.50,0.38,1.00,-9.94,-6.23,-1.61,11.84,STILL
7006,0.79,0.47,0.38,0.99,-1.12,-5.81,-2.31,6.35,STILL
7065,0.81,0.48,0.38,1.01,1.61,-4.76,0.56,5.06,STILL
7122,0.81,0.49,0.38,1.02,-2.38,-7.07,3.57,8.27,STILL
7181,0.83,0.47,0.39,1.03,-3.15,-5.60,-0.84,6.48,STILL
7240,0.82,0.45,0.40,1.02,2.03,-1.05,0.35,2.31,STILL
7298,0.82,0.44,0.39,1.01,3.71,0.56,1.61,4.08,STILL
7357,0.81,0.43,0.37,0.99,3.78,3.78,3.08,6.17,STILL
7415,0.80,0.41,0.35,0.97,6.72,7.56,6.02,11.77,STILL
