Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
9,0.93,0.47,0.15,1.05,-13.09,-12.11,-2.94,18.07,WALKING_IN_PLACE
68,0.93,0.49,0.17,1.07,-16.24,-12.88,-8.82,22.53,WALKING_IN_PLACE
127,0.89,0.49,0.16,1.03,-21.77,-11.13,-14.77,28.57,WALKING_IN_PLACE
187,0.84,0.56,0.15,1.02,-24.22,-13.02,-22.54,35.56,WALKING_IN_PLACE
247,0.79,0.62,0.14,1.01,-34.51,-20.86,-33.39,52.35,WALKING_IN_PLACE
306,0.83,0.65,0.18,1.07,-38.92,-20.79,-44.17,62.43,WALKING_IN_PLACE
366,0.83,0.70,0.15,1.10,-38.36,-9.38,-57.33,69.61,WALKING_IN_PLACE
425,0.80,0.58,0.14,1.00,-40.04,-0.07,-59.01,71.31,WALKING_IN_PLACE
485,0.79,0.64,0.12,1.03,-10.85,4.34,-46.20,47.65,WALKING_IN_PLACE
544,0.78,0.59,0.09,0.99,-30.87,5.88,-47.88,57.27,WALKING_IN_PLACE
604,0.80,0.56,0.08,0.98,-10.08,1.40,-25.62,27.57,WALKING_IN_PLACE
664,0.80,0.59,0.13,1.00,-22.05,-5.25,-29.26,37.01,WALKING_IN_PLACE
723,0.79,0.47,0.21,0.94,-23.17,2.66,-19.32,30.29,WALKING_IN_PLACE
783,0.82,0.47,0.23,0.98,-9.94,8.54,7.84,15.27,WALKING_IN_PLACE
842,0.82,0.46,0.23,0.97,-6.79,11.97,35.98,38.52,WALKING_IN_PLACE
902,0.90,0.49,0.30,1.07,-19.25,10.50,68.88,72.29,WALKING_IN_PLACE
961,0.87,0.48,0.31,1.04,-24.22,8.26,77.84,81.94,WALKING_IN_PLACE
1021,0.80,0.51,0.29,0.99,-24.64,5.04,72.73,76.96,WALKING_IN_PLACE
1081,0.82,0.49,0.33,1.01,-14.28,1.68,70.91,72.35,WALKING_IN_PLACE
1140,0.81,0.52,0.36,1.03,-4.06,-3.92,56.70,56.98,WALKING_IN_PLACE
1200,0.78,0.50,0.40,1.01,2.03,-3.78,40.60,40.83,WALKING_IN_PLACE
1259,0.66,0.54,0.43,0.96,9.45,-4.62,25.34,27.44,WALKING_IN_PLACE
1319,0.64,0.55,0.44,0.95,3.78,-3.85,7.70,9.40,WALKING_IN_PLACE
1378,0.69,0.62,0.43,1.03,2.87,-7.56,-20.86,22.37,WALKING_IN_PLACE
1439,0.81,0.67,0.39,1.13,-12.04,-22.75,-49.77,56.03,WALKING_IN_PLACE
1499,0.94,0.59,0.43,1.19,-26.11,-17.50,-70.70,77.37,WALKING_IN_PLACE
1558,0.80,0.58,0.32,1.04,-10.78,-5.11,-89.95,90.74,WALKING_IN_PLACE
1618,0.81,0.56,0.34,1.04,-6.16,-1.68,-100.52,100.72,WALKING_IN_PLACE
1677,0.88,0.72,0.33,1.18,5.46,0.91,-89.81,89.98,WALKING_IN_PLACE
1737,0.88,0.69,0.31,1.16,-15.61,7.07,-84.84,86.55,WALKING_IN_PLACE
1796,0.85,0.64,0.31,1.11,-5.74,10.22,-69.79,70.77,WALKING_IN_PLACE
1856,0.72,0.57,0.27,0.96,-4.20,7.84,-59.43,60.09,WALKING_IN_PLACE
1916,0.61,0.48,0.25,0.82,-17.64,7.21,-46.83,50.56,WALKING_IN_PLACE
1975,0.60,0.44,0.23,0.78,-8.12,13.93,-12.32,20.29,WALKING_IN_PLACE
2035,0.64,0.50,0.22,0.84,-5.95,12.04,32.06,34.76,WALKING_IN_PLACE
2094,0.71,0.51,0.30,0.93,0.28,2.66,71.47,71.52,WALKING_IN_PLACE
2154,0.64,0.58,0.32,0.92,9.66,-10.57,78.89,80.18,WALKING_IN_PLACE
2213,0.73,0.61,0.39,1.03,-18.06,-20.86,66.01,71.54,WALKING_IN_PLACE
2273,0.88,0.54,0.50,1.15,-1.40,-7.42,77.07,77.44,WALKING_IN_PLACE
2333,0.89,0.60,0.48,1.17,35.21,10.57,92.19,99.25,WALKING_IN_PLACE
2392,0.81,0.61,0.42,1.10,35.56,7.98,85.05,92.53,WALKING_IN_PLACE
2452,0.83,0.62,0.44,1.12,2.38,-5.32,65.17,65.43,WALKING_IN_PLACE
2511,0.84,0.54,0.47,1.11,6.09,-5.39,50.05,50.71,WALKING_IN_PLACE
2571,0.77,0.55,0.45,1.04,16.03,-1.12,36.82,40.17,WALKING_IN_PLACE
2630,0.66,0.56,0.42,0.96,9.10,-9.24,22.05,25.58,WALKING_IN_PLACE
2690,0.68,0.64,0.46,1.05,1.05,-6.58,4.90,8.27,WALKING_IN_PLACE
2750,0.75,0.63,0.45,1.08,-12.11,-7.07,-17.99,22.81,WALKING_IN_PLACE
2809,0.78,0.68,0.46,1.13,-9.17,-1.47,-49.00,49.87,WALKING_IN_PLACE
2869,0.81,0.52,0.29,1.01,2.10,-0.56,-67.76,67.79,WALKING_IN_PLACE
2928,0.79,0.58,0.31,1.03,-3.36,-13.65,-78.12,79.37,WALKING_IN_PLACE
2989,0.84,0.51,0.21,1.01,-36.68,-25.55,-73.15,85.73,WALKING_IN_PLACE
3048,0.89,0.55,0.37,1.11,-30.80,-28.70,-66.57,78.76,WALKING_IN_PLACE
3108,0.92,0.60,0.30,1.14,-28.77,-19.95,-62.23,71.40,WALKING_IN_PLACE
3167,0.90,0.59,0.34,1.13,-9.03,-7.98,-54.95,56.26,WALKING_IN_PLACE
