
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.913,-0.712,-0.014,1.158,-21.8,10.8,62.7,67.25,ARM_SWING
50,0.943,-0.675,-0.022,1.160,-37.1,31.0,76.2,90.24,ARM_SWING
100,0.950,-0.593,-0.028,1.120,-46.4,38.0,89.3,107.57,ARM_SWING
150,0.919,-0.561,-0.068,1.079,-40.8,32.4,90.8,104.69,ARM_SWING
200,0.864,-0.509,-0.101,1.008,-35.7,22.6,80.8,91.18,ARM_SWING
250,0.803,-0.454,-0.079,0.926,-31.0,28.2,61.5,74.42,ARM_SWING
300,0.747,-0.429,-0.068,0.864,-17.3,19.9,39.4,47.41,ARM_SWING
350,0.714,-0.462,-0.136,0.861,-13.5,12.3,8.4,20.10,ARM_SWING
400,0.745,-0.424,-0.095,0.862,-30.1,7.2,-24.4,39.41,ARM_SWING
450,0.756,-0.503,-0.082,0.912,4.9,-6.0,-40.3,41.04,ARM_SWING
500,0.794,-0.508,-0.094,0.947,9.1,0.7,-59.5,60.20,ARM_SWING
550,0.845,-0.552,-0.062,1.011,18.7,-11.9,-69.0,72.47,ARM_SWING
600,0.893,-0.577,-0.080,1.066,27.2,-15.4,-68.8,75.57,ARM_SWING
650,0.924,-0.596,-0.086,1.103,39.2,-24.7,-60.6,76.28,ARM_SWING
700,0.914,-0.629,-0.067,1.112,53.4,-29.2,-49.4,78.39,ARM_SWING
750,0.896,-0.606,-0.047,1.083,71.3,-29.4,-48.7,91.21,ARM_SWING
800,0.854,-0.640,-0.042,1.068,62.7,-25.3,-48.7,83.33,ARM_SWING
850,0.827,-0.661,-0.067,1.061,23.1,-18.5,-41.7,51.13,ARM_SWING
900,0.796,-0.640,-0.084,1.025,15.6,-22.5,-35.0,44.44,ARM_SWING
950,0.753,-0.665,-0.085,1.008,15.1,-23.5,-26.8,38.71,ARM_SWING
1000,0.749,-0.686,-0.084,1.019,8.5,-19.3,-14.0,25.31,ARM_SWING
1050,0.731,-0.710,-0.070,1.021,-0.8,-14.0,0.3,14.03,ARM_SWING
1100,0.754,-0.710,-0.059,1.037,-17.5,-8.1,14.4,24.07,ARM_SWING
1150,0.797,-0.674,-0.074,1.046,-29.7,-0.9,27.6,40.55,ARM_SWING
1200,0.852,-0.680,-0.065,1.092,-16.2,-5.9,42.4,45.77,ARM_SWING
1250,0.906,-0.709,-0.023,1.151,-7.9,5.6,66.5,67.20,ARM_SWING
1300,0.954,-0.650,-0.028,1.155,-23.8,19.6,81.4,87.04,ARM_SWING
1350,0.941,-0.622,-0.045,1.129,-32.0,28.3,90.3,99.89,ARM_SWING
1400,0.915,-0.552,-0.086,1.072,-33.1,25.1,92.3,101.22,ARM_SWING
1450,0.853,-0.512,-0.076,0.998,-38.5,33.0,82.6,96.92,ARM_SWING
1500,0.809,-0.510,-0.131,0.965,-32.7,23.7,66.7,77.97,ARM_SWING
1550,0.763,-0.471,-0.113,0.904,-21.8,14.7,45.5,52.55,ARM_SWING
1600,0.723,-0.448,-0.141,0.862,-8.4,3.1,22.1,23.84,ARM_SWING
1650,0.712,-0.479,-0.163,0.873,-9.5,-2.8,1.1,9.96,ARM_SWING
1700,0.732,-0.505,-0.178,0.907,6.6,-5.8,-26.1,27.54,ARM_SWING
