
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.599,-0.581,-0.338,0.900,2.8,-30.0,27.7,40.93,ARM_SWING
50,0.606,-0.573,-0.345,0.903,0.4,-15.9,8.7,18.13,ARM_SWING
100,0.586,-0.543,-0.319,0.860,-1.0,-6.3,-4.9,8.04,ARM_SWING
150,0.605,-0.499,-0.328,0.850,-2.1,0.8,-24.9,25.00,ARM_SWING
200,0.623,-0.526,-0.349,0.887,5.3,6.6,-41.6,42.45,ARM_SWING
250,0.668,-0.545,-0.344,0.928,3.8,22.3,-57.8,62.07,ARM_SWING
300,0.728,-0.571,-0.345,0.987,-3.2,32.2,-66.3,73.78,ARM_SWING
350,0.789,-0.551,-0.377,1.034,-12.8,43.3,-70.4,83.64,ARM_SWING
400,0.821,-0.547,-0.386,1.059,-9.0,35.1,-74.8,83.11,ARM_SWING
450,0.871,-0.540,-0.367,1.089,8.6,18.2,-68.8,71.68,ARM_SWING
500,0.871,-0.544,-0.347,1.084,21.4,13.1,-61.9,66.79,ARM_SWING
550,0.849,-0.517,-0.301,1.039,32.9,6.5,-52.6,62.38,ARM_SWING
600,0.830,-0.494,-0.303,1.012,34.4,3.7,-48.8,59.82,ARM_SWING
650,0.829,-0.475,-0.292,0.999,31.0,-1.8,-40.8,51.27,ARM_SWING
700,0.827,-0.462,-0.286,0.990,30.4,-5.2,-34.4,46.20,ARM_SWING
750,0.797,-0.456,-0.314,0.970,22.0,1.1,-28.4,35.94,ARM_SWING
800,0.840,-0.445,-0.360,1.016,5.8,4.4,-20.5,21.75,ARM_SWING
850,0.898,-0.409,-0.319,1.037,15.4,-7.5,-14.1,22.19,ARM_SWING
900,0.890,-0.398,-0.300,1.020,17.0,-16.5,-0.6,23.70,ARM_SWING
950,0.842,-0.349,-0.302,0.960,20.0,-16.7,4.4,26.42,ARM_SWING
1000,0.797,-0.423,-0.349,0.967,20.5,-16.4,7.0,27.17,ARM_SWING
1050,0.703,-0.524,-0.353,0.945,16.5,-23.2,14.0,31.73,ARM_SWING
1100,0.790,-0.609,-0.418,1.082,4.1,-22.6,28.9,36.92,ARM_SWING
1150,0.843,-0.627,-0.404,1.126,-10.8,-25.7,51.0,58.12,ARM_SWING
1200,0.843,-0.591,-0.359,1.090,-19.2,-23.8,62.5,69.58,ARM_SWING
1250,0.817,-0.602,-0.318,1.063,-39.3,-13.3,71.9,83.01,ARM_SWING
1300,0.833,-0.562,-0.331,1.058,-35.7,-18.9,75.8,85.89,ARM_SWING
1350,0.799,-0.542,-0.355,1.029,-22.1,-25.3,72.3,79.72,ARM_SWING
1400,0.788,-0.551,-0.448,1.061,-16.3,-35.2,70.8,80.73,ARM_SWING
1450,0.796,-0.569,-0.389,1.053,-18.1,-30.0,64.0,72.96,ARM_SWING
1500,0.745,-0.583,-0.431,1.040,-10.4,-25.8,69.3,74.67,ARM_SWING
1550,0.700,-0.602,-0.465,1.034,-5.4,-22.4,71.4,75.03,ARM_SWING
1600,0.645,-0.616,-0.448,0.998,-10.0,-3.5,70.2,70.99,ARM_SWING
1650,0.590,-0.638,-0.417,0.964,-3.4,-24.9,72.5,76.73,ARM_SWING
1700,0.549,-0.654,-0.354,0.924,-0.5,-11.9,66.0,67.07,ARM_SWING
1750,0.492,-0.629,-0.394,0.890,-7.7,-8.1,57.6,58.67,ARM_SWING
1800,0.489,-0.581,-0.365,0.843,-11.2,3.1,40.8,42.42,ARM_SWING
1850,0.438,-0.563,-0.320,0.782,-15.4,15.1,23.3,31.75,ARM_SWING
1900,0.442,-0.552,-0.422,0.823,0.8,20.1,1.1,20.15,ARM_SWING
1950,0.424,-0.582,-0.468,0.859,1.3,17.6,-20.0,26.67,ARM_SWING
2000,0.449,-0.637,-0.457,0.903,19.6,16.3,-41.3,48.53,ARM_SWING
2050,0.493,-0.722,-0.476,0.995,12.2,23.0,-50.5,56.82,ARM_SWING
2100,0.539,-0.707,-0.517,1.028,10.8,20.0,-50.9,55.74,ARM_SWING
2150,0.525,-0.697,-0.700,1.119,10.2,18.9,-59.0,62.79,ARM_SWING
2200,0.582,-0.701,-0.502,1.040,-8.1,12.8,-62.3,64.12,ARM_SWING
2250,0.603,-0.665,-0.466,1.011,2.5,14.4,-64.4,66.04,ARM_SWING
2300,0.668,-0.570,-0.438,0.981,19.9,11.5,-72.5,76.06,ARM_SWING
2350,0.721,-0.549,-0.366,0.977,24.6,7.6,-87.0,90.73,ARM_SWING
2400,0.769,-0.578,-0.334,1.018,26.4,6.5,-90.7,94.69,ARM_SWING
2450,0.789,-0.591,-0.345,1.044,30.3,7.7,-85.6,91.13,ARM_SWING
2500,0.826,-0.606,-0.380,1.093,34.8,7.3,-78.8,86.45,ARM_SWING
2550,0.829,-0.584,-0.345,1.071,29.1,5.0,-72.1,77.91,ARM_SWING
2600,0.835,-0.532,-0.333,1.045,34.0,3.2,-52.1,62.29,ARM_SWING
2650,0.851,-0.489,-0.285,1.022,20.1,-1.0,-32.9,38.57,ARM_SWING
2700,0.854,-0.435,-0.272,0.996,6.4,-4.0,-13.6,15.55,ARM_SWING
2750,0.861,-0.421,-0.281,0.999,14.4,-5.9,-7.3,17.19,ARM_SWING
2800,0.819,-0.402,-0.283,0.955,1.4,-5.4,-5.1,7.56,ARM_SWING
2850,0.805,-0.445,-0.330,0.977,-5.3,3.5,1.6,6.55,ARM_SWING
2900,0.814,-0.508,-0.390,1.036,-11.4,1.1,10.1,15.27,ARM_SWING
2950,0.838,-0.528,-0.402,1.069,-6.0,-9.3,24.0,26.43,ARM_SWING
3000,0.848,-0.534,-0.405,1.081,-0.4,-17.1,41.3,44.70,ARM_SWING
3050,0.833,-0.531,-0.386,1.061,-5.1,-20.2,53.7,57.60,ARM_SWING
3100,0.813,-0.503,-0.355,1.020,-18.0,-20.7,54.3,60.84,ARM_SWING
3150,0.854,-0.526,-0.360,1.066,-8.6,-28.6,58.9,66.04,ARM_SWING
3200,0.805,-0.527,-0.316,1.013,-8.7,-29.6,62.2,69.43,ARM_SWING
3250,0.736,-0.508,-0.333,0.954,-11.1,-23.1,60.3,65.52,ARM_SWING
3300,0.725,-0.533,-0.364,0.971,-1.2,-26.5,49.8,56.42,ARM_SWING
3350,0.719,-0.515,-0.255,0.920,28.8,-37.0,44.8,64.85,ARM_SWING
3400,0.718,-0.662,-0.435,1.069,22.1,-41.3,50.8,69.10,ARM_SWING
3450,0.711,-0.698,-0.429,1.085,28.4,-41.5,58.4,77.07,ARM_SWING
3500,0.650,-0.657,-0.475,1.039,24.0,-33.7,65.5,77.47,ARM_SWING
3550,0.573,-0.651,-0.419,0.963,3.8,-19.3,56.8,60.11,ARM_SWING
3600,0.529,-0.582,-0.387,0.877,-7.9,-18.8,44.0,48.50,ARM_SWING
