
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
1,0.789,-0.477,-0.285,0.965,16.8,-6.3,6.0,18.92,ARM_SWING
50,0.784,-0.486,-0.272,0.962,-0.9,-1.4,-0.7,1.81,ARM_SWING
100,0.790,-0.486,-0.267,0.965,3.7,-7.4,-3.0,8.80,ARM_SWING
150,0.777,-0.503,-0.257,0.961,3.0,-3.0,-6.0,7.35,ARM_SWING
200,0.761,-0.522,-0.268,0.961,0.5,3.6,-8.1,8.88,ARM_SWING
250,0.780,-0.535,-0.293,0.990,0.0,4.3,-9.1,10.06,ARM_SWING
300,0.794,-0.549,-0.308,1.013,3.2,3.4,-2.8,5.44,ARM_SWING
350,0.806,-0.553,-0.308,1.025,2.5,4.8,-1.1,5.52,ARM_SWING
400,0.807,-0.541,-0.301,1.017,2.8,3.7,2.5,5.27,ARM_SWING
450,0.833,-0.503,-0.302,1.019,-1.8,-2.8,10.1,10.63,ARM_SWING
500,0.880,-0.463,-0.289,1.036,5.7,-4.5,13.4,15.24,ARM_SWING
550,1.068,-0.430,-0.200,1.169,-4.2,-28.0,9.6,29.90,ARM_SWING
600,1.095,0.128,-0.101,1.107,34.7,-41.1,-30.0,61.59,ARM_SWING
650,0.979,0.007,-0.099,0.984,98.2,-31.5,-70.2,124.75,ARM_SWING
700,0.962,-0.202,-0.149,0.994,75.7,-11.2,-103.9,129.04,ARM_SWING
750,0.950,-0.497,-0.201,1.091,54.1,7.6,-127.1,138.34,ARM_SWING
800,0.840,-0.724,-0.294,1.147,12.4,19.8,-126.9,129.03,ARM_SWING
850,0.800,-0.800,-0.318,1.175,-9.1,13.0,-96.5,97.80,ARM_SWING
900,0.780,-0.850,-0.320,1.197,-12.9,-5.8,-42.9,45.17,ARM_SWING
950,0.754,-0.740,-0.218,1.079,-31.5,-7.5,18.5,37.29,ARM_SWING
1000,0.722,-0.713,-0.283,1.053,-17.0,-8.0,63.1,65.84,ARM_SWING
1050,0.819,-0.667,-0.287,1.095,-18.9,-10.1,84.8,87.47,ARM_SWING
1100,0.923,-0.667,-0.252,1.166,-18.7,-12.8,95.4,98.05,ARM_SWING
1150,1.051,-0.652,-0.256,1.263,-28.1,-19.3,119.7,124.46,ARM_SWING
1200,1.094,-0.618,-0.278,1.287,-27.2,-23.6,132.5,137.31,ARM_SWING
1250,1.086,-0.607,-0.240,1.267,-20.0,-20.5,132.6,135.66,ARM_SWING
1300,1.077,-0.603,-0.251,1.260,-26.8,-12.3,147.5,150.42,ARM_SWING
1350,1.005,-0.510,-0.251,1.155,-46.6,0.0,149.1,156.21,ARM_SWING
1400,0.891,-0.398,-0.277,1.014,-57.3,4.2,128.1,140.39,ARM_SWING
1450,0.819,-0.274,-0.233,0.894,-49.5,1.1,88.6,101.50,ARM_SWING
1500,0.791,-0.111,-0.156,0.814,-24.3,-9.2,39.3,47.11,ARM_SWING
1550,0.756,-0.014,-0.043,0.757,-3.2,-13.3,-37.0,39.45,ARM_SWING
1600,0.827,-0.210,-0.068,0.856,33.1,-5.1,-121.6,126.13,ARM_SWING
1650,0.899,-0.366,-0.121,0.978,48.2,16.0,-156.3,164.34,ARM_SWING
1700,1.030,-0.514,-0.215,1.171,74.8,30.5,-200.0,215.70,ARM_SWING
1750,1.114,-0.759,-0.301,1.381,65.3,31.9,-216.0,227.90,ARM_SWING
1800,1.127,-0.814,-0.325,1.428,10.9,39.0,-197.1,201.22,ARM_SWING
1850,1.237,-0.857,-0.448,1.570,-16.3,39.4,-151.9,157.77,ARM_SWING
1900,0.906,-0.899,-0.403,1.338,-34.3,28.5,-71.9,84.61,ARM_SWING
1950,0.683,-0.833,-0.553,1.211,-23.3,7.0,-7.9,25.58,ARM_SWING
2000,0.622,-0.793,-0.382,1.078,-40.3,-6.5,19.6,45.28,ARM_SWING
2050,0.674,-0.699,-0.350,1.032,7.5,-24.9,55.3,61.11,ARM_SWING
2100,0.825,-0.688,-0.317,1.120,13.9,-32.1,74.9,82.67,ARM_SWING
2150,0.929,-0.684,-0.251,1.181,-3.7,-31.5,97.7,102.72,ARM_SWING
2200,1.034,-0.720,-0.283,1.291,-47.0,-16.0,121.1,130.88,ARM_SWING
2250,1.237,-0.586,-0.332,1.408,-60.5,-34.8,138.8,155.36,ARM_SWING
2300,1.203,-0.533,-0.286,1.347,-26.1,-43.9,164.5,172.25,ARM_SWING
2350,1.190,-0.504,-0.314,1.330,-8.8,-44.8,176.8,182.60,ARM_SWING
2400,1.005,-0.467,-0.254,1.137,-13.8,-40.0,168.0,173.25,ARM_SWING
2450,0.797,-0.379,-0.221,0.910,-18.8,-35.7,136.9,142.72,ARM_SWING
2500,0.554,-0.286,-0.183,0.650,-22.5,-34.2,83.6,93.09,ARM_SWING
2550,0.470,-0.268,-0.157,0.563,-53.1,-15.2,14.9,57.21,ARM_SWING
2600,0.590,-0.140,-0.165,0.628,-25.0,-14.5,-57.4,64.27,ARM_SWING
2650,0.711,-0.264,-0.172,0.778,14.8,2.8,-118.2,119.16,ARM_SWING
2700,0.836,-0.344,-0.185,0.923,29.5,26.3,-159.1,163.94,ARM_SWING
2750,0.967,-0.472,-0.238,1.102,76.0,38.7,-191.1,209.27,ARM_SWING
2800,1.100,-0.859,-0.426,1.459,96.6,52.9,-190.3,219.87,ARM_SWING
2850,1.048,-1.300,-0.495,1.742,95.6,33.3,-140.0,172.77,ARM_SWING
2900,0.734,-1.312,-0.542,1.598,13.4,24.6,-64.2,70.05,ARM_SWING
2950,0.582,-1.033,-0.495,1.285,-60.9,17.7,-9.3,64.10,ARM_SWING
3000,0.589,-0.732,-0.345,1.001,-66.4,-1.4,14.5,67.98,ARM_SWING
3050,0.409,-0.700,-0.140,0.823,-56.4,0.2,24.2,61.37,ARM_SWING
3100,0.568,-0.631,-0.317,0.906,-32.4,-0.4,16.3,36.27,ARM_SWING
3150,0.616,-0.729,-0.254,0.988,-1.3,-18.7,20.5,27.78,ARM_SWING
3200,0.842,-0.924,-0.322,1.291,41.7,-24.7,39.1,62.27,ARM_SWING
3250,1.006,-0.987,-0.207,1.424,9.1,-21.1,94.7,97.45,ARM_SWING
3300,1.054,-0.767,-0.234,1.324,-11.2,-14.4,131.7,132.96,ARM_SWING
3350,1.003,-0.671,-0.241,1.231,-35.1,-4.1,143.2,147.50,ARM_SWING
