
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.834,-0.479,-0.281,1.002,-8.6,-12.3,63.4,65.15,ARM_SWING
50,0.804,-0.443,-0.261,0.954,-15.1,-11.4,48.3,51.87,ARM_SWING
100,0.786,-0.423,-0.240,0.924,-11.2,-15.8,35.0,40.00,ARM_SWING
150,0.766,-0.452,-0.223,0.917,-31.2,-7.8,17.1,36.42,ARM_SWING
200,0.776,-0.434,-0.249,0.923,-21.7,-1.2,-1.8,21.81,ARM_SWING
250,0.779,-0.453,-0.261,0.938,-9.0,8.1,-22.5,25.55,ARM_SWING
300,0.784,-0.450,-0.279,0.946,-0.9,11.9,-32.6,34.72,ARM_SWING
350,0.806,-0.469,-0.284,0.975,11.4,12.4,-44.8,47.86,ARM_SWING
400,0.823,-0.498,-0.281,1.002,24.4,11.4,-49.7,56.53,ARM_SWING
450,0.824,-0.524,-0.305,1.023,15.8,11.4,-48.0,51.80,ARM_SWING
500,0.829,-0.514,-0.339,1.033,18.5,14.5,-46.2,51.84,ARM_SWING
550,0.821,-0.554,-0.325,1.042,21.4,0.9,-41.7,46.88,ARM_SWING
600,0.782,-0.549,-0.306,1.003,19.4,-0.2,-34.5,39.58,ARM_SWING
650,0.777,-0.568,-0.318,1.014,19.4,-8.0,-28.3,35.23,ARM_SWING
700,0.757,-0.574,-0.314,1.001,13.5,-9.9,-18.9,25.25,ARM_SWING
750,0.732,-0.710,-0.024,1.020,-32.9,-1.7,3.1,33.09,ARM_SWING
800,0.848,-0.555,-0.403,1.091,6.0,-18.7,32.9,38.32,ARM_SWING
850,0.825,-0.541,-0.304,1.032,-16.1,-9.1,23.4,29.83,ARM_SWING
900,0.801,-0.532,-0.277,1.001,19.7,-13.5,35.2,42.54,ARM_SWING
950,0.854,-0.505,-0.274,1.029,5.1,-11.8,43.8,45.65,ARM_SWING
1000,0.838,-0.506,-0.246,1.009,-5.8,-5.9,48.9,49.59,ARM_SWING
1050,0.830,-0.489,-0.246,0.994,-27.5,-5.3,44.5,52.58,ARM_SWING
1100,0.853,-0.454,-0.246,0.997,-31.0,-1.0,40.1,50.70,ARM_SWING
1150,0.865,-0.436,-0.245,0.999,-22.1,-0.6,33.6,40.22,ARM_SWING
1200,0.833,-0.423,-0.236,0.964,-11.1,-2.9,28.5,30.72,ARM_SWING
1250,0.804,-0.396,-0.253,0.931,-13.4,5.3,14.2,20.23,ARM_SWING
1300,0.798,-0.389,-0.277,0.930,-2.1,5.3,-3.0,6.44,ARM_SWING
1350,0.814,-0.409,-0.283,0.954,9.8,-1.9,-24.2,26.18,ARM_SWING
1400,0.814,-0.449,-0.285,0.972,16.8,-1.7,-34.2,38.14,ARM_SWING
1450,0.844,-0.461,-0.290,1.004,15.6,3.9,-46.6,49.30,ARM_SWING
1500,0.842,-0.490,-0.284,1.015,26.8,-3.9,-47.6,54.77,ARM_SWING
1550,0.820,-0.515,-0.282,1.009,30.8,-6.5,-48.1,57.48,ARM_SWING
1600,0.808,-0.540,-0.281,1.012,25.9,-6.5,-45.2,52.50,ARM_SWING
1650,0.794,-0.553,-0.292,1.011,20.5,-6.4,-37.9,43.56,ARM_SWING
1700,0.782,-0.572,-0.290,1.011,14.8,-4.2,-29.4,33.18,ARM_SWING
1750,0.788,-0.584,-0.293,1.024,4.5,-0.2,-14.7,15.37,ARM_SWING
1800,0.820,-0.584,-0.287,1.047,4.1,-7.2,1.0,8.35,ARM_SWING
1850,0.785,-0.608,-0.305,1.039,-8.2,-5.3,23.9,25.82,ARM_SWING
1900,0.806,-0.527,-0.253,0.996,-15.3,-7.3,31.5,35.77,ARM_SWING
1950,0.789,-0.518,-0.240,0.974,-10.2,-2.4,37.0,38.46,ARM_SWING
2000,0.800,-0.538,-0.242,0.994,-19.3,3.0,32.9,38.26,ARM_SWING
2050,0.836,-0.544,-0.240,1.026,-31.7,6.0,35.4,47.90,ARM_SWING
2100,0.919,-0.510,-0.281,1.088,-40.3,1.4,43.7,59.46,ARM_SWING
2150,0.934,-0.458,-0.281,1.078,-22.8,-8.7,57.1,62.10,ARM_SWING
2200,0.883,-0.451,-0.273,1.028,-19.8,-1.7,56.7,60.08,ARM_SWING
2250,0.828,-0.387,-0.266,0.952,-18.9,-3.0,48.2,51.86,ARM_SWING
2300,0.777,-0.345,-0.274,0.893,-15.0,-4.4,25.5,29.91,ARM_SWING
2350,0.765,-0.345,-0.273,0.882,1.4,-4.7,-3.5,6.02,ARM_SWING
2400,0.790,-0.387,-0.272,0.921,9.7,-2.1,-24.2,26.16,ARM_SWING
2450,0.817,-0.442,-0.281,0.970,15.8,0.2,-41.3,44.22,ARM_SWING
2500,0.841,-0.462,-0.273,0.998,26.1,-0.4,-49.7,56.14,ARM_SWING
2550,0.842,-0.495,-0.276,1.015,32.3,4.4,-53.4,62.56,ARM_SWING
2600,0.844,-0.523,-0.278,1.031,31.5,0.7,-55.2,63.56,ARM_SWING
2650,0.810,-0.544,-0.286,1.017,22.2,4.9,-52.7,57.39,ARM_SWING
2700,0.796,-0.556,-0.290,1.013,16.7,-0.4,-45.9,48.85,ARM_SWING
2750,0.805,-0.595,-0.280,1.039,18.7,-10.7,-30.3,37.18,ARM_SWING
2800,0.802,-0.607,-0.264,1.040,4.6,-6.8,-11.2,13.89,ARM_SWING
2850,0.791,-0.604,-0.265,1.030,-7.5,1.3,4.9,9.05,ARM_SWING
2900,0.770,-0.579,-0.311,1.012,-12.8,-1.9,13.5,18.70,ARM_SWING
2950,0.778,-0.554,-0.321,1.008,-22.8,-0.4,26.0,34.58,ARM_SWING
3000,0.838,-0.597,-0.311,1.075,-35.4,2.4,34.6,49.56,ARM_SWING
3050,0.877,-0.563,-0.305,1.086,-17.3,-8.3,54.6,57.87,ARM_SWING
3100,0.893,-0.534,-0.300,1.083,-11.4,-10.4,67.6,69.34,ARM_SWING
3150,0.874,-0.493,-0.292,1.045,-9.0,-21.8,71.8,75.57,ARM_SWING
3200,0.868,-0.440,-0.263,1.008,-10.2,-21.4,63.8,68.06,ARM_SWING
3250,0.829,-0.418,-0.244,0.960,-10.7,-16.1,51.3,54.82,ARM_SWING
3300,0.791,-0.374,-0.228,0.904,-16.4,-8.8,30.5,35.73,ARM_SWING
3350,0.754,-0.362,-0.235,0.869,-11.2,-2.5,8.0,13.99,ARM_SWING
3400,0.752,-0.377,-0.242,0.875,-6.1,5.3,-22.6,24.00,ARM_SWING
3450,0.766,-0.422,-0.261,0.913,4.3,8.9,-42.3,43.44,ARM_SWING
3500,0.799,-0.453,-0.269,0.957,12.3,10.7,-57.6,59.86,ARM_SWING
3550,0.838,-0.489,-0.287,1.012,29.3,9.3,-66.6,73.35,ARM_SWING
3600,0.865,-0.559,-0.296,1.072,26.4,4.6,-64.9,70.21,ARM_SWING
3650,0.857,-0.577,-0.308,1.078,-2.1,14.0,-53.3,55.15,ARM_SWING
3700,0.836,-0.545,-0.328,1.050,7.8,10.2,-41.3,43.25,ARM_SWING
3750,0.807,-0.576,-0.350,1.051,12.6,5.3,-30.4,33.33,ARM_SWING
3800,0.794,-0.579,-0.365,1.048,17.3,-4.3,-18.7,25.84,ARM_SWING
3850,0.788,-0.572,-0.352,1.035,12.1,-11.0,-4.3,16.91,ARM_SWING
3900,0.808,-0.599,-0.292,1.047,-28.8,-4.4,3.2,29.31,ARM_SWING
3950,0.819,-0.506,-0.382,1.036,-3.5,-21.0,27.5,34.78,ARM_SWING
4000,0.804,-0.498,-0.309,0.995,-11.4,-17.6,28.0,34.98,ARM_SWING
4050,0.826,-0.516,-0.306,1.021,16.3,-16.0,30.4,38.02,ARM_SWING
