
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.834,-0.500,-0.211,0.995,11.1,-15.1,-8.8,20.70,ARM_SWING
50,0.820,-0.479,-0.262,0.985,24.9,-18.9,-3.0,31.40,ARM_SWING
100,0.820,-0.481,-0.284,0.992,28.4,-31.2,-2.8,42.28,ARM_SWING
150,0.817,-0.479,-0.272,0.985,29.4,-24.9,-13.4,40.79,ARM_SWING
200,0.763,-0.537,-0.284,0.975,19.0,-12.9,-8.3,24.42,ARM_SWING
250,0.772,-0.464,-0.320,0.956,5.6,-2.7,-6.0,8.64,ARM_SWING
300,0.776,-0.478,-0.312,0.963,17.2,-10.2,-4.6,20.52,ARM_SWING
350,0.817,-0.507,-0.316,1.012,15.5,-7.3,-4.5,17.71,ARM_SWING
400,0.880,-0.415,-0.321,1.025,23.3,-9.8,-10.0,27.18,ARM_SWING
450,0.812,-0.305,-0.310,0.921,31.7,-12.0,-23.0,40.96,ARM_SWING
500,0.779,-0.278,-0.242,0.862,25.6,8.5,-29.1,39.68,ARM_SWING
550,0.776,-0.310,-0.224,0.865,20.9,19.3,-39.5,48.68,ARM_SWING
600,0.798,-0.412,-0.250,0.932,3.8,21.0,-46.3,50.98,ARM_SWING
650,0.878,-0.633,-0.344,1.136,12.5,11.2,-40.4,43.75,ARM_SWING
700,0.858,-0.904,-0.403,1.310,-2.9,4.1,-2.5,5.61,ARM_SWING
750,0.800,-0.875,-0.515,1.293,-10.1,-5.4,46.3,47.70,ARM_SWING
800,0.791,-0.916,-0.545,1.327,3.5,-31.0,86.9,92.33,ARM_SWING
850,0.955,-1.159,-0.635,1.631,-5.0,-57.6,144.2,155.36,ARM_SWING
900,1.065,-1.180,-0.546,1.681,-8.7,-80.0,203.4,218.74,ARM_SWING
950,0.923,-0.930,-0.507,1.405,-24.2,-84.1,211.5,228.89,ARM_SWING
1000,0.742,-0.761,-0.359,1.122,-13.4,-82.2,199.7,216.37,ARM_SWING
1050,0.520,-0.583,-0.236,0.816,-24.5,-64.8,176.6,189.70,ARM_SWING
1100,0.411,-0.379,-0.131,0.574,-37.1,-40.7,125.0,136.59,ARM_SWING
1150,0.322,-0.237,-0.079,0.408,-16.6,-20.3,62.3,67.59,ARM_SWING
1200,0.310,-0.311,-0.052,0.442,-1.8,0.5,4.2,4.60,ARM_SWING
1250,0.369,-0.325,-0.114,0.505,-14.3,32.9,-50.5,61.94,ARM_SWING
1300,0.419,-0.460,-0.239,0.667,5.5,46.4,-82.2,94.55,ARM_SWING
1350,0.481,-0.613,-0.369,0.862,1.7,45.1,-109.4,118.34,ARM_SWING
1400,0.551,-0.724,-0.426,1.005,26.2,44.1,-119.2,129.77,ARM_SWING
1450,0.650,-0.808,-0.327,1.087,22.1,64.1,-133.2,149.46,ARM_SWING
1500,0.766,-0.751,-0.277,1.108,20.1,72.4,-144.5,162.87,ARM_SWING
1550,0.891,-0.683,-0.248,1.150,15.1,84.3,-160.3,181.74,ARM_SWING
1600,1.056,-0.691,-0.351,1.310,14.5,82.3,-166.3,186.12,ARM_SWING
1650,1.114,-0.691,-0.334,1.353,21.6,64.2,-149.9,164.49,ARM_SWING
1700,1.112,-0.694,-0.464,1.390,42.8,42.9,-120.9,135.24,ARM_SWING
1750,0.973,-0.720,-0.339,1.257,37.2,35.4,-85.8,99.99,ARM_SWING
1800,0.886,-0.731,-0.365,1.205,48.0,16.8,-60.7,79.19,ARM_SWING
1850,0.801,-0.707,-0.353,1.125,7.0,5.3,-27.5,28.87,ARM_SWING
1900,0.724,-0.685,-0.433,1.087,-12.3,-7.3,2.6,14.54,ARM_SWING
1950,0.652,-0.686,-0.365,1.014,-14.3,-30.5,25.9,42.49,ARM_SWING
2000,0.807,-0.774,-0.343,1.170,-17.5,-46.6,42.7,65.58,ARM_SWING
2050,0.986,-0.804,-0.357,1.321,7.6,-64.9,87.7,109.37,ARM_SWING
