
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.801,-0.508,-0.246,0.980,0.6,-0.7,-7.7,7.75,ARM_SWING
50,0.810,-0.520,-0.244,0.993,0.9,3.5,-8.8,9.51,ARM_SWING
100,0.814,-0.523,-0.246,0.998,6.5,-1.8,-10.9,12.82,ARM_SWING
150,0.813,-0.521,-0.241,0.995,8.1,-3.4,-10.5,13.69,ARM_SWING
200,0.808,-0.524,-0.236,0.992,9.8,-3.7,-11.8,15.78,ARM_SWING
250,0.791,-0.533,-0.233,0.982,5.5,3.5,-14.0,15.44,ARM_SWING
300,0.806,-0.534,-0.248,0.998,5.4,0.4,-11.3,12.53,ARM_SWING
350,0.814,-0.537,-0.259,1.009,8.4,-1.6,-7.1,11.11,ARM_SWING
400,0.808,-0.528,-0.251,0.997,11.4,-6.6,-7.0,14.92,ARM_SWING
450,0.800,-0.531,-0.246,0.991,14.8,-13.8,-2.8,20.43,ARM_SWING
500,0.812,-0.532,-0.248,1.002,7.3,-10.9,-1.1,13.16,ARM_SWING
550,0.803,-0.520,-0.247,0.988,8.6,-7.9,-1.4,11.76,ARM_SWING
600,0.787,-0.522,-0.247,0.976,5.3,-6.0,-2.8,8.48,ARM_SWING
650,0.785,-0.539,-0.244,0.983,3.7,-8.4,-3.3,9.75,ARM_SWING
700,0.785,-0.561,-0.244,0.995,-1.0,-5.0,0.4,5.11,ARM_SWING
750,0.789,-0.566,-0.246,1.002,-5.1,-0.4,2.8,5.83,ARM_SWING
800,0.776,-0.572,-0.235,0.992,-10.0,0.8,5.6,11.49,ARM_SWING
850,0.778,-0.599,-0.221,1.006,-16.9,4.0,10.7,20.40,ARM_SWING
900,0.789,-0.610,-0.231,1.024,-19.1,3.2,16.9,25.70,ARM_SWING
950,0.793,-0.589,-0.251,1.019,-16.1,1.9,26.8,31.32,ARM_SWING
1000,0.799,-0.552,-0.258,1.005,-7.2,-3.2,28.4,29.47,ARM_SWING
1050,0.800,-0.544,-0.252,1.000,-2.1,-4.0,31.3,31.62,ARM_SWING
1100,0.821,-0.515,-0.258,1.003,-8.6,-1.1,28.3,29.60,ARM_SWING
1150,0.820,-0.490,-0.262,0.991,-8.8,3.2,26.6,28.20,ARM_SWING
1200,0.814,-0.466,-0.261,0.974,-3.7,-1.4,17.0,17.45,ARM_SWING
1250,0.808,-0.457,-0.257,0.963,-1.8,-9.3,6.1,11.27,ARM_SWING
1300,0.805,-0.464,-0.246,0.961,6.0,-7.6,-7.2,12.07,ARM_SWING
1350,0.820,-0.479,-0.239,0.979,14.1,-10.4,-18.9,25.77,ARM_SWING
1400,0.830,-0.489,-0.229,0.990,21.0,-16.6,-27.1,38.09,ARM_SWING
1450,0.821,-0.501,-0.210,0.984,24.2,-12.4,-33.5,43.15,ARM_SWING
1500,0.810,-0.513,-0.200,0.979,28.1,-15.6,-35.0,47.52,ARM_SWING
1550,0.798,-0.528,-0.198,0.977,25.8,-16.3,-39.5,49.92,ARM_SWING
1600,0.798,-0.541,-0.206,0.986,24.5,-10.7,-42.7,50.38,ARM_SWING
1650,0.771,-0.577,-0.212,0.986,21.2,-10.9,-40.6,47.08,ARM_SWING
1700,0.781,-0.613,-0.233,1.020,7.8,-0.1,-36.7,37.52,ARM_SWING
1750,0.782,-0.625,-0.263,1.035,0.2,-13.3,-26.5,29.65,ARM_SWING
1800,0.788,-0.630,-0.285,1.048,-2.0,-0.2,-11.7,11.87,ARM_SWING
1850,0.808,-0.610,-0.280,1.050,1.7,-5.8,3.8,7.14,ARM_SWING
1900,0.804,-0.608,-0.263,1.042,0.7,-9.5,18.4,20.72,ARM_SWING
1950,0.775,-0.583,-0.237,0.998,-7.3,-5.2,30.2,31.50,ARM_SWING
2000,0.763,-0.578,-0.219,0.982,-20.3,4.4,30.3,36.74,ARM_SWING
2050,0.792,-0.578,-0.216,1.004,-29.6,9.3,33.7,45.81,ARM_SWING
2100,0.835,-0.567,-0.216,1.032,-29.5,11.6,38.3,49.72,ARM_SWING
2150,0.859,-0.546,-0.216,1.041,-26.3,7.9,48.0,55.30,ARM_SWING
2200,0.848,-0.517,-0.218,1.017,-29.4,16.4,43.1,54.69,ARM_SWING
2250,0.834,-0.500,-0.223,0.998,-28.6,11.4,43.7,53.46,ARM_SWING
2300,0.811,-0.469,-0.231,0.965,-27.0,7.8,37.3,46.70,ARM_SWING
2350,0.795,-0.452,-0.238,0.945,-25.3,11.2,23.3,36.17,ARM_SWING
2400,0.795,-0.442,-0.249,0.943,-20.3,6.5,9.4,23.30,ARM_SWING
2450,0.793,-0.457,-0.246,0.948,-12.3,4.5,-3.3,13.51,ARM_SWING
2500,0.798,-0.484,-0.252,0.967,-7.7,3.6,-12.6,15.20,ARM_SWING
2550,0.821,-0.495,-0.265,0.995,-0.9,5.6,-19.9,20.69,ARM_SWING
2600,0.840,-0.507,-0.273,1.018,15.6,-3.5,-23.6,28.51,ARM_SWING
