
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,1.003,-0.579,-0.200,1.175,-33.6,8.4,112.0,117.23,ARM_SWING
50,0.973,-0.510,-0.225,1.121,-39.5,12.2,111.3,118.73,ARM_SWING
100,0.903,-0.433,-0.242,1.030,-34.5,7.2,104.0,109.81,ARM_SWING
150,0.835,-0.395,-0.260,0.960,-26.1,3.2,84.4,88.40,ARM_SWING
200,0.792,-0.360,-0.265,0.909,-19.6,-1.8,55.9,59.26,ARM_SWING
250,0.743,-0.331,-0.258,0.853,-8.4,1.1,18.3,20.17,ARM_SWING
300,0.732,-0.351,-0.272,0.856,2.3,5.1,-13.7,14.80,ARM_SWING
350,0.754,-0.387,-0.278,0.892,9.8,5.9,-53.1,54.32,ARM_SWING
400,0.806,-0.424,-0.290,0.956,18.1,2.7,-82.6,84.60,ARM_SWING
450,0.857,-0.467,-0.267,1.012,37.0,-10.1,-103.0,109.91,ARM_SWING
500,0.947,-0.530,-0.248,1.113,55.1,-11.2,-117.5,130.26,ARM_SWING
550,0.939,-0.610,-0.211,1.139,57.3,-15.6,-116.9,131.12,ARM_SWING
600,0.903,-0.648,-0.176,1.125,37.6,-10.6,-109.5,116.26,ARM_SWING
650,0.881,-0.680,-0.215,1.133,27.0,-7.9,-93.7,97.83,ARM_SWING
700,0.823,-0.699,-0.199,1.098,8.4,-5.2,-68.3,69.01,ARM_SWING
750,0.780,-0.706,-0.236,1.078,-0.4,-0.2,-38.0,38.00,ARM_SWING
800,0.780,-0.606,-0.213,1.010,-10.6,-0.4,-7.2,12.82,ARM_SWING
850,0.745,-0.611,-0.288,1.006,5.5,-9.7,25.5,27.83,ARM_SWING
900,0.770,-0.622,-0.292,1.032,12.8,-16.0,44.3,48.81,ARM_SWING
950,0.771,-0.631,-0.256,1.029,-6.5,-5.9,59.9,60.54,ARM_SWING
1000,0.815,-0.623,-0.232,1.052,-31.4,8.4,69.0,76.27,ARM_SWING
1050,0.913,-0.591,-0.237,1.113,-45.0,8.1,77.6,90.07,ARM_SWING
1100,0.992,-0.574,-0.278,1.179,-55.5,-2.0,94.0,109.18,ARM_SWING
1150,1.017,-0.551,-0.298,1.194,-26.4,-7.9,110.3,113.69,ARM_SWING
1200,0.983,-0.566,-0.281,1.169,-6.2,-17.2,113.6,115.06,ARM_SWING
1250,0.924,-0.504,-0.271,1.087,-18.0,-11.4,110.8,112.83,ARM_SWING
1300,0.817,-0.409,-0.277,0.955,-12.9,-18.1,94.9,97.47,ARM_SWING
1350,0.705,-0.336,-0.233,0.815,-5.6,-22.0,56.7,61.08,ARM_SWING
1400,0.621,-0.328,-0.212,0.734,-6.3,-9.0,21.0,23.70,ARM_SWING
1450,0.610,-0.333,-0.219,0.729,-14.5,9.8,-33.6,37.88,ARM_SWING
1500,0.703,-0.379,-0.237,0.833,-1.9,11.3,-72.4,73.30,ARM_SWING
1550,0.784,-0.469,-0.244,0.946,17.2,10.5,-101.0,102.99,ARM_SWING
1600,0.881,-0.521,-0.252,1.054,35.6,6.3,-117.3,122.75,ARM_SWING
1650,0.929,-0.573,-0.261,1.122,49.9,0.7,-123.7,133.39,ARM_SWING
1700,0.990,-0.628,-0.270,1.203,51.7,-5.1,-119.7,130.49,ARM_SWING
1750,0.998,-0.636,-0.260,1.212,54.5,-11.4,-95.4,110.46,ARM_SWING
1800,0.921,-0.670,-0.251,1.166,71.4,-22.9,-63.2,98.06,ARM_SWING
1850,0.835,-0.654,-0.250,1.090,70.3,-15.6,-39.5,82.13,ARM_SWING
1900,0.762,-0.622,-0.265,1.019,-15.1,-6.1,-24.6,29.50,ARM_SWING
1950,0.725,-0.620,-0.329,1.009,1.1,-7.2,-20.5,21.76,ARM_SWING
2000,0.678,-0.585,-0.265,0.934,3.9,-11.8,-3.3,12.86,ARM_SWING
2050,0.696,-0.624,-0.309,0.985,4.2,-7.9,5.0,10.25,ARM_SWING
2100,0.757,-0.645,-0.278,1.033,6.2,-6.7,21.1,22.99,ARM_SWING
2150,0.787,-0.662,-0.250,1.058,-16.6,0.5,41.3,44.51,ARM_SWING
2200,0.864,-0.657,-0.234,1.110,-41.9,11.7,52.8,68.41,ARM_SWING
2250,0.931,-0.636,-0.251,1.155,-41.7,4.6,72.6,83.85,ARM_SWING
2300,0.955,-0.591,-0.256,1.152,-40.8,-5.2,93.2,101.87,ARM_SWING
2350,0.946,-0.537,-0.246,1.115,-30.5,-10.4,101.3,106.30,ARM_SWING
2400,0.935,-0.531,-0.257,1.106,-18.9,-11.1,104.8,107.07,ARM_SWING
2450,0.882,-0.525,-0.263,1.060,-13.3,-10.7,102.6,104.01,ARM_SWING
2500,0.810,-0.496,-0.264,0.986,-8.4,-8.5,90.3,91.09,ARM_SWING
2550,0.747,-0.447,-0.250,0.906,-13.0,-0.4,65.6,66.88,ARM_SWING
2600,0.729,-0.409,-0.242,0.870,-15.6,0.0,32.8,36.32,ARM_SWING
2650,0.708,-0.386,-0.247,0.843,-13.4,5.4,2.8,14.72,ARM_SWING
2700,0.694,-0.370,-0.242,0.823,-6.6,6.7,-30.0,31.44,ARM_SWING
2750,0.732,-0.374,-0.244,0.857,10.4,4.2,-66.5,67.44,ARM_SWING
2800,0.798,-0.425,-0.261,0.941,17.0,6.2,-104.5,106.06,ARM_SWING
2850,0.898,-0.488,-0.260,1.055,38.6,8.6,-133.5,139.23,ARM_SWING
2900,1.011,-0.598,-0.302,1.213,62.3,-4.6,-143.8,156.78,ARM_SWING
2950,1.015,-0.751,-0.266,1.290,81.2,-24.1,-110.4,139.15,ARM_SWING
3000,0.901,-0.774,-0.248,1.213,68.8,-21.8,-73.9,103.30,ARM_SWING
3050,0.763,-0.748,-0.203,1.088,43.6,-21.7,-49.9,69.73,ARM_SWING
3100,0.663,-0.711,-0.204,0.993,12.1,-6.9,-34.8,37.48,ARM_SWING
3150,0.744,-0.593,-0.151,0.963,-18.1,8.4,-41.1,45.69,ARM_SWING
3200,0.664,-0.680,-0.289,0.993,-17.5,7.6,-16.0,24.90,ARM_SWING
3250,0.713,-0.659,-0.282,1.011,-13.0,-2.9,8.1,15.59,ARM_SWING
3300,0.731,-0.682,-0.266,1.035,-1.8,1.0,26.1,26.18,ARM_SWING
3350,0.804,-0.707,-0.246,1.099,-11.9,4.4,45.6,47.33,ARM_SWING
3400,0.921,-0.765,-0.285,1.231,-25.9,12.1,77.8,82.89,ARM_SWING
3450,1.010,-0.768,-0.293,1.302,-17.8,-4.5,119.0,120.41,ARM_SWING
3500,0.963,-0.730,-0.294,1.244,-15.6,-8.0,140.2,141.29,ARM_SWING
3550,0.925,-0.705,-0.281,1.196,-32.1,-3.7,149.5,152.95,ARM_SWING
3600,0.853,-0.581,-0.267,1.066,-32.9,-7.6,145.4,149.27,ARM_SWING
3650,0.761,-0.518,-0.260,0.957,-26.1,-3.5,116.9,119.83,ARM_SWING
3700,0.690,-0.502,-0.251,0.889,-21.0,-3.2,86.4,88.97,ARM_SWING
3750,0.660,-0.426,-0.239,0.821,-24.2,4.0,51.3,56.86,ARM_SWING
3800,0.658,-0.426,-0.241,0.820,-19.4,2.1,17.1,25.95,ARM_SWING
