
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.698,-0.746,-0.362,1.084,-24.2,1.1,9.3,25.95,ARM_SWING
50,0.771,-0.590,-0.303,1.017,-20.3,1.9,22.9,30.66,ARM_SWING
100,0.750,-0.651,-0.281,1.032,-39.6,14.0,43.2,60.25,ARM_SWING
150,0.752,-0.644,-0.264,1.025,-50.4,25.2,57.5,80.51,ARM_SWING
200,0.753,-0.609,-0.248,1.000,-69.0,28.9,61.3,96.72,ARM_SWING
250,0.787,-0.610,-0.220,1.020,-64.3,33.6,57.1,92.32,ARM_SWING
300,0.843,-0.631,-0.194,1.071,-77.2,37.8,70.6,111.23,ARM_SWING
350,0.899,-0.593,-0.209,1.097,-89.3,43.5,77.7,126.11,ARM_SWING
400,0.946,-0.533,-0.213,1.107,-98.4,39.9,81.8,134.04,ARM_SWING
450,0.966,-0.471,-0.214,1.096,-98.2,29.7,84.0,132.59,ARM_SWING
500,0.959,-0.404,-0.224,1.064,-85.4,29.1,72.5,115.74,ARM_SWING
550,0.920,-0.364,-0.239,1.018,-62.6,13.3,59.4,87.32,ARM_SWING
600,0.923,-0.320,-0.282,1.017,-33.8,-2.9,42.7,54.54,ARM_SWING
650,0.893,-0.284,-0.269,0.975,6.3,-24.2,22.8,33.84,ARM_SWING
700,0.829,-0.280,-0.271,0.916,34.0,-33.9,-5.6,48.34,ARM_SWING
750,0.835,-0.293,-0.251,0.920,52.2,-33.3,-42.7,75.21,ARM_SWING
800,0.844,-0.352,-0.231,0.943,80.9,-37.3,-74.7,116.26,ARM_SWING
850,0.841,-0.425,-0.217,0.967,106.1,-44.1,-97.9,150.95,ARM_SWING
900,0.835,-0.487,-0.152,0.979,120.2,-55.7,-116.9,176.68,ARM_SWING
950,0.849,-0.567,-0.151,1.032,104.9,-39.2,-132.7,173.64,ARM_SWING
1000,0.893,-0.671,-0.155,1.128,67.9,-24.7,-134.1,152.33,ARM_SWING
1050,0.927,-0.695,-0.175,1.172,55.2,-27.4,-109.9,126.00,ARM_SWING
1100,0.920,-0.684,-0.191,1.162,53.6,-26.5,-70.7,92.59,ARM_SWING
1150,0.879,-0.645,-0.221,1.112,65.4,-33.0,-31.5,79.74,ARM_SWING
1200,0.733,-0.559,-0.308,0.972,70.4,-39.9,3.4,80.99,ARM_SWING
1250,0.662,-0.589,-0.304,0.937,76.2,-6.4,-0.3,76.47,ARM_SWING
1300,0.618,-0.617,-0.515,1.014,-8.5,27.3,-3.1,28.76,ARM_SWING
1350,0.703,-0.591,-0.536,1.063,-27.5,20.8,3.4,34.65,ARM_SWING
1400,0.799,-0.627,-0.475,1.121,-19.0,12.6,24.0,33.10,ARM_SWING
1450,0.832,-0.663,-0.354,1.121,-54.1,9.3,44.9,70.92,ARM_SWING
1500,0.831,-0.502,-0.263,1.006,-67.2,7.7,64.1,93.19,ARM_SWING
1550,0.844,-0.586,-0.195,1.046,-90.3,12.1,75.9,118.58,ARM_SWING
1600,0.862,-0.541,-0.155,1.029,-88.1,13.3,76.5,117.43,ARM_SWING
1650,0.868,-0.529,-0.127,1.024,-73.0,15.6,76.7,107.03,ARM_SWING
1700,0.868,-0.525,-0.106,1.020,-76.0,17.3,70.3,104.96,ARM_SWING
1750,0.869,-0.556,-0.112,1.038,-72.4,23.8,73.7,106.02,ARM_SWING
1800,0.857,-0.535,-0.116,1.017,-77.4,26.1,68.8,106.80,ARM_SWING
1850,0.879,-0.497,-0.164,1.023,-81.3,27.8,64.1,107.20,ARM_SWING
1900,0.947,-0.476,-0.277,1.095,-87.8,25.6,59.0,108.84,ARM_SWING
1950,0.973,-0.393,-0.333,1.101,-72.1,9.8,62.0,95.60,ARM_SWING
2000,0.963,-0.288,-0.352,1.065,-16.3,-10.9,54.3,57.73,ARM_SWING
2050,0.904,-0.226,-0.318,0.985,31.9,-32.4,33.7,56.60,ARM_SWING
2100,0.839,-0.243,-0.317,0.929,43.1,-37.1,3.6,56.98,ARM_SWING
