
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.860,-0.603,-0.282,1.088,-64.4,19.2,69.0,96.32,ARM_SWING
50,0.894,-0.605,-0.423,1.159,-67.4,3.9,77.4,102.71,ARM_SWING
100,0.897,-0.520,-0.285,1.075,-60.2,-1.1,77.9,98.46,ARM_SWING
150,0.845,-0.500,-0.298,1.026,-63.1,2.3,85.8,106.53,ARM_SWING
200,0.805,-0.462,-0.219,0.954,-52.4,1.8,85.1,99.96,ARM_SWING
250,0.801,-0.372,-0.292,0.930,-34.1,2.3,65.3,73.70,ARM_SWING
300,0.768,-0.332,-0.256,0.875,-7.5,-4.3,42.9,43.76,ARM_SWING
350,0.747,-0.381,-0.307,0.893,3.9,-8.2,19.6,21.60,ARM_SWING
400,0.752,-0.419,-0.347,0.928,8.1,-7.9,-9.9,15.03,ARM_SWING
450,0.701,-0.416,-0.358,0.890,17.7,-11.0,-29.4,36.04,ARM_SWING
500,0.705,-0.491,-0.396,0.946,37.7,-2.5,-53.6,65.58,ARM_SWING
550,0.715,-0.533,-0.406,0.980,41.1,-2.0,-72.3,83.19,ARM_SWING
600,0.753,-0.615,-0.385,1.046,48.7,-3.3,-82.5,95.86,ARM_SWING
650,0.800,-0.626,-0.360,1.078,52.9,-4.7,-82.8,98.37,ARM_SWING
700,0.833,-0.607,-0.316,1.078,36.4,-13.2,-81.8,90.50,ARM_SWING
750,0.839,-0.623,-0.292,1.085,47.7,-17.9,-77.4,92.66,ARM_SWING
800,0.817,-0.635,-0.240,1.062,56.9,-17.5,-63.7,87.19,ARM_SWING
850,0.795,-0.630,-0.265,1.048,45.7,-13.1,-43.5,64.44,ARM_SWING
900,0.742,-0.564,-0.232,0.960,34.2,-15.3,-27.7,46.59,ARM_SWING
950,0.683,-0.525,-0.260,0.900,21.4,-12.8,-17.9,30.70,ARM_SWING
1000,0.668,-0.518,-0.291,0.894,12.1,-8.6,-10.3,18.07,ARM_SWING
1050,0.738,-0.564,-0.327,0.985,5.8,-12.2,-11.3,17.61,ARM_SWING
1100,0.862,-0.679,-0.363,1.156,-5.3,-6.9,-8.5,12.16,ARM_SWING
1150,0.872,-0.686,-0.358,1.166,-13.3,-2.7,9.4,16.51,ARM_SWING
1200,0.818,-0.662,-0.340,1.106,-16.3,-0.2,42.7,45.71,ARM_SWING
1250,0.797,-0.583,-0.318,1.037,-32.2,12.1,54.5,64.45,ARM_SWING
1300,0.796,-0.578,-0.304,1.030,-39.0,13.4,59.8,72.64,ARM_SWING
1350,0.813,-0.572,-0.302,1.039,-39.2,3.8,59.0,70.94,ARM_SWING
1400,0.830,-0.579,-0.297,1.055,-33.0,0.4,65.3,73.17,ARM_SWING
1450,0.848,-0.523,-0.392,1.071,-35.7,-3.4,66.3,75.38,ARM_SWING
1500,0.800,-0.500,-0.287,0.986,-38.5,0.9,67.2,77.45,ARM_SWING
1550,0.777,-0.489,-0.298,0.965,-43.2,6.5,62.7,76.42,ARM_SWING
1600,0.776,-0.458,-0.311,0.953,-36.2,7.1,49.9,62.06,ARM_SWING
1650,0.747,-0.439,-0.284,0.912,-19.9,5.0,38.3,43.45,ARM_SWING
1700,0.692,-0.419,-0.282,0.857,-5.5,4.8,21.4,22.61,ARM_SWING
1750,0.676,-0.417,-0.282,0.843,-3.7,11.0,3.8,12.21,ARM_SWING
1800,0.735,-0.421,-0.307,0.901,5.7,7.4,-18.5,20.72,ARM_SWING
1850,0.809,-0.414,-0.292,0.955,24.6,-1.5,-44.3,50.69,ARM_SWING
1900,0.822,-0.467,-0.279,0.986,50.4,-1.1,-66.3,83.29,ARM_SWING
1950,0.838,-0.573,-0.273,1.051,44.3,0.2,-65.7,79.24,ARM_SWING
2000,0.895,-0.599,-0.288,1.115,33.1,-5.6,-63.1,71.47,ARM_SWING
2050,0.935,-0.588,-0.286,1.141,46.8,-24.0,-60.6,80.24,ARM_SWING
2100,0.891,-0.606,-0.263,1.109,70.7,-37.5,-53.7,96.38,ARM_SWING
2150,0.861,-0.600,-0.257,1.080,78.0,-39.4,-45.0,98.29,ARM_SWING
2200,0.803,-0.573,-0.230,1.013,68.9,-33.4,-41.7,87.19,ARM_SWING
2250,0.791,-0.561,-0.233,0.997,57.4,-31.5,-41.3,77.41,ARM_SWING
2300,0.795,-0.530,-0.239,0.985,39.2,-28.7,-35.4,60.11,ARM_SWING
2350,0.731,-0.504,-0.245,0.921,35.4,-22.9,-29.5,51.46,ARM_SWING
2400,0.682,-0.500,-0.267,0.887,21.6,-13.7,-24.5,35.42,ARM_SWING
2450,0.669,-0.516,-0.287,0.892,7.0,-6.3,-17.9,20.23,ARM_SWING
2500,0.711,-0.531,-0.297,0.936,0.3,-4.6,-15.0,15.69,ARM_SWING
2550,0.839,-0.566,-0.324,1.063,-6.4,3.5,-13.9,15.70,ARM_SWING
2600,0.835,-0.576,-0.293,1.056,-7.9,4.6,-6.3,11.10,ARM_SWING
2650,0.777,-0.593,-0.287,1.019,-26.2,19.9,16.3,36.72,ARM_SWING
2700,0.833,-0.559,-0.295,1.046,-46.3,21.4,40.4,65.07,ARM_SWING
2750,0.915,-0.543,-0.274,1.099,-41.8,7.8,39.8,58.24,ARM_SWING
2800,0.898,-0.612,-0.244,1.114,-37.7,6.5,37.5,53.57,ARM_SWING
2850,0.845,-0.629,-0.236,1.080,-44.0,14.2,51.0,68.84,ARM_SWING
2900,0.815,-0.605,-0.233,1.041,-40.3,11.3,64.1,76.55,ARM_SWING
2950,0.816,-0.583,-0.223,1.027,-55.4,13.7,74.4,93.77,ARM_SWING
3000,0.897,-0.454,-0.204,1.026,-58.3,11.7,79.5,99.28,ARM_SWING
3050,0.889,-0.589,-0.201,1.085,-79.4,10.0,84.0,116.02,ARM_SWING
3100,0.869,-0.496,-0.238,1.029,-67.0,18.1,85.7,110.28,ARM_SWING
3150,0.818,-0.415,-0.276,0.958,-47.8,2.5,78.2,91.69,ARM_SWING
3200,0.759,-0.366,-0.237,0.875,-23.5,1.4,56.0,60.75,ARM_SWING
3250,0.744,-0.307,-0.275,0.851,-9.8,-1.1,25.4,27.25,ARM_SWING
3300,0.727,-0.292,-0.253,0.823,7.2,-6.2,-10.0,13.79,ARM_SWING
3350,0.738,-0.366,-0.275,0.868,20.1,2.2,-43.1,47.61,ARM_SWING
3400,0.793,-0.452,-0.326,0.969,34.9,6.6,-75.9,83.80,ARM_SWING
3450,0.876,-0.487,-0.331,1.056,57.4,7.3,-90.7,107.59,ARM_SWING
3500,0.913,-0.540,-0.319,1.108,78.4,-2.7,-98.9,126.23,ARM_SWING
3550,0.936,-0.581,-0.277,1.136,75.3,-11.2,-99.3,125.12,ARM_SWING
3600,0.955,-0.602,-0.269,1.161,52.9,-21.3,-87.7,104.61,ARM_SWING
3650,0.933,-0.588,-0.266,1.134,51.8,-24.8,-73.4,93.20,ARM_SWING
3700,0.913,-0.587,-0.301,1.126,67.3,-38.6,-59.1,97.53,ARM_SWING
3750,0.845,-0.578,-0.253,1.055,73.7,-44.1,-46.5,97.67,ARM_SWING
3800,0.773,-0.623,-0.250,1.024,66.0,-43.7,-28.4,84.10,ARM_SWING
3850,0.714,-0.617,-0.230,0.971,24.9,-28.9,-12.1,40.02,ARM_SWING
3900,0.716,-0.564,-0.242,0.943,1.4,-15.5,0.1,15.56,ARM_SWING
3950,0.704,-0.559,-0.236,0.929,-7.4,-11.0,13.3,18.78,ARM_SWING
4000,0.732,-0.528,-0.226,0.930,-14.8,-3.9,23.8,28.30,ARM_SWING
4050,0.746,-0.549,-0.236,0.956,-19.1,5.4,28.0,34.32,ARM_SWING
4100,0.826,-0.575,-0.281,1.045,-32.4,13.6,38.6,52.20,ARM_SWING
4150,0.833,-0.540,-0.281,1.032,-33.5,13.7,50.9,62.46,ARM_SWING
4200,0.837,-0.569,-0.281,1.050,-38.0,24.9,55.9,72.03,ARM_SWING
4250,0.877,-0.570,-0.283,1.084,-71.3,29.7,63.2,99.80,ARM_SWING
4300,0.915,-0.537,-0.299,1.102,-60.9,31.0,77.0,102.95,ARM_SWING
4350,0.891,-0.442,-0.331,1.048,-47.3,13.0,85.9,98.92,ARM_SWING
4400,0.910,-0.479,-0.294,1.070,-57.5,11.6,77.9,97.52,ARM_SWING
4450,0.852,-0.436,-0.317,1.008,-39.8,14.2,66.5,78.79,ARM_SWING
4500,0.792,-0.399,-0.350,0.953,-32.4,9.5,47.8,58.52,ARM_SWING
4550,0.744,-0.358,-0.336,0.891,-13.5,-1.2,24.7,28.17,ARM_SWING
4600,0.745,-0.412,-0.329,0.913,13.9,-12.9,-0.1,18.96,ARM_SWING
4650,0.744,-0.492,-0.326,0.950,19.0,-11.4,-20.4,30.12,ARM_SWING
4700,0.757,-0.525,-0.305,0.970,20.7,-12.4,-33.6,41.37,ARM_SWING
4750,0.732,-0.521,-0.282,0.942,23.5,-13.0,-43.2,50.87,ARM_SWING
4800,0.733,-0.508,-0.266,0.931,26.4,-10.7,-50.8,58.24,ARM_SWING
4850,0.752,-0.496,-0.251,0.935,38.4,-16.9,-60.9,73.95,ARM_SWING
4900,0.777,-0.508,-0.237,0.958,42.7,-15.0,-72.1,85.13,ARM_SWING
4950,0.767,-0.543,-0.226,0.967,35.3,-9.3,-54.4,65.51,ARM_SWING
5000,0.798,-0.543,-0.252,0.998,22.0,-10.1,-54.7,59.82,ARM_SWING
5050,0.831,-0.526,-0.264,1.018,21.8,-1.1,-51.8,56.21,ARM_SWING
5100,0.875,-0.553,-0.309,1.080,24.9,0.4,-58.2,63.30,ARM_SWING
5150,0.880,-0.571,-0.334,1.101,21.2,6.0,-48.7,53.45,ARM_SWING
5200,0.843,-0.628,-0.345,1.106,15.6,-0.4,-33.9,37.32,ARM_SWING
5250,0.805,-0.629,-0.343,1.078,2.8,6.7,-11.7,13.77,ARM_SWING
5300,0.809,-0.609,-0.338,1.068,-8.1,3.2,9.3,12.74,ARM_SWING
5350,0.817,-0.583,-0.315,1.052,-17.4,-4.4,29.4,34.45,ARM_SWING
5400,0.817,-0.580,-0.268,1.037,-25.2,-5.0,47.3,53.83,ARM_SWING
