
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.682,-0.477,-0.378,0.914,28.6,6.9,-64.2,70.62,ARM_SWING
50,0.724,-0.556,-0.371,0.985,40.6,-3.2,-95.6,103.91,ARM_SWING
100,0.801,-0.648,-0.344,1.086,55.1,-4.2,-116.0,128.49,ARM_SWING
150,0.796,-0.701,-0.254,1.091,10.8,1.4,-125.9,126.37,ARM_SWING
200,0.867,-0.713,-0.309,1.164,19.1,12.2,-123.7,125.76,ARM_SWING
250,0.749,-0.678,-0.269,1.045,17.9,5.8,-120.6,122.06,ARM_SWING
300,0.844,-0.711,-0.234,1.128,15.1,-0.1,-105.0,106.08,ARM_SWING
350,0.827,-0.643,-0.157,1.059,7.2,5.4,-91.4,91.84,ARM_SWING
400,0.803,-0.580,-0.276,1.028,-6.6,-4.0,-70.8,71.22,ARM_SWING
450,0.794,-0.772,-0.071,1.110,49.4,15.7,-46.4,69.57,ARM_SWING
500,0.765,-0.563,-0.318,1.002,49.9,12.7,-23.9,56.77,ARM_SWING
550,0.752,-0.553,-0.363,1.002,45.8,3.4,-7.3,46.50,ARM_SWING
600,0.815,-0.582,-0.353,1.062,21.5,-16.3,0.6,26.99,ARM_SWING
650,0.847,-0.590,-0.365,1.095,-10.5,-31.0,19.0,37.85,ARM_SWING
700,0.879,-0.542,-0.338,1.087,-23.0,-29.4,38.8,53.84,ARM_SWING
750,0.805,-0.544,-0.302,1.017,-32.2,-18.1,48.5,60.96,ARM_SWING
800,0.924,-0.534,-0.333,1.118,10.9,-16.5,61.2,64.32,ARM_SWING
850,0.884,-0.527,-0.209,1.050,-42.0,-8.3,78.7,89.59,ARM_SWING
900,0.786,-0.531,-0.176,0.965,-19.6,1.1,81.1,83.44,ARM_SWING
950,0.903,-0.523,-0.222,1.067,-33.5,10.5,77.2,84.81,ARM_SWING
1000,0.952,-0.548,-0.248,1.126,-23.7,2.8,81.9,85.31,ARM_SWING
1050,0.894,-0.544,-0.204,1.066,-14.9,-4.8,91.5,92.83,ARM_SWING
1100,0.812,-0.601,-0.277,1.048,-58.1,-4.2,88.4,105.87,ARM_SWING
1150,0.695,-0.614,-0.264,0.964,-43.7,13.2,88.6,99.67,ARM_SWING
1200,0.618,-0.549,-0.311,0.883,-32.8,8.4,73.2,80.65,ARM_SWING
1250,0.568,-0.539,-0.310,0.842,-19.8,9.5,55.5,59.69,ARM_SWING
1300,0.603,-0.551,-0.381,0.901,-16.8,11.0,45.8,50.01,ARM_SWING
1350,0.625,-0.504,-0.395,0.895,-14.6,11.3,27.0,32.71,ARM_SWING
1400,0.757,-0.487,-0.481,1.021,-1.1,6.1,2.5,6.68,ARM_SWING
1450,0.831,-0.457,-0.506,1.075,-4.9,8.6,-25.9,27.73,ARM_SWING
1500,0.815,-0.478,-0.404,1.028,23.0,-12.6,-58.4,64.02,ARM_SWING
1550,0.802,-0.481,-0.351,0.999,48.2,-21.7,-77.2,93.56,ARM_SWING
1600,0.780,-0.541,-0.294,0.994,60.4,-15.6,-97.4,115.66,ARM_SWING
1650,0.806,-0.591,-0.261,1.033,44.5,-11.7,-108.5,117.85,ARM_SWING
1700,0.832,-0.619,-0.242,1.065,34.7,-4.9,-109.9,115.35,ARM_SWING
1750,0.909,-0.623,-0.273,1.135,28.5,-9.1,-99.9,104.28,ARM_SWING
1800,0.891,-0.671,-0.248,1.143,40.8,-11.1,-80.4,90.84,ARM_SWING
1850,0.804,-0.674,-0.209,1.070,36.6,-10.1,-59.4,70.50,ARM_SWING
1900,0.770,-0.623,-0.219,1.014,23.3,-6.5,-47.7,53.48,ARM_SWING
1950,0.716,-0.586,-0.238,0.955,21.7,-3.7,-40.5,46.10,ARM_SWING
2000,0.626,-0.468,-0.357,0.859,17.6,-9.8,-27.7,34.25,ARM_SWING
2050,0.675,-0.574,-0.327,0.944,30.4,7.5,-10.4,32.99,ARM_SWING
2100,0.780,-0.602,-0.402,1.064,10.5,5.3,-3.1,12.16,ARM_SWING
2150,0.807,-0.607,-0.401,1.087,-7.9,-10.7,16.4,21.12,ARM_SWING
2200,0.848,-0.592,-0.367,1.097,-21.6,-16.5,32.9,42.68,ARM_SWING
2250,0.766,-0.581,-0.315,1.012,-22.6,-16.9,50.6,57.94,ARM_SWING
2300,0.795,-0.595,-0.249,1.024,-29.5,-12.1,60.2,68.12,ARM_SWING
2350,0.859,-0.655,-0.266,1.113,-7.9,-19.7,71.6,74.68,ARM_SWING
2400,0.763,-0.600,-0.233,0.998,-33.9,-6.3,86.4,93.03,ARM_SWING
2450,0.901,-0.559,-0.276,1.096,-81.9,6.3,91.7,123.11,ARM_SWING
2500,0.819,-0.530,-0.278,1.014,-9.8,-4.2,85.8,86.46,ARM_SWING
2550,0.780,-0.544,-0.317,1.002,11.3,8.1,76.4,77.65,ARM_SWING
2600,0.795,-0.531,-0.310,1.005,-16.8,9.2,58.1,61.18,ARM_SWING
2650,0.793,-0.503,-0.257,0.974,-62.8,-7.7,44.5,77.35,ARM_SWING
2700,0.744,-0.499,-0.290,0.942,-25.2,3.6,41.9,49.03,ARM_SWING
2750,0.744,-0.445,-0.314,0.922,-16.4,5.3,28.1,32.96,ARM_SWING
2800,0.746,-0.407,-0.336,0.914,-2.1,7.5,2.5,8.18,ARM_SWING
2850,0.757,-0.421,-0.335,0.929,6.3,9.9,-29.5,31.75,ARM_SWING
2900,0.790,-0.469,-0.364,0.988,19.4,3.9,-52.9,56.48,ARM_SWING
2950,0.799,-0.507,-0.351,1.009,28.8,-1.0,-65.1,71.19,ARM_SWING
3000,0.833,-0.522,-0.307,1.030,27.5,-5.1,-77.5,82.39,ARM_SWING
3050,0.858,-0.517,-0.279,1.040,26.8,-2.2,-91.3,95.18,ARM_SWING
3100,0.853,-0.572,-0.262,1.060,30.5,5.6,-93.9,98.89,ARM_SWING
3150,0.852,-0.583,-0.256,1.064,26.1,2.8,-89.4,93.17,ARM_SWING
3200,0.803,-0.585,-0.232,1.020,24.5,6.7,-80.5,84.41,ARM_SWING
3250,0.835,-0.627,-0.264,1.077,23.3,5.7,-66.5,70.69,ARM_SWING
3300,0.824,-0.554,-0.305,1.039,10.0,3.9,-45.1,46.36,ARM_SWING
3350,0.847,-0.489,-0.307,1.025,30.1,0.9,-27.9,41.05,ARM_SWING
3400,0.809,-0.487,-0.320,0.997,12.1,10.3,-21.0,26.33,ARM_SWING
3450,0.815,-0.354,-0.296,0.937,-4.2,10.0,-14.0,17.71,ARM_SWING
3500,0.820,-0.357,-0.361,0.964,1.9,0.8,-14.7,14.84,ARM_SWING
3550,0.848,-0.445,-0.387,1.033,-4.7,-2.8,-10.9,12.20,ARM_SWING
3600,0.859,-0.508,-0.431,1.087,-4.3,-9.8,4.6,11.65,ARM_SWING
3650,0.866,-0.529,-0.402,1.092,-3.5,-16.3,25.4,30.38,ARM_SWING
3700,0.873,-0.549,-0.345,1.087,-8.0,-25.2,44.1,51.42,ARM_SWING
3750,0.826,-0.516,-0.275,1.012,-12.6,-23.4,59.7,65.35,ARM_SWING
3800,0.828,-0.510,-0.274,1.010,-20.7,-21.4,67.6,73.87,ARM_SWING
