
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.806,-0.461,-0.288,0.972,-28.5,7.9,34.7,45.59,ARM_SWING
50,0.830,-0.475,-0.307,1.004,-35.8,17.0,19.4,44.12,ARM_SWING
100,0.827,-0.500,-0.290,1.009,-30.4,6.2,18.7,36.23,ARM_SWING
150,0.830,-0.461,-0.297,0.995,-21.4,2.2,17.8,27.92,ARM_SWING
200,0.810,-0.455,-0.268,0.967,-12.6,0.3,14.3,19.06,ARM_SWING
250,0.801,-0.436,-0.292,0.958,-7.4,4.7,6.7,11.03,ARM_SWING
300,0.797,-0.435,-0.291,0.953,-2.1,2.3,0.4,3.14,ARM_SWING
350,0.795,-0.439,-0.309,0.959,1.6,3.4,-8.7,9.48,ARM_SWING
400,0.808,-0.450,-0.320,0.979,8.8,1.6,-20.3,22.18,ARM_SWING
450,0.820,-0.473,-0.312,0.997,14.2,-7.4,-20.0,25.62,ARM_SWING
500,0.817,-0.479,-0.298,0.993,17.5,-4.6,-23.1,29.34,ARM_SWING
550,0.819,-0.507,-0.294,1.007,21.2,-12.6,-26.3,36.05,ARM_SWING
600,0.827,-0.534,-0.298,1.029,20.3,-14.4,-22.7,33.69,ARM_SWING
650,0.814,-0.540,-0.299,1.022,24.1,-20.2,-15.6,35.10,ARM_SWING
700,0.798,-0.513,-0.298,0.994,23.5,-23.8,-10.9,35.18,ARM_SWING
750,0.791,-0.503,-0.294,0.982,34.1,-22.6,-10.7,42.29,ARM_SWING
800,0.793,-0.501,-0.286,0.981,35.0,-22.4,-12.8,43.48,ARM_SWING
850,0.795,-0.503,-0.283,0.982,32.1,-22.0,-12.3,40.81,ARM_SWING
900,0.794,-0.506,-0.289,0.985,29.1,-22.1,-10.0,37.88,ARM_SWING
950,0.784,-0.494,-0.292,0.972,19.1,-17.7,-10.5,28.08,ARM_SWING
1000,0.783,-0.504,-0.304,0.980,17.1,-10.7,-13.7,24.38,ARM_SWING
1050,0.779,-0.514,-0.312,0.984,12.3,-8.8,-14.3,20.81,ARM_SWING
1100,0.770,-0.524,-0.311,0.982,5.2,-1.8,-13.9,14.95,ARM_SWING
1150,0.770,-0.540,-0.313,0.991,-2.1,1.8,-12.3,12.61,ARM_SWING
1200,0.777,-0.544,-0.313,0.999,-1.9,1.1,-6.5,6.86,ARM_SWING
1250,0.786,-0.550,-0.306,1.007,-9.1,5.8,-0.9,10.83,ARM_SWING
