
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
1,0.688,-0.238,-0.190,0.752,-4.4,-5.8,-21.4,22.60,ARM_SWING
50,0.718,-0.352,-0.201,0.825,-3.4,11.0,-71.1,72.03,ARM_SWING
100,0.772,-0.341,-0.237,0.877,1.4,21.2,-106.8,108.89,ARM_SWING
150,0.871,-0.421,-0.288,1.009,13.8,32.6,-138.0,142.47,ARM_SWING
200,0.974,-0.508,-0.342,1.151,30.3,30.8,-151.7,157.73,ARM_SWING
250,1.013,-0.630,-0.364,1.247,65.1,33.4,-143.1,160.72,ARM_SWING
300,0.984,-0.692,-0.352,1.253,67.6,10.1,-108.3,128.07,ARM_SWING
350,0.898,-0.713,-0.343,1.197,43.6,2.9,-63.9,77.41,ARM_SWING
400,0.797,-0.699,-0.320,1.107,17.5,-3.0,-19.6,26.45,ARM_SWING
450,0.728,-0.651,-0.306,1.023,-7.0,-17.9,14.1,23.84,ARM_SWING
500,0.661,-0.677,-0.343,1.006,-46.8,18.1,21.0,54.40,ARM_SWING
550,0.763,-0.642,-0.307,1.043,-19.6,-10.8,36.8,43.07,ARM_SWING
600,0.869,-0.706,-0.357,1.175,-35.7,-3.1,56.2,66.65,ARM_SWING
650,1.008,-0.764,-0.394,1.325,11.9,-21.0,107.4,110.08,ARM_SWING
700,1.057,-0.716,-0.416,1.343,29.6,-30.6,150.5,156.41,ARM_SWING
750,1.023,-0.646,-0.414,1.279,7.4,-33.3,159.4,163.01,ARM_SWING
800,0.958,-0.467,-0.323,1.114,-20.2,-40.1,149.3,155.91,ARM_SWING
850,0.858,-0.340,-0.247,0.955,-25.6,-37.6,122.4,130.58,ARM_SWING
900,0.723,-0.281,-0.195,0.800,-24.7,-26.1,80.9,88.52,ARM_SWING
950,0.645,-0.228,-0.155,0.701,-22.9,-14.4,26.1,37.59,ARM_SWING
1000,0.602,-0.249,-0.131,0.665,-20.0,0.4,-26.1,32.88,ARM_SWING
1050,0.632,-0.316,-0.157,0.724,-16.3,14.4,-80.3,83.19,ARM_SWING
1100,0.714,-0.405,-0.197,0.844,-9.6,41.1,-123.2,130.23,ARM_SWING
1150,0.854,-0.492,-0.282,1.025,-2.1,63.7,-154.4,167.04,ARM_SWING
1200,1.027,-0.597,-0.386,1.249,13.0,63.7,-160.5,173.17,ARM_SWING
1250,1.098,-0.759,-0.526,1.435,60.6,34.4,-129.1,146.71,ARM_SWING
1300,0.950,-0.813,-0.435,1.324,109.2,-5.8,-72.4,131.15,ARM_SWING
1350,0.786,-0.784,-0.398,1.179,96.1,-21.2,-30.8,103.12,ARM_SWING
1400,0.666,-0.736,-0.317,1.042,45.6,-16.4,-9.7,49.42,ARM_SWING
1450,0.675,-0.511,-0.221,0.875,-35.7,-7.4,-9.5,37.68,ARM_SWING
1500,0.686,-0.768,-0.400,1.105,-35.0,15.5,17.6,42.13,ARM_SWING
1550,0.812,-0.720,-0.327,1.133,-57.6,-7.0,45.2,73.55,ARM_SWING
1600,0.880,-0.743,-0.331,1.198,-41.4,-8.4,68.1,80.14,ARM_SWING
1650,0.936,-0.732,-0.315,1.229,1.1,-19.8,101.7,103.62,ARM_SWING
1700,0.994,-0.666,-0.303,1.234,-3.8,-17.5,122.8,124.10,ARM_SWING
1750,1.003,-0.549,-0.263,1.173,-16.8,-15.1,136.5,138.36,ARM_SWING
1800,0.942,-0.421,-0.235,1.058,-27.6,-22.8,125.5,130.51,ARM_SWING
1850,0.823,-0.340,-0.216,0.916,-31.4,-24.1,99.9,107.46,ARM_SWING
1900,0.715,-0.282,-0.209,0.797,-23.8,-17.9,56.1,63.51,ARM_SWING
1950,0.652,-0.255,-0.204,0.729,-23.5,-11.1,6.3,26.74,ARM_SWING
2000,0.652,-0.308,-0.231,0.757,-17.2,-1.4,-43.7,46.98,ARM_SWING
2050,0.704,-0.372,-0.277,0.843,-6.7,11.8,-86.2,87.26,ARM_SWING
2100,0.781,-0.450,-0.285,0.945,12.1,21.9,-116.8,119.45,ARM_SWING
2150,0.841,-0.561,-0.317,1.059,29.3,27.0,-131.7,137.59,ARM_SWING
2200,0.900,-0.627,-0.356,1.153,40.8,31.5,-135.9,145.35,ARM_SWING
2250,0.926,-0.671,-0.368,1.201,63.0,18.9,-127.5,143.47,ARM_SWING
2300,0.899,-0.729,-0.355,1.211,73.7,4.6,-101.2,125.28,ARM_SWING
2350,0.839,-0.750,-0.338,1.175,42.4,2.4,-69.2,81.19,ARM_SWING
2400,0.780,-0.743,-0.337,1.129,8.8,4.6,-31.5,33.03,ARM_SWING
2450,0.856,-0.728,-0.241,1.149,-11.6,10.4,-12.9,20.23,ARM_SWING
2500,0.804,-0.674,-0.375,1.114,-46.2,-1.8,31.8,56.12,ARM_SWING
2550,0.849,-0.693,-0.333,1.145,-49.2,-3.2,53.9,73.05,ARM_SWING
2600,0.898,-0.741,-0.320,1.207,-4.8,-16.1,85.1,86.74,ARM_SWING
2650,0.952,-0.683,-0.299,1.209,-12.8,-8.4,115.9,116.91,ARM_SWING
2700,0.990,-0.645,-0.308,1.221,-23.8,-11.4,137.5,140.01,ARM_SWING
2750,0.978,-0.564,-0.274,1.162,-34.3,-27.0,138.8,145.50,ARM_SWING
2800,0.915,-0.461,-0.240,1.052,-48.3,-34.4,126.5,139.71,ARM_SWING
2850,0.861,-0.371,-0.212,0.961,-49.5,-19.8,102.9,115.89,ARM_SWING
2900,0.790,-0.290,-0.191,0.863,-27.5,-20.0,63.0,71.59,ARM_SWING
2950,0.687,-0.230,-0.175,0.745,-13.4,-10.3,17.4,24.26,ARM_SWING
3000,0.653,-0.248,-0.194,0.725,-8.8,2.8,-38.7,39.79,ARM_SWING
3050,0.698,-0.335,-0.239,0.810,-1.5,13.5,-84.4,85.49,ARM_SWING
3100,0.801,-0.468,-0.305,0.977,8.6,36.0,-117.1,122.81,ARM_SWING
3150,0.890,-0.496,-0.320,1.068,25.0,30.3,-137.2,142.71,ARM_SWING
3200,0.934,-0.558,-0.361,1.146,58.5,28.7,-149.9,163.45,ARM_SWING
3250,0.955,-0.664,-0.368,1.220,81.1,20.4,-143.5,166.09,ARM_SWING
3300,0.919,-0.754,-0.358,1.241,87.0,6.0,-113.5,143.13,ARM_SWING
3350,0.869,-0.786,-0.379,1.232,43.1,11.9,-69.9,82.98,ARM_SWING
3400,0.786,-0.820,-0.377,1.197,7.7,6.2,-23.1,25.13,ARM_SWING
