
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,1.016,-0.840,-0.437,1.389,43.6,12.2,-137.8,145.05,ARM_SWING
50,0.894,-0.941,-0.397,1.357,55.5,4.0,-111.8,124.88,ARM_SWING
100,0.748,-0.974,-0.416,1.297,31.7,3.9,-80.7,86.79,ARM_SWING
150,0.687,-1.047,-0.438,1.327,126.9,25.2,-63.3,144.03,ARM_SWING
200,0.657,-0.924,-0.364,1.191,-1.8,-7.0,-4.3,8.41,ARM_SWING
250,0.702,-0.890,-0.373,1.193,-77.2,-24.6,30.4,86.54,ARM_SWING
300,0.790,-0.885,-0.372,1.243,-36.8,-24.9,63.0,77.09,ARM_SWING
350,0.883,-0.931,-0.434,1.355,34.3,-27.6,99.9,109.17,ARM_SWING
400,0.994,-0.954,-0.409,1.437,-3.5,-38.8,136.3,141.76,ARM_SWING
450,1.039,-0.898,-0.433,1.440,3.3,-54.6,167.7,176.40,ARM_SWING
500,0.945,-0.929,-0.385,1.380,-31.7,-44.3,177.9,186.05,ARM_SWING
550,0.935,-0.809,-0.359,1.287,-37.5,-40.6,169.4,178.19,ARM_SWING
600,0.836,-0.767,-0.352,1.188,-15.3,-40.2,164.4,169.93,ARM_SWING
650,0.703,-0.669,-0.304,1.017,-14.6,-35.2,147.9,152.73,ARM_SWING
700,0.567,-0.519,-0.258,0.811,7.4,-31.2,124.3,128.37,ARM_SWING
750,0.494,-0.449,-0.175,0.690,1.1,-23.3,100.5,103.17,ARM_SWING
800,0.447,-0.188,-0.143,0.506,-63.7,-11.7,68.8,94.49,ARM_SWING
850,0.314,-0.066,-0.107,0.338,-80.9,-0.9,5.7,81.11,ARM_SWING
900,0.316,-0.188,-0.166,0.403,-67.2,27.1,-67.4,98.96,ARM_SWING
950,0.411,-0.462,-0.320,0.696,-3.8,37.4,-109.2,115.49,ARM_SWING
1000,0.560,-0.664,-0.303,0.920,45.4,67.8,-143.7,165.25,ARM_SWING
1050,0.705,-0.764,-0.356,1.099,70.9,65.3,-161.0,187.65,ARM_SWING
1100,0.765,-0.736,-0.293,1.101,57.9,82.7,-178.7,205.24,ARM_SWING
