
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.795,-0.545,-0.226,0.990,-2.5,4.8,1.1,5.52,WALKING
50,0.797,-0.542,-0.223,0.989,-1.6,0.0,1.3,2.06,WALKING
100,0.800,-0.538,-0.228,0.991,0.9,-3.0,0.3,3.15,WALKING
150,0.795,-0.533,-0.231,0.985,2.2,-4.6,-0.5,5.12,WALKING
200,0.791,-0.535,-0.231,0.982,1.0,-3.6,-2.4,4.44,WALKING
250,0.791,-0.551,-0.233,0.992,-2.2,0.3,-6.0,6.40,WALKING
300,0.798,-0.560,-0.243,1.005,-1.8,3.0,0.9,3.61,WALKING
350,0.789,-0.548,-0.239,0.990,-1.5,-1.1,-2.8,3.36,WALKING
400,0.786,-0.545,-0.232,0.984,1.1,-0.9,-3.8,4.06,WALKING
450,0.791,-0.552,-0.228,0.991,0.9,-2.5,4.7,5.40,WALKING
500,0.784,-0.540,-0.228,0.979,-0.4,-3.8,4.3,5.75,WALKING
550,0.778,-0.544,-0.228,0.976,3.2,-4.5,-0.2,5.53,WALKING
600,0.776,-0.533,-0.232,0.970,4.5,-2.1,0.2,4.97,WALKING
650,0.772,-0.527,-0.237,0.964,6.0,-2.8,1.0,6.70,WALKING
700,0.774,-0.532,-0.237,0.969,9.4,-1.2,5.2,10.81,WALKING
750,0.763,-0.527,-0.229,0.955,8.6,0.9,0.1,8.65,WALKING
800,0.760,-0.561,-0.230,0.972,6.8,5.8,-6.0,10.76,WALKING
850,0.759,-0.601,-0.242,0.998,8.8,3.6,-2.3,9.78,WALKING
900,0.745,-0.646,-0.252,1.018,8.1,1.7,2.2,8.56,WALKING
950,0.709,-0.669,-0.256,1.008,5.3,1.6,12.0,13.22,WALKING
1000,0.725,-0.745,-0.222,1.063,-7.5,-5.3,22.1,23.93,WALKING
1050,0.749,-0.711,-0.187,1.050,0.0,-4.0,26.3,26.60,WALKING
1100,0.709,-0.706,-0.173,1.015,7.9,-0.9,23.3,24.62,WALKING
1150,0.735,-0.725,-0.204,1.052,-16.3,13.9,25.2,33.07,WALKING
1200,0.748,-0.699,-0.227,1.049,-17.2,6.8,26.6,32.40,WALKING
1250,0.741,-0.671,-0.220,1.024,-14.8,3.9,31.2,34.75,WALKING
1300,0.714,-0.639,-0.178,0.975,-17.2,4.6,23.0,29.09,WALKING
1350,0.701,-0.645,-0.171,0.968,-17.7,0.2,14.9,23.14,WALKING
1400,0.691,-0.633,-0.206,0.959,-16.5,0.3,5.3,17.33,WALKING
1450,0.704,-0.628,-0.220,0.969,-13.8,1.7,-6.2,15.22,WALKING
1500,0.748,-0.596,-0.160,0.970,-6.7,-5.8,-11.5,14.52,WALKING
1550,0.802,-0.581,-0.174,1.006,1.8,-6.0,-23.3,24.13,WALKING
1600,0.839,-0.570,-0.185,1.031,5.2,-4.3,-39.3,39.88,WALKING
1650,0.792,-0.587,-0.215,1.009,6.7,-0.8,-47.2,47.68,WALKING
1700,0.752,-0.529,-0.269,0.958,6.9,-9.4,-47.3,48.72,WALKING
1750,0.752,-0.534,-0.293,0.968,28.6,-38.2,-46.0,66.28,WALKING
