
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.779,-0.572,-0.214,0.990,-4.8,5.9,17.3,18.90,WALKING
50,0.783,-0.573,-0.221,0.995,-2.6,1.6,1.2,3.28,WALKING
100,0.784,-0.569,-0.226,0.995,-1.6,0.2,2.6,3.06,WALKING
150,0.786,-0.565,-0.217,0.992,-1.0,-1.6,3.7,4.15,WALKING
200,0.790,-0.560,-0.224,0.994,-1.1,-0.5,2.8,3.05,WALKING
250,0.790,-0.565,-0.213,0.994,-3.9,0.4,5.7,6.92,WALKING
300,0.797,-0.552,-0.220,0.994,-6.7,-5.1,3.1,8.97,WALKING
350,0.796,-0.564,-0.224,1.001,-3.5,1.3,4.5,5.85,WALKING
400,0.788,-0.544,-0.209,0.980,-3.4,0.2,-3.7,5.03,WALKING
450,0.790,-0.550,-0.221,0.988,2.0,-0.9,-0.6,2.27,WALKING
500,0.779,-0.549,-0.214,0.977,3.2,-2.4,2.3,4.61,WALKING
550,0.756,-0.548,-0.221,0.960,5.6,-4.6,-2.3,7.60,WALKING
600,0.681,-0.497,-0.152,0.857,14.8,-4.1,0.0,15.36,WALKING
650,0.734,-0.501,-0.286,0.934,31.9,-6.3,-10.2,34.08,WALKING
700,0.631,-0.666,-0.329,0.975,63.3,-13.6,-20.6,67.94,WALKING
750,0.570,-0.997,-0.385,1.211,40.2,0.9,-0.7,40.22,WALKING
800,0.679,-1.053,-0.305,1.290,-22.2,4.4,20.5,30.54,WALKING
850,0.784,-0.986,-0.225,1.280,-0.7,-8.1,48.7,49.37,WALKING
900,0.659,-0.866,-0.186,1.104,12.4,-10.1,80.7,82.27,WALKING
950,0.558,-0.678,-0.116,0.886,-4.6,2.3,92.1,92.24,WALKING
1000,0.562,-0.568,-0.079,0.803,-24.6,6.7,71.8,76.19,WALKING
1050,0.630,-0.480,-0.118,0.801,-25.2,10.7,31.7,41.89,WALKING
1100,0.751,-0.453,-0.167,0.893,-7.6,3.3,-7.9,11.45,WALKING
1150,0.859,-0.479,-0.196,1.003,16.4,5.6,-49.2,52.16,WALKING
1200,0.953,-0.461,-0.208,1.079,11.9,0.2,-91.2,91.97,WALKING
1250,0.968,-0.483,-0.247,1.110,31.6,-12.0,-133.7,137.91,WALKING
1300,0.933,-0.608,-0.235,1.138,28.9,-26.7,-157.2,162.05,WALKING
1350,0.778,-0.609,-0.129,0.996,36.8,-28.0,-131.4,139.30,WALKING
1400,1.010,-0.663,-0.157,1.218,45.2,-27.9,-113.2,125.04,WALKING
1450,0.845,-0.751,-0.178,1.144,35.9,-19.1,-85.7,94.86,WALKING
1500,0.581,-0.754,-0.216,0.976,22.6,-11.1,-38.4,45.92,WALKING
1550,0.519,-0.732,-0.204,0.920,-12.2,-5.2,5.1,14.21,WALKING
1600,0.610,-0.700,-0.304,0.977,1.6,-13.8,32.2,35.07,WALKING
1650,0.802,-0.793,-0.259,1.157,18.9,-9.3,40.7,45.83,WALKING
1700,0.879,-0.800,-0.212,1.207,10.6,12.5,58.0,60.27,WALKING
1750,0.918,-0.731,-0.165,1.185,1.5,19.3,84.8,86.98,WALKING
1800,1.162,-0.797,-0.213,1.425,-19.8,21.7,86.7,91.54,WALKING
1850,1.248,-0.853,-0.051,1.513,-64.6,11.4,108.1,126.45,WALKING
1900,1.292,-0.711,-0.047,1.475,-30.9,10.6,129.6,133.65,WALKING
1950,1.007,-0.613,-0.097,1.183,-16.8,20.2,153.5,155.73,WALKING
2000,0.756,-0.515,-0.055,0.916,-58.5,31.1,164.2,177.06,WALKING
2050,0.669,-0.345,-0.087,0.758,-93.8,31.3,147.7,177.75,WALKING
2100,0.610,-0.249,-0.095,0.666,-88.1,21.4,98.9,134.17,WALKING
2150,0.574,-0.172,-0.095,0.607,-48.8,-1.2,30.9,57.77,WALKING
2200,0.545,-0.219,-0.093,0.595,-17.2,-5.3,-58.5,61.21,WALKING
2250,0.784,-0.291,-0.094,0.842,25.8,-14.9,-150.6,153.52,WALKING
2300,1.313,-0.437,-0.055,1.385,84.7,-22.4,-251.3,266.13,WALKING
2350,1.028,-0.765,-0.168,1.292,93.9,-8.3,-243.8,261.39,WALKING
