
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.844,-0.549,-0.167,1.021,1.0,1.9,-4.4,4.90,WALKING
50,0.847,-0.573,-0.173,1.037,1.3,-1.4,2.3,2.99,WALKING
100,0.810,-0.537,-0.181,0.989,1.5,-2.9,2.3,3.99,WALKING
150,0.789,-0.521,-0.183,0.963,0.9,-4.4,0.0,4.49,WALKING
200,0.799,-0.526,-0.186,0.975,2.5,-4.5,-1.8,5.45,WALKING
250,0.819,-0.550,-0.179,1.003,-0.1,0.2,-4.5,4.51,WALKING
300,0.826,-0.544,-0.172,1.004,0.0,1.4,2.1,2.52,WALKING
350,0.811,-0.542,-0.176,0.991,-2.1,1.9,1.6,3.25,WALKING
400,0.795,-0.518,-0.180,0.966,1.3,1.8,-0.9,2.40,WALKING
450,0.754,-0.506,-0.179,0.926,10.0,-2.2,5.2,11.48,WALKING
500,0.642,-0.556,-0.148,0.862,7.0,1.2,1.6,7.28,WALKING
550,0.729,-0.678,-0.205,1.016,3.2,9.3,-8.7,13.13,WALKING
600,0.871,-0.780,-0.265,1.199,-1.7,3.0,-0.4,3.47,WALKING
650,0.810,-0.814,-0.252,1.176,27.3,-9.7,23.8,37.49,WALKING
700,0.667,-0.744,-0.210,1.021,20.0,-5.5,48.0,52.29,WALKING
750,0.590,-0.620,-0.189,0.876,-10.1,3.8,43.8,45.11,WALKING
800,0.666,-0.540,-0.182,0.877,-10.0,-4.4,13.9,17.68,WALKING
850,0.821,-0.522,-0.177,0.989,11.0,-21.9,-6.5,25.35,WALKING
900,0.857,-0.523,-0.144,1.014,21.7,-25.9,-16.8,37.74,WALKING
950,0.917,-0.470,-0.120,1.037,13.3,-17.2,-37.7,43.52,WALKING
1000,0.927,-0.473,-0.106,1.046,6.3,-8.3,-64.9,65.73,WALKING
1050,0.894,-0.539,-0.133,1.052,-14.8,-2.8,-71.5,73.07,WALKING
1100,0.793,-0.438,-0.119,0.914,-6.5,-13.0,-56.4,58.24,WALKING
1150,0.875,-0.554,-0.154,1.047,31.9,-4.5,-42.0,52.93,WALKING
1200,0.884,-0.560,-0.200,1.065,12.4,-1.9,-37.3,39.35,WALKING
1250,0.717,-0.482,-0.275,0.907,10.0,2.5,-13.9,17.30,WALKING
1300,0.690,-0.405,-0.221,0.830,5.6,-7.5,-17.5,19.85,WALKING
1350,0.711,-0.419,-0.242,0.860,19.5,-10.5,-15.4,26.98,WALKING
1400,0.809,-0.500,-0.197,0.971,4.6,-11.1,-13.7,18.22,WALKING
1450,0.869,-0.525,-0.207,1.036,21.7,-2.6,-14.7,26.34,WALKING
1500,0.919,-0.591,-0.211,1.113,15.8,-1.8,-7.9,17.76,WALKING
1550,0.975,-0.619,-0.247,1.181,3.7,5.5,-6.5,9.28,WALKING
1600,1.056,-0.632,-0.304,1.268,7.5,-4.9,-0.9,9.00,WALKING
1650,0.911,-0.620,-0.243,1.128,12.4,-10.9,33.3,37.17,WALKING
1700,0.854,-0.421,-0.001,0.952,-18.2,1.1,52.5,55.58,WALKING
1750,0.879,-0.104,0.010,0.885,-49.0,15.8,42.2,66.57,WALKING
1800,1.011,-0.190,0.026,1.029,-19.9,1.8,12.1,23.36,WALKING
1850,0.914,-0.328,-0.034,0.972,-31.2,12.8,3.2,33.88,WALKING
