
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.795,-0.558,-0.196,0.991,-1.2,3.7,-2.1,4.42,WALKING
50,0.793,-0.554,-0.197,0.987,-2.1,-2.0,3.9,4.86,WALKING
100,0.795,-0.562,-0.201,0.994,0.8,-2.4,-0.2,2.54,WALKING
150,0.798,-0.554,-0.209,0.994,0.0,-2.1,0.0,2.10,WALKING
200,0.797,-0.549,-0.211,0.991,0.9,-2.4,0.2,2.57,WALKING
250,0.793,-0.545,-0.209,0.985,-2.3,0.4,-4.0,4.63,WALKING
300,0.795,-0.545,-0.202,0.985,-0.5,1.3,1.4,1.97,WALKING
350,0.799,-0.550,-0.199,0.990,-1.1,0.8,-4.5,4.70,WALKING
400,0.797,-0.550,-0.198,0.988,-1.1,3.5,-4.1,5.50,WALKING
450,0.782,-0.540,-0.202,0.972,2.4,-2.6,-16.8,17.17,WALKING
500,0.763,-0.540,-0.196,0.955,5.6,-4.5,-1.0,7.25,WALKING
550,0.766,-0.555,-0.177,0.962,7.5,-2.8,-1.6,8.16,WALKING
600,0.776,-0.529,-0.211,0.963,16.1,1.6,-0.8,16.20,WALKING
650,0.793,-0.547,-0.296,1.008,47.8,-8.4,-4.9,48.78,WALKING
700,0.701,-0.872,-0.297,1.158,29.8,-3.6,-4.7,30.38,WALKING
750,0.692,-0.856,-0.357,1.157,-17.0,7.0,9.6,20.74,WALKING
800,0.690,-0.981,-0.319,1.241,6.7,-2.0,32.4,33.15,WALKING
850,0.687,-1.109,-0.190,1.318,4.4,-17.0,62.7,65.11,WALKING
900,0.649,-1.059,-0.195,1.257,5.8,-21.4,100.8,103.21,WALKING
950,0.597,-0.970,-0.168,1.151,0.0,-15.7,133.3,134.22,WALKING
1000,0.637,-0.996,-0.197,1.199,3.3,-21.3,143.1,144.71,WALKING
1050,0.491,-1.060,-0.291,1.204,44.3,-28.0,168.3,176.27,WALKING
1100,0.288,-0.828,-0.250,0.912,-11.6,-36.5,155.4,160.05,WALKING
1150,0.115,-0.560,-0.227,0.615,-15.6,-30.4,112.8,117.86,WALKING
1200,0.075,-0.507,-0.143,0.532,-35.2,-11.3,50.5,62.59,WALKING
1250,0.208,-0.432,-0.117,0.494,-45.7,-1.1,-18.6,49.35,WALKING
1300,0.434,-0.449,-0.098,0.632,-42.4,16.7,-95.4,105.73,WALKING
1350,0.679,-0.443,-0.111,0.818,-9.8,10.6,-171.1,171.71,WALKING
1400,0.718,-0.530,-0.071,0.895,1.4,24.5,-213.8,215.20,WALKING
1450,1.044,-0.563,-0.145,1.195,-33.8,47.9,-210.9,218.90,WALKING
1500,1.303,-0.516,-0.167,1.411,8.6,-0.7,-173.4,173.61,WALKING
1550,1.333,-0.530,-0.123,1.440,146.5,-39.1,-148.4,212.16,WALKING
1600,1.127,-0.805,-0.135,1.392,149.2,-25.9,-125.0,196.36,WALKING
1650,0.898,-0.768,-0.218,1.202,27.2,11.9,-99.1,103.45,WALKING
1700,0.830,-0.638,-0.275,1.082,-2.5,12.3,-80.3,81.28,WALKING
1750,0.741,-0.644,-0.333,1.037,39.8,-8.8,-69.6,80.66,WALKING
1800,0.671,-0.773,-0.292,1.064,41.5,-13.8,-55.7,70.82,WALKING
1850,0.667,-0.787,-0.317,1.079,3.6,-9.7,-32.6,34.20,WALKING
1900,0.677,-0.765,-0.309,1.067,10.5,-10.9,-2.3,15.31,WALKING
1950,0.735,-0.793,-0.289,1.119,-8.1,-4.4,14.9,17.52,WALKING
2000,0.832,-0.774,-0.293,1.174,-22.6,-2.4,36.5,43.00,WALKING
2050,1.007,-0.827,-0.203,1.319,-35.9,1.4,51.4,62.71,WALKING
2100,1.144,-0.852,-0.212,1.442,-66.4,4.9,61.6,90.71,WALKING
2150,1.188,-0.836,-0.094,1.456,-89.3,6.5,115.5,146.14,WALKING
2200,1.254,-0.701,-0.111,1.441,-97.3,14.9,159.8,187.68,WALKING
2250,1.179,-0.658,-0.054,1.351,-77.7,-4.2,182.1,198.03,WALKING
2300,1.109,-0.589,-0.095,1.259,-59.5,-17.6,161.4,172.92,WALKING
2350,0.947,-0.583,-0.122,1.119,-36.7,-26.1,178.5,184.09,WALKING
2400,0.799,-0.607,-0.062,1.005,-41.2,-28.2,169.1,176.32,WALKING
2450,0.710,-0.625,-0.117,0.953,-34.5,-15.4,154.0,158.57,WALKING
2500,0.465,-0.570,-0.138,0.748,-2.3,-29.0,145.1,147.99,WALKING
2550,0.255,-0.518,-0.206,0.613,5.6,-23.2,120.6,122.94,WALKING
2600,0.173,-0.419,-0.218,0.503,-0.4,-19.6,64.8,67.70,WALKING
2650,0.207,-0.387,-0.241,0.501,6.1,-18.5,2.8,19.68,WALKING
2700,0.322,-0.408,-0.259,0.581,7.0,2.3,-66.0,66.41,WALKING
2750,0.686,-0.325,-0.154,0.775,26.3,7.9,-170.1,172.30,WALKING
2800,0.720,-0.518,-0.173,0.904,43.6,33.0,-240.1,246.25,WALKING
2850,1.029,-0.721,-0.394,1.317,-10.4,38.5,-232.6,235.99,WALKING
2900,1.416,-0.406,-0.176,1.484,-11.3,0.7,-262.8,263.04,WALKING
2950,1.378,-0.693,-0.170,1.552,156.0,-23.1,-250.1,295.67,WALKING
3000,1.340,-1.067,-0.247,1.731,27.5,11.2,-201.0,203.18,WALKING
3050,0.998,-0.824,-0.173,1.306,-77.2,40.6,-130.1,156.63,WALKING
3100,0.741,-0.751,-0.330,1.105,-25.4,43.3,-82.6,96.66,WALKING
3150,0.627,-0.752,-0.346,1.038,-8.6,35.8,-47.0,59.70,WALKING
3200,0.596,-0.720,-0.413,1.022,30.6,-1.2,-15.1,34.14,WALKING
3250,0.812,-0.845,-0.348,1.222,51.1,-11.6,7.7,52.96,WALKING
3300,0.936,-0.818,-0.307,1.280,47.9,-17.1,37.2,63.01,WALKING
3350,1.100,-0.844,-0.185,1.399,59.2,-0.7,70.5,92.06,WALKING
3400,1.154,-0.816,-0.366,1.460,-9.3,22.7,102.0,104.91,WALKING
3450,1.088,-0.728,-0.362,1.358,-7.0,1.2,144.1,144.27,WALKING
3500,1.159,-0.731,-0.282,1.399,-3.1,-18.6,164.0,165.08,WALKING
3550,1.265,-0.830,-0.317,1.546,-17.2,-22.8,176.6,178.89,WALKING
3600,1.223,-0.758,-0.228,1.457,-17.0,-24.2,187.6,189.92,WALKING
3650,1.032,-0.773,-0.194,1.304,-38.7,-14.5,196.2,200.51,WALKING
3700,0.858,-0.718,-0.224,1.141,-75.0,-21.2,199.7,214.37,WALKING
3750,0.661,-0.613,-0.114,0.909,-57.0,-29.2,195.7,205.91,WALKING
3800,0.469,-0.538,-0.084,0.719,-77.2,-31.3,169.6,188.95,WALKING
3850,0.280,-0.405,-0.239,0.547,-41.0,-34.3,128.8,139.45,WALKING
3900,0.180,-0.409,-0.201,0.490,-30.6,-31.6,69.2,82.00,WALKING
3950,0.141,-0.358,-0.223,0.445,-1.4,-23.6,13.3,27.13,WALKING
4000,0.248,-0.357,-0.121,0.451,16.7,-7.8,-53.9,56.96,WALKING
4050,0.398,-0.375,-0.270,0.610,52.0,12.0,-146.2,155.64,WALKING
4100,0.351,-0.708,-0.282,0.839,3.7,22.1,-185.7,187.05,WALKING
4150,0.730,-0.590,-0.270,0.977,-25.5,32.7,-211.0,215.04,WALKING
4200,0.922,-0.798,-0.139,1.227,34.5,32.4,-221.5,226.50,WALKING
4250,0.956,-0.928,-0.232,1.352,25.4,28.7,-222.1,225.38,WALKING
4300,1.051,-0.838,-0.339,1.386,33.4,44.4,-219.1,226.03,WALKING
4350,1.043,-0.714,-0.289,1.297,67.4,46.5,-192.1,208.82,WALKING
4400,1.029,-0.902,-0.311,1.403,68.3,32.0,-150.7,168.52,WALKING
4450,0.946,-0.871,-0.475,1.371,39.1,23.9,-132.4,140.11,WALKING
4500,0.874,-0.894,-0.528,1.357,25.1,13.4,-75.3,80.50,WALKING
4550,0.814,-0.843,-0.499,1.274,38.9,-6.9,-35.4,53.05,WALKING
4600,0.776,-0.938,-0.341,1.264,-9.3,-5.8,-8.7,13.99,WALKING
4650,1.010,-1.010,-0.538,1.526,-92.8,8.4,16.5,94.63,WALKING
4700,0.894,-0.823,-0.301,1.252,-73.0,-20.7,90.5,118.10,WALKING
4750,1.030,-0.703,-0.318,1.287,-50.3,-36.4,143.9,156.72,WALKING
4800,1.130,-0.662,-0.392,1.367,-14.5,-70.2,152.1,168.14,WALKING
4850,1.245,-0.707,-0.320,1.467,12.6,-80.1,151.4,171.75,WALKING
4900,1.312,-0.741,-0.311,1.539,-21.3,-71.8,176.6,191.82,WALKING
4950,1.136,-0.637,-0.353,1.349,12.6,-75.8,183.6,199.03,WALKING
5000,1.000,-0.606,-0.359,1.223,-3.4,-76.6,189.2,204.15,WALKING
5050,0.772,-0.475,-0.299,0.954,-23.3,-62.7,176.0,188.28,WALKING
5100,0.458,-0.377,-0.229,0.636,-0.1,-60.9,143.5,155.89,WALKING
5150,0.397,-0.366,-0.276,0.606,23.0,-43.3,111.2,121.53,WALKING
5200,0.323,-0.389,-0.289,0.582,16.0,-33.2,62.3,72.38,WALKING
5250,0.288,-0.317,-0.331,0.541,10.8,-26.6,14.2,32.03,WALKING
5300,0.396,-0.310,-0.290,0.581,19.2,-27.0,-61.0,69.42,WALKING
5350,0.494,-0.308,-0.259,0.637,35.7,-17.8,-147.9,153.19,WALKING
5400,0.600,-0.559,-0.305,0.875,27.0,-7.4,-161.2,163.61,WALKING
5450,0.915,-0.477,-0.171,1.046,-3.7,-14.5,-184.3,184.91,WALKING
5500,1.123,-0.540,-0.125,1.252,59.5,-36.6,-241.1,251.02,WALKING
5550,1.182,-0.856,-0.107,1.463,74.8,-38.2,-249.9,263.64,WALKING
5600,1.272,-0.928,-0.207,1.588,97.5,-21.3,-235.4,255.68,WALKING
5650,1.225,-0.929,-0.085,1.540,136.8,-0.1,-206.7,247.87,WALKING
5700,1.045,-1.102,-0.167,1.528,87.9,-17.0,-173.3,195.06,WALKING
5750,0.844,-0.934,-0.192,1.273,68.8,-16.8,-139.6,156.54,WALKING
5800,0.650,-1.026,-0.237,1.237,122.6,-20.6,-115.7,169.83,WALKING
5850,0.547,-1.055,-0.353,1.240,88.0,-14.6,-85.3,123.42,WALKING
5900,1.022,-1.212,-0.478,1.656,77.6,-6.8,-71.3,105.60,WALKING
5950,0.804,-0.979,-0.400,1.328,128.8,-38.6,44.2,141.54,WALKING
6000,1.044,-0.795,-0.607,1.446,156.8,-41.8,143.5,216.62,WALKING
6050,0.980,-0.832,-0.367,1.337,179.7,-57.1,179.8,260.54,WALKING
6100,0.930,-0.923,-0.432,1.380,108.5,-16.2,175.7,207.14,WALKING
6150,0.905,-1.043,-0.512,1.473,21.1,2.8,190.7,191.88,WALKING
6200,0.925,-1.025,-0.278,1.408,3.2,13.6,213.5,213.96,WALKING
6250,0.964,-0.968,-0.289,1.396,-33.3,12.3,212.2,215.15,WALKING
6300,0.840,-0.873,-0.206,1.229,-15.4,-1.2,212.0,212.56,WALKING
6350,0.610,-0.602,-0.272,0.899,-71.6,1.4,186.4,199.68,WALKING
6400,0.328,-0.379,-0.205,0.542,-55.7,-10.2,149.6,159.96,WALKING
6450,0.198,-0.235,-0.244,0.392,-43.9,-14.0,85.4,97.04,WALKING
6500,0.057,-0.197,-0.225,0.304,-52.6,-10.2,4.2,53.74,WALKING
6550,0.283,-0.223,-0.199,0.412,-16.8,-6.4,-64.9,67.34,WALKING
6600,0.375,-0.290,-0.117,0.488,25.2,2.2,-152.8,154.88,WALKING
6650,0.571,-0.589,-0.311,0.877,2.3,5.7,-192.9,193.00,WALKING
6700,0.939,-0.591,-0.189,1.125,-22.1,-7.6,-224.7,225.91,WALKING
6750,1.036,-0.734,-0.123,1.276,48.8,-25.2,-246.8,252.84,WALKING
6800,1.111,-0.848,-0.133,1.404,76.7,-22.3,-248.7,261.21,WALKING
6850,1.152,-0.918,-0.124,1.478,56.4,-13.8,-245.9,252.66,WALKING
6900,1.168,-0.874,-0.171,1.469,56.0,-4.4,-220.4,227.45,WALKING
6950,1.117,-0.911,-0.142,1.448,59.9,0.0,-185.4,194.84,WALKING
7000,1.056,-0.969,-0.161,1.442,72.8,2.3,-154.4,170.72,WALKING
7050,0.992,-1.167,-0.271,1.555,24.1,15.4,-118.0,121.42,WALKING
7100,0.873,-1.108,-0.358,1.455,-16.5,17.6,-48.1,53.81,WALKING
7150,1.011,-1.193,-0.428,1.621,6.3,11.9,17.9,22.40,WALKING
7200,0.875,-1.003,-0.296,1.364,8.8,1.6,89.1,89.55,WALKING
7250,0.895,-0.865,-0.247,1.269,-9.8,4.3,152.3,152.68,WALKING
7300,1.001,-0.759,-0.187,1.270,-45.9,15.9,179.4,185.86,WALKING
7350,1.198,-0.723,-0.128,1.405,-95.2,12.9,173.0,197.88,WALKING
7400,1.339,-0.722,-0.031,1.522,-64.7,-14.3,164.4,177.25,WALKING
7450,1.267,-0.624,-0.068,1.414,-41.0,-30.5,182.4,189.42,WALKING
7500,1.098,-0.728,-0.072,1.319,-20.1,-21.6,205.8,207.90,WALKING
7550,0.945,-0.723,-0.098,1.194,-28.0,-10.6,211.5,213.61,WALKING
7600,0.744,-0.661,-0.174,1.010,-19.4,-22.6,202.3,204.48,WALKING
7650,0.500,-0.535,-0.102,0.739,-8.5,-34.6,166.3,170.07,WALKING
7700,0.326,-0.360,-0.174,0.516,18.9,-43.4,126.2,134.79,WALKING
7750,0.162,-0.292,-0.151,0.366,21.4,-36.3,73.3,84.55,WALKING
7800,0.113,-0.233,-0.124,0.287,8.1,-19.3,-5.6,21.67,WALKING
7850,0.292,-0.199,0.004,0.353,3.2,-9.5,-98.3,98.81,WALKING
7900,0.663,-0.397,-0.112,0.781,25.8,-5.3,-217.6,219.19,WALKING
7950,0.691,-0.936,-0.164,1.175,9.3,-3.5,-237.3,237.51,WALKING
8000,1.014,-0.869,-0.125,1.341,-54.6,23.6,-220.9,228.77,WALKING
8050,1.207,-0.673,-0.179,1.393,15.4,7.8,-231.4,232.04,WALKING
8100,1.159,-0.766,-0.122,1.395,94.7,-20.7,-229.2,248.86,WALKING
8150,1.136,-0.910,-0.118,1.460,83.0,-16.3,-210.8,227.14,WALKING
8200,1.067,-0.896,-0.192,1.406,37.1,6.0,-180.2,184.08,WALKING
8250,0.958,-0.908,-0.273,1.348,0.2,24.6,-125.6,127.99,WALKING
8300,0.835,-0.843,-0.319,1.229,8.9,21.3,-76.6,80.00,WALKING
8350,0.747,-0.829,-0.347,1.169,16.9,10.7,-35.9,41.10,WALKING
8400,0.715,-0.833,-0.382,1.162,15.6,-0.2,-15.4,21.92,WALKING
8450,0.855,-0.869,-0.306,1.257,34.7,-17.5,16.5,42.22,WALKING
8500,1.139,-0.906,-0.395,1.508,32.6,-39.9,55.5,75.73,WALKING
8550,1.000,-0.778,-0.264,1.294,74.3,-38.9,138.3,161.74,WALKING
8600,1.195,-0.817,-0.351,1.490,18.5,-19.4,187.8,189.70,WALKING
8650,1.189,-0.655,-0.319,1.394,1.5,-20.9,188.0,189.16,WALKING
8700,1.078,-0.602,-0.340,1.281,-31.8,-31.6,155.6,161.93,WALKING
8750,0.971,-0.593,-0.258,1.167,-31.7,-39.5,141.4,150.20,WALKING
8800,0.927,-0.706,-0.226,1.187,-31.2,-51.1,138.4,150.80,WALKING
8850,0.837,-0.748,-0.187,1.138,-2.3,-43.6,148.1,154.40,WALKING
8900,0.649,-0.781,-0.212,1.037,7.9,-36.1,163.3,167.43,WALKING
8950,0.467,-0.701,-0.204,0.867,24.4,-35.9,166.4,171.97,WALKING
9000,0.285,-0.670,-0.220,0.761,-0.7,-26.2,137.6,140.07,WALKING
9050,0.168,-0.457,-0.270,0.557,-18.9,-30.1,95.9,102.27,WALKING
9100,0.111,-0.343,-0.229,0.427,-2.2,-39.7,35.9,53.57,WALKING
9150,0.218,-0.302,-0.129,0.394,-7.3,-34.1,-30.4,46.26,WALKING
9200,0.418,-0.216,-0.033,0.472,-14.6,-0.6,-128.0,128.83,WALKING
9250,0.397,-0.377,-0.212,0.587,-11.9,30.5,-183.7,186.59,WALKING
9300,0.778,-0.450,-0.211,0.923,-35.2,30.1,-212.4,217.39,WALKING
9350,1.260,-0.479,-0.180,1.360,-3.8,22.4,-257.3,258.30,WALKING
9400,1.403,-0.673,-0.084,1.558,124.1,-9.1,-273.6,300.57,WALKING
