
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.821,-0.560,-0.138,1.003,16.8,-1.3,1.5,16.92,WALKING
50,0.824,-0.561,-0.135,1.006,-1.5,-2.0,-7.9,8.29,WALKING
100,0.817,-0.575,-0.147,1.010,5.9,-8.8,-1.3,10.67,WALKING
150,0.792,-0.550,-0.150,0.976,6.3,-8.6,0.0,10.66,WALKING
200,0.774,-0.550,-0.144,0.960,5.2,-8.2,-4.5,10.70,WALKING
250,0.776,-0.561,-0.135,0.967,3.8,-7.9,-9.6,13.00,WALKING
300,0.789,-0.591,-0.135,0.995,3.3,-5.5,-6.0,8.78,WALKING
350,0.799,-0.600,-0.137,1.009,1.0,-3.5,-5.8,6.85,WALKING
400,0.810,-0.605,-0.142,1.021,-0.2,-3.5,-7.4,8.19,WALKING
450,0.788,-0.598,-0.146,1.000,-2.8,-7.7,-1.4,8.31,WALKING
500,0.784,-0.586,-0.148,0.990,-1.3,-0.2,1.8,2.23,WALKING
550,0.780,-0.571,-0.150,0.978,0.0,-3.7,0.8,3.79,WALKING
600,0.779,-0.574,-0.145,0.978,1.6,-3.5,1.5,4.13,WALKING
650,0.794,-0.567,-0.148,0.987,3.7,-5.8,4.0,7.96,WALKING
700,0.817,-0.550,-0.145,0.995,9.6,-5.8,4.8,12.20,WALKING
750,0.805,-0.539,-0.155,0.981,18.6,0.5,-1.6,18.68,WALKING
800,0.724,-0.533,-0.128,0.908,22.6,2.3,-3.0,22.91,WALKING
850,0.732,-0.537,-0.132,0.917,-1.1,13.0,-17.0,21.43,WALKING
900,0.805,-0.556,-0.182,0.995,3.0,9.3,-38.1,39.33,WALKING
950,0.815,-0.636,-0.195,1.052,6.7,11.6,-42.4,44.47,WALKING
1000,0.735,-0.671,-0.171,1.010,6.0,10.3,-22.8,25.73,WALKING
1050,0.768,-0.682,-0.196,1.046,-33.6,15.4,-16.5,40.48,WALKING
1100,0.902,-0.647,-0.292,1.148,-32.2,0.5,-20.2,38.01,WALKING
1150,0.934,-0.637,-0.290,1.167,0.8,-38.5,-5.7,38.93,WALKING
1200,0.978,-0.595,-0.210,1.164,47.7,-74.2,18.5,90.13,WALKING
1250,1.084,-0.589,-0.112,1.239,81.5,-80.2,21.4,116.33,WALKING
1300,0.886,-0.559,-0.113,1.054,96.0,-78.8,28.0,127.32,WALKING
1350,0.648,-0.588,-0.084,0.879,63.5,-59.8,52.5,101.81,WALKING
1400,0.581,-0.491,-0.115,0.769,10.7,-38.9,64.5,76.08,WALKING
1450,0.649,-0.398,-0.155,0.777,16.3,-32.9,34.6,50.45,WALKING
1500,0.784,-0.459,-0.187,0.928,35.8,-32.7,-6.0,48.86,WALKING
1550,0.706,-0.551,-0.199,0.917,28.2,-21.9,-17.2,39.63,WALKING
1600,0.661,-0.544,-0.217,0.883,1.6,-7.3,-25.2,26.28,WALKING
1650,0.703,-0.546,-0.275,0.932,0.9,-2.3,-40.1,40.18,WALKING
1700,0.707,-0.582,-0.258,0.951,18.4,-3.7,-44.2,48.02,WALKING
1750,0.696,-0.638,-0.226,0.971,-1.7,8.4,-34.6,35.65,WALKING
1800,0.672,-0.601,-0.220,0.928,-19.3,22.0,-29.0,41.20,WALKING
1850,0.654,-0.600,-0.238,0.919,-6.5,22.6,-24.5,33.96,WALKING
1900,0.669,-0.682,-0.252,0.988,4.3,14.1,-20.4,25.17,WALKING
1950,0.849,-0.741,-0.250,1.154,-11.5,1.8,-21.2,24.19,WALKING
2000,1.043,-0.848,-0.222,1.362,-17.9,6.4,-35.7,40.45,WALKING
2050,0.861,-0.752,-0.137,1.151,-23.7,1.9,15.3,28.27,WALKING
2100,0.937,-0.742,-0.144,1.204,-48.1,13.7,66.5,83.21,WALKING
2150,0.953,-0.610,-0.096,1.136,-82.6,23.8,75.7,114.54,WALKING
2200,0.898,-0.601,-0.068,1.083,-73.7,25.3,69.0,104.08,WALKING
2250,0.739,-0.644,0.158,0.993,-73.2,19.4,73.9,105.81,WALKING
