
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.796,-0.529,-0.237,0.985,1.2,-4.4,-1.2,4.72,WALKING
50,0.794,-0.550,-0.221,0.991,1.3,-2.8,-8.4,8.95,WALKING
100,0.791,-0.558,-0.212,0.991,3.8,-7.8,-3.7,9.43,WALKING
150,0.788,-0.552,-0.209,0.985,3.8,-6.8,-4.6,9.05,WALKING
200,0.787,-0.561,-0.209,0.989,5.9,-6.3,-4.0,9.51,WALKING
250,0.789,-0.563,-0.209,0.992,6.0,-6.8,-2.6,9.43,WALKING
300,0.793,-0.554,-0.220,0.992,7.4,-3.4,2.5,8.52,WALKING
350,0.789,-0.552,-0.232,0.990,6.1,-5.1,-2.8,8.43,WALKING
400,0.791,-0.545,-0.235,0.989,6.7,-6.0,-3.9,9.80,WALKING
450,0.787,-0.551,-0.230,0.988,5.9,-12.0,-0.9,13.40,WALKING
500,0.787,-0.552,-0.227,0.988,4.2,-1.4,-2.1,4.90,WALKING
550,0.789,-0.550,-0.222,0.987,6.5,-7.5,-3.3,10.46,WALKING
600,0.789,-0.547,-0.212,0.983,8.1,-8.8,-3.5,12.46,WALKING
650,0.772,-0.545,-0.211,0.968,10.2,-8.5,-2.8,13.57,WALKING
700,0.752,-0.538,-0.221,0.951,10.1,-8.1,-1.4,13.02,WALKING
750,0.719,-0.537,-0.223,0.925,14.7,-3.7,-4.4,15.78,WALKING
800,0.726,-0.592,-0.213,0.961,15.6,-0.4,-9.3,18.17,WALKING
850,0.771,-0.708,-0.201,1.066,12.0,3.4,-7.9,14.76,WALKING
900,0.756,-0.806,-0.183,1.120,12.3,7.8,4.5,15.24,WALKING
950,0.739,-0.793,-0.213,1.105,-22.4,18.4,13.7,32.06,WALKING
1000,0.687,-0.728,-0.235,1.028,-20.7,18.6,22.6,35.85,WALKING
1050,0.661,-0.675,-0.215,0.969,-25.2,14.9,29.6,41.63,WALKING
1100,0.690,-0.650,-0.183,0.965,-28.7,16.2,24.3,40.95,WALKING
1150,0.740,-0.665,-0.177,1.011,-30.8,18.6,20.5,41.41,WALKING
1200,0.774,-0.661,-0.175,1.033,-22.5,7.2,18.0,29.70,WALKING
1250,0.813,-0.691,-0.192,1.084,-12.4,5.7,21.3,25.30,WALKING
1300,0.802,-0.644,-0.239,1.056,-3.0,-5.8,24.6,25.45,WALKING
1350,0.745,-0.594,-0.244,0.984,5.3,-16.7,11.9,21.18,WALKING
1400,0.743,-0.559,-0.258,0.965,0.9,-23.3,-4.9,23.83,WALKING
1450,0.795,-0.545,-0.256,0.997,2.8,-24.3,-28.3,37.41,WALKING
1500,0.764,-0.528,-0.230,0.957,11.6,-36.1,-33.1,50.33,WALKING
1550,0.701,-0.411,-0.197,0.836,20.0,-43.7,-27.0,55.12,WALKING
1600,0.747,-0.334,-0.180,0.838,33.4,-46.3,-46.2,73.44,WALKING
