
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.779,-0.582,-0.204,0.994,2.1,-3.2,-4.1,5.61,WALKING
50,0.771,-0.580,-0.206,0.987,-0.1,-3.2,-2.3,3.94,WALKING
100,0.752,-0.568,-0.207,0.965,-1.1,-0.5,-5.1,5.24,WALKING
150,0.752,-0.580,-0.213,0.973,-0.4,0.3,-6.7,6.72,WALKING
200,0.771,-0.588,-0.211,0.992,-0.4,-1.1,-6.3,6.41,WALKING
250,0.818,-0.605,-0.208,1.038,-2.3,3.5,-7.2,8.33,WALKING
300,0.958,-0.656,-0.211,1.180,-16.9,4.7,3.1,17.81,WALKING
350,1.073,-0.632,-0.195,1.260,-48.0,31.2,9.6,58.05,WALKING
400,0.951,-0.537,-0.257,1.122,-75.3,36.4,24.8,87.24,WALKING
450,0.714,-0.436,-0.242,0.871,-37.5,25.4,25.6,52.03,WALKING
500,0.490,-0.395,-0.234,0.671,-24.7,12.1,12.6,30.25,WALKING
550,0.410,-0.391,-0.254,0.621,-4.3,-0.7,-12.3,13.05,WALKING
600,0.379,-0.447,-0.195,0.618,22.0,-21.4,-28.7,42.02,WALKING
650,0.547,-0.680,-0.231,0.903,68.6,-31.0,-30.1,81.07,WALKING
700,0.698,-1.001,-0.136,1.228,121.3,-33.1,-22.1,127.66,WALKING
750,0.759,-1.215,-0.061,1.434,92.5,-8.0,8.5,93.23,WALKING
800,0.664,-1.150,-0.183,1.340,1.1,27.0,47.3,54.47,WALKING
850,0.792,-0.983,-0.200,1.278,-16.3,26.6,64.4,71.56,WALKING
900,0.642,-0.727,-0.231,0.997,-13.3,21.1,87.1,90.60,WALKING
950,0.606,-0.573,-0.189,0.855,-39.0,22.4,54.6,70.74,WALKING
1000,0.776,-0.460,-0.147,0.914,-33.2,9.2,20.5,40.09,WALKING
1050,0.873,-0.416,-0.102,0.972,-15.1,-10.1,-25.5,31.31,WALKING
1100,0.934,-0.449,-0.092,1.040,1.4,-21.3,-56.3,60.21,WALKING
1150,0.990,-0.476,-0.033,1.099,-0.9,-15.9,-93.8,95.14,WALKING
1200,0.894,-0.546,-0.060,1.049,12.6,-10.2,-122.7,123.77,WALKING
1250,0.794,-0.609,-0.110,1.007,7.5,-2.3,-98.5,98.81,WALKING
1300,1.105,-0.609,-0.181,1.275,17.9,4.2,-74.2,76.44,WALKING
1350,0.935,-0.639,-0.229,1.155,42.0,-12.8,-51.6,67.75,WALKING
1400,0.671,-0.675,-0.257,0.986,22.1,-13.5,-18.6,31.88,WALKING
1450,0.608,-0.532,-0.333,0.874,7.9,-9.7,-10.9,16.59,WALKING
1500,0.670,-0.559,-0.366,0.946,34.6,-36.1,-8.1,50.66,WALKING
1550,0.704,-0.624,-0.285,0.983,36.3,-38.5,2.0,52.95,WALKING
1600,0.700,-0.643,-0.236,0.979,18.2,-23.8,20.0,36.02,WALKING
1650,0.749,-0.600,-0.204,0.981,-1.1,-13.4,27.6,30.70,WALKING
1700,0.794,-0.630,-0.126,1.021,10.5,-10.0,19.8,24.54,WALKING
1750,1.001,-0.773,-0.129,1.271,5.3,-9.3,-0.8,10.73,WALKING
1800,0.858,-0.840,0.004,1.201,-24.9,8.4,32.1,41.48,WALKING
1850,0.948,-0.740,-0.035,1.203,-66.8,30.3,63.6,97.08,WALKING
1900,0.997,-0.655,-0.080,1.196,-66.0,29.4,84.2,110.95,WALKING
1950,0.929,-0.545,-0.067,1.079,-47.6,23.5,108.6,120.88,WALKING
2000,0.874,-0.486,-0.087,1.004,-34.1,12.8,104.1,110.29,WALKING
2050,0.798,-0.423,-0.067,0.906,-24.7,6.0,89.9,93.42,WALKING
2100,0.729,-0.410,-0.073,0.840,-31.5,8.7,62.4,70.44,WALKING
2150,0.671,-0.324,-0.102,0.752,-29.7,10.3,23.2,39.07,WALKING
2200,0.750,-0.368,-0.157,0.850,-14.9,12.0,-32.5,37.71,WALKING
2250,0.880,-0.422,-0.178,0.992,-15.6,3.9,-66.4,68.32,WALKING
2300,1.122,-0.308,-0.213,1.183,23.7,-21.2,-109.5,114.02,WALKING
2350,0.928,-0.604,-0.199,1.125,78.9,-14.9,-98.3,126.93,WALKING
2400,1.037,-0.523,-0.278,1.194,12.1,-9.3,-71.8,73.40,WALKING
2450,0.825,-0.311,-0.253,0.917,41.4,-27.7,-72.8,88.21,WALKING
2500,0.710,-0.531,-0.162,0.901,68.1,-28.0,-74.7,104.89,WALKING
2550,0.707,-0.579,-0.170,0.930,14.0,-9.3,-74.5,76.37,WALKING
2600,0.738,-0.635,-0.207,0.995,12.1,1.8,-61.3,62.51,WALKING
2650,0.737,-0.678,-0.225,1.026,-2.6,5.4,-27.3,27.95,WALKING
2700,0.782,-0.678,-0.251,1.065,10.7,8.6,-15.8,20.93,WALKING
2750,0.760,-0.747,-0.229,1.090,18.9,7.1,4.9,20.78,WALKING
2800,1.004,-0.819,-0.283,1.326,3.6,9.6,15.1,18.25,WALKING
2850,0.919,-0.790,-0.214,1.231,19.1,1.6,54.4,57.68,WALKING
2900,0.934,-0.717,-0.103,1.182,-5.2,9.6,93.8,94.43,WALKING
2950,1.018,-0.646,-0.123,1.212,-28.3,11.7,94.4,99.24,WALKING
3000,0.947,-0.608,-0.077,1.128,-43.4,16.6,93.5,104.41,WALKING
3050,0.874,-0.568,-0.095,1.047,-51.1,19.1,110.1,122.87,WALKING
3100,0.873,-0.499,-0.128,1.014,-61.4,16.8,117.3,133.46,WALKING
3150,0.856,-0.403,-0.130,0.955,-49.8,2.8,100.1,111.84,WALKING
3200,0.813,-0.374,-0.138,0.905,-12.0,-11.9,69.8,71.82,WALKING
3250,0.863,-0.376,-0.166,0.956,4.9,-24.1,22.9,33.60,WALKING
3300,0.818,-0.339,-0.189,0.905,26.2,-35.8,-20.7,48.95,WALKING
3350,0.938,-0.446,-0.178,1.054,39.9,-37.3,-75.3,93.02,WALKING
3400,0.509,-0.485,-0.174,0.724,47.2,-20.4,-105.2,117.09,WALKING
3450,0.598,-0.586,-0.195,0.860,26.0,-17.0,-92.6,97.67,WALKING
3500,0.981,-0.477,-0.223,1.113,10.0,-44.9,-112.0,121.08,WALKING
3550,0.906,-0.591,-0.107,1.087,119.2,-74.2,-114.5,181.18,WALKING
3600,0.790,-0.784,-0.117,1.119,88.1,-46.9,-76.3,125.63,WALKING
3650,0.744,-0.689,-0.183,1.030,22.1,-13.6,-47.6,54.21,WALKING
3700,0.716,-0.607,-0.257,0.973,32.2,-7.7,-33.8,47.31,WALKING
3750,0.668,-0.665,-0.228,0.970,47.4,-8.7,-31.2,57.41,WALKING
3800,0.651,-0.720,-0.254,1.003,31.8,-0.1,-30.5,44.06,WALKING
3850,0.639,-0.777,-0.262,1.040,5.3,15.4,-23.6,28.67,WALKING
3900,1.078,-0.923,-0.356,1.463,-23.1,24.9,-24.8,42.06,WALKING
3950,0.870,-0.823,-0.218,1.217,-9.6,3.1,23.8,25.85,WALKING
4000,0.944,-0.787,-0.150,1.238,-35.8,10.2,87.0,94.63,WALKING
4050,1.138,-0.657,-0.216,1.332,-31.3,-2.4,96.5,101.48,WALKING
4100,0.956,-0.588,-0.109,1.128,-7.4,-10.5,113.6,114.32,WALKING
4150,0.820,-0.561,-0.067,0.996,-9.1,-3.5,130.6,130.96,WALKING
4200,0.800,-0.486,-0.084,0.940,-46.3,13.5,125.2,134.17,WALKING
4250,0.724,-0.390,-0.091,0.827,-38.6,7.2,105.0,112.10,WALKING
4300,0.659,-0.371,-0.127,0.767,-27.0,7.6,68.1,73.65,WALKING
4350,0.686,-0.353,-0.148,0.786,-13.1,1.5,12.8,18.38,WALKING
4400,0.776,-0.352,-0.187,0.872,10.0,-14.0,-50.3,53.16,WALKING
4450,0.858,-0.507,-0.209,1.018,41.0,-21.0,-91.9,102.80,WALKING
4500,1.039,-0.486,-0.225,1.169,46.2,-34.9,-140.8,152.24,WALKING
4550,0.752,-0.656,-0.210,1.020,55.4,-27.7,-129.4,143.46,WALKING
4600,0.988,-0.679,-0.259,1.226,2.3,-10.2,-100.1,100.64,WALKING
4650,0.920,-0.424,-0.269,1.048,31.5,-42.3,-93.6,107.44,WALKING
4700,0.763,-0.619,-0.096,0.987,102.6,-55.9,-75.8,139.27,WALKING
4750,0.697,-0.661,-0.091,0.965,79.7,-33.8,-66.0,108.86,WALKING
4800,0.643,-0.672,-0.163,0.944,50.6,-21.0,-53.0,76.23,WALKING
4850,0.637,-0.717,-0.247,0.990,33.6,-0.4,-35.5,48.88,WALKING
4900,0.670,-0.709,-0.275,1.014,18.6,7.1,-21.5,29.30,WALKING
4950,0.712,-0.764,-0.259,1.076,23.2,4.8,-14.7,27.88,WALKING
5000,1.168,-0.839,-0.293,1.468,11.5,4.0,-7.8,14.46,WALKING
5050,0.926,-0.789,-0.154,1.226,36.1,-3.7,39.1,53.35,WALKING
5100,0.903,-0.795,-0.168,1.215,12.5,20.0,125.6,127.80,WALKING
5150,1.199,-0.638,-0.277,1.386,7.9,15.2,144.8,145.81,WALKING
5200,1.033,-0.514,-0.219,1.174,6.4,-3.1,140.2,140.38,WALKING
5250,0.798,-0.533,-0.136,0.969,8.3,-7.4,142.7,143.13,WALKING
