
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.816,-0.472,-0.115,0.950,-2.5,0.7,7.7,8.13,WALKING
50,0.836,-0.472,-0.104,0.966,-9.3,4.2,-2.1,10.42,WALKING
100,0.865,-0.503,-0.094,1.005,1.1,-4.3,-1.2,4.60,WALKING
150,0.843,-0.494,-0.084,0.981,0.0,-3.3,-1.9,3.81,WALKING
200,0.835,-0.497,-0.081,0.975,1.2,-2.3,-3.9,4.68,WALKING
250,0.848,-0.508,-0.088,0.992,-1.9,-0.9,-4.1,4.61,WALKING
300,0.854,-0.527,-0.091,1.008,-1.1,1.2,-0.9,1.86,WALKING
350,0.846,-0.512,-0.102,0.994,-2.6,1.4,2.2,3.68,WALKING
400,0.847,-0.519,-0.104,0.999,0.4,-1.4,0.4,1.51,WALKING
450,0.851,-0.501,-0.104,0.993,-2.2,-6.8,3.2,7.83,WALKING
500,0.854,-0.509,-0.099,0.999,-1.9,0.7,0.5,2.09,WALKING
550,0.856,-0.489,-0.096,0.990,-16.3,-3.5,0.6,16.68,WALKING
600,0.851,-0.490,-0.095,0.987,0.2,-4.1,-0.5,4.14,WALKING
650,0.852,-0.467,-0.098,0.977,10.7,-7.9,-0.2,13.30,WALKING
700,0.854,-0.508,-0.094,0.998,8.9,-8.8,-2.4,12.74,WALKING
750,0.851,-0.490,-0.089,0.986,1.8,-4.8,-5.2,7.30,WALKING
800,0.850,-0.502,-0.094,0.992,-1.8,-2.3,-6.3,6.94,WALKING
850,0.846,-0.541,-0.064,1.006,-3.8,-2.5,-6.2,7.69,WALKING
900,0.858,-0.454,-0.112,0.977,-5.9,-4.7,-3.3,8.23,WALKING
950,0.860,-0.515,-0.081,1.006,-9.5,-16.8,-2.1,19.41,WALKING
1000,0.860,-0.483,-0.105,0.992,-20.2,-3.5,0.0,20.50,WALKING
1050,0.856,-0.487,-0.107,0.991,-19.4,-2.9,-2.1,19.73,WALKING
1100,0.861,-0.456,-0.140,0.984,-10.1,3.2,-0.9,10.63,WALKING
1150,0.830,-0.402,-0.150,0.934,29.9,-1.6,0.0,29.94,WALKING
1200,0.821,-0.472,-0.195,0.967,100.5,-15.8,2.5,101.77,WALKING
1250,0.881,-0.488,-0.205,1.028,154.8,-31.1,-0.2,157.89,WALKING
1300,0.737,-0.663,0.060,0.993,165.9,-33.4,7.2,169.38,WALKING
1350,0.739,-0.728,0.072,1.040,42.4,-10.7,-0.2,43.73,WALKING
1400,0.870,-0.689,0.101,1.114,-47.8,2.0,-11.4,49.18,WALKING
1450,0.821,-0.572,0.008,1.001,-106.1,25.4,-9.3,109.49,WALKING
