
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,-0.016,-0.978,0.077,0.981,8.4,20.7,3.9,22.68,WALKING
50,-0.010,-1.023,0.031,1.024,-1.7,19.3,4.6,19.91,WALKING
100,-0.054,-0.991,0.075,0.995,-2.5,3.7,2.7,5.22,WALKING
150,-0.058,-0.995,0.070,0.999,-3.9,4.9,2.1,6.61,WALKING
200,-0.054,-0.996,0.061,0.999,-2.3,3.0,3.9,5.43,WALKING
250,-0.049,-0.995,0.081,0.999,-2.4,4.9,3.5,6.48,WALKING
300,-0.052,-0.998,0.079,1.002,-1.2,2.2,5.6,6.14,WALKING
350,-0.051,-0.984,0.069,0.988,1.4,-0.5,2.0,2.49,WALKING
400,-0.059,-0.978,0.043,0.981,-0.2,0.2,0.9,0.94,WALKING
450,-0.081,-0.988,0.074,0.994,10.5,-7.3,6.5,14.35,WALKING
500,-0.111,-1.015,0.094,1.025,1.1,-7.9,4.6,9.21,WALKING
550,-0.111,-1.018,0.078,1.027,4.2,-11.2,3.7,12.52,WALKING
600,-0.115,-1.019,0.081,1.029,1.1,-7.2,2.7,7.77,WALKING
650,-0.111,-0.999,0.062,1.007,7.1,-11.9,2.9,14.16,WALKING
700,-0.125,-0.990,0.067,1.000,-0.6,-3.9,3.9,5.55,WALKING
750,-0.130,-0.993,0.069,1.004,-0.7,3.0,1.5,3.43,WALKING
800,-0.122,-1.014,0.095,1.026,2.4,-1.7,2.5,3.86,WALKING
850,-0.121,-1.010,0.096,1.022,0.4,-0.2,3.9,3.93,WALKING
900,-0.117,-0.996,0.090,1.007,5.8,-5.4,4.8,9.26,WALKING
950,-0.124,-0.999,0.077,1.010,3.8,-2.2,5.6,7.12,WALKING
1000,-0.126,-0.995,0.074,1.006,2.2,4.4,2.4,5.47,WALKING
1050,-0.121,-0.997,0.064,1.006,3.2,-0.1,3.9,5.05,WALKING
