
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.824,-0.533,0.000,0.981,10.2,-6.0,-1.2,11.89,WALKING
50,0.793,-0.555,-0.011,0.968,-2.9,1.1,-8.4,8.95,WALKING
100,0.848,-0.589,-0.015,1.033,0.9,-2.5,-7.7,8.15,WALKING
150,0.823,-0.609,0.011,1.024,-4.6,2.9,-4.7,7.19,WALKING
200,0.818,-0.581,-0.013,1.003,-4.3,2.1,-0.7,4.84,WALKING
250,0.834,-0.550,0.020,0.999,-5.6,5.3,1.1,7.79,WALKING
300,0.857,-0.539,0.039,1.013,-8.2,1.4,6.6,10.62,WALKING
350,0.832,-0.524,0.033,0.984,-0.5,6.0,4.4,7.46,WALKING
400,0.837,-0.522,-0.016,0.987,-4.2,2.1,-0.9,4.78,WALKING
450,0.873,-0.534,-0.018,1.024,2.4,-11.0,1.4,11.35,WALKING
500,0.850,-0.525,0.021,0.999,2.0,-3.2,0.1,3.77,WALKING
550,0.807,-0.545,0.012,0.974,4.3,-5.7,0.2,7.14,WALKING
600,0.778,-0.550,0.021,0.953,-1.6,15.8,1.3,15.93,WALKING
650,0.782,-0.577,0.029,0.972,-11.5,2.5,1.8,11.91,WALKING
700,0.755,-0.586,0.065,0.958,-26.7,5.0,3.9,27.44,WALKING
750,0.796,-0.548,0.051,0.968,-11.2,10.7,1.3,15.54,WALKING
800,0.855,-0.542,0.080,1.015,0.4,12.5,-1.4,12.58,WALKING
850,0.810,-0.560,-0.010,0.985,-7.6,18.5,2.2,20.12,WALKING
900,0.809,-0.508,-0.109,0.961,21.7,10.8,-11.3,26.74,WALKING
950,0.814,-0.596,-0.118,1.016,30.5,-15.6,-10.4,35.80,WALKING
1000,0.675,-0.599,0.016,0.903,13.2,-9.9,-6.0,17.56,WALKING
1050,0.664,-0.593,-0.047,0.891,14.0,6.6,-20.5,25.69,WALKING
1100,0.874,-0.780,-0.088,1.175,-12.9,18.8,-40.7,46.65,WALKING
1150,1.064,-0.799,-0.083,1.333,-71.6,12.1,-54.9,91.03,WALKING
1200,1.092,-0.536,0.014,1.217,-52.4,-16.5,-23.5,59.75,WALKING
1250,0.994,-0.582,-0.046,1.153,28.6,-15.4,5.8,33.00,WALKING
1300,0.885,-0.578,-0.080,1.060,32.4,-24.7,13.7,42.98,WALKING
1350,0.932,-0.543,-0.077,1.081,5.8,-43.9,-10.5,45.51,WALKING
1400,0.765,-0.642,-0.021,0.999,25.2,-52.2,0.5,57.97,WALKING
