
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
1,0.788,-0.648,-0.146,1.031,-3.1,-11.9,-16.8,20.82,WALKING
50,0.802,-0.562,-0.212,1.002,-5.9,-4.5,-18.4,19.84,WALKING
100,0.799,-0.639,-0.138,1.032,9.5,-11.8,-7.7,16.99,WALKING
150,0.808,-0.674,-0.096,1.057,4.2,-7.9,3.0,9.44,WALKING
200,0.780,-0.614,-0.116,0.999,-7.4,-5.7,11.2,14.58,WALKING
250,0.773,-0.606,-0.126,0.990,4.8,-5.9,14.7,16.55,WALKING
300,0.790,-0.596,-0.118,0.997,-0.4,1.9,20.0,20.09,WALKING
350,0.782,-0.566,-0.149,0.977,-6.1,4.9,14.2,16.21,WALKING
400,0.761,-0.559,-0.143,0.955,-8.8,7.7,9.1,14.82,WALKING
450,0.793,-0.566,-0.154,0.986,-9.8,3.0,9.5,13.97,WALKING
500,0.803,-0.564,-0.156,0.994,-5.4,9.3,3.2,11.22,WALKING
550,0.805,-0.559,-0.173,0.995,1.9,4.4,-0.8,4.86,WALKING
600,0.782,-0.561,-0.145,0.973,0.7,3.1,0.4,3.20,WALKING
650,0.752,-0.551,-0.134,0.942,6.9,0.6,-5.1,8.60,WALKING
700,0.741,-0.604,-0.134,0.965,3.1,0.0,-12.3,12.68,WALKING
750,0.762,-0.616,-0.158,0.993,-14.3,9.8,-14.6,22.66,WALKING
800,0.800,-0.646,-0.108,1.034,-21.2,16.2,-13.5,29.90,WALKING
850,0.818,-0.773,-0.227,1.148,3.2,13.5,-0.9,13.90,WALKING
900,0.774,-0.955,-0.311,1.268,22.4,-2.6,28.2,36.11,WALKING
950,0.753,-0.877,-0.265,1.186,10.5,-22.6,60.8,65.71,WALKING
1000,0.626,-0.781,-0.128,1.009,39.6,-21.5,79.9,91.73,WALKING
1050,0.586,-0.677,-0.071,0.898,8.6,-14.6,73.0,74.94,WALKING
1100,0.548,-0.497,-0.050,0.741,-12.3,-2.1,38.7,40.66,WALKING
1150,0.587,-0.448,-0.028,0.739,-20.2,-2.4,-1.2,20.38,WALKING
1200,0.655,-0.498,-0.101,0.829,1.4,-5.6,-42.6,42.99,WALKING
1250,0.758,-0.521,-0.131,0.929,-3.4,5.8,-75.1,75.40,WALKING
1300,0.868,-0.595,-0.096,1.057,-19.1,7.4,-93.6,95.82,WALKING
1350,0.974,-0.714,-0.200,1.224,-20.3,7.9,-91.4,93.96,WALKING
1400,0.980,-0.679,-0.210,1.211,21.2,-11.6,-77.0,80.70,WALKING
1450,1.004,-0.717,-0.181,1.247,31.9,-26.3,-72.5,83.46,WALKING
1500,0.827,-0.737,-0.126,1.115,25.0,-30.5,-53.0,66.06,WALKING
1550,0.621,-0.666,-0.154,0.924,-0.4,-24.6,-18.9,31.02,WALKING
1600,0.650,-0.594,-0.154,0.894,3.9,-23.1,9.1,25.13,WALKING
1650,0.928,-0.599,-0.223,1.127,23.1,-35.4,15.0,44.85,WALKING
1700,0.848,-0.578,-0.111,1.032,46.9,-35.2,29.2,65.51,WALKING
1750,0.648,-0.593,-0.140,0.889,13.2,-3.2,46.0,47.96,WALKING
1800,0.610,-0.564,-0.190,0.852,-4.4,12.0,47.8,49.48,WALKING
1850,0.602,-0.508,-0.159,0.804,-30.2,13.0,42.3,53.58,WALKING
1900,0.651,-0.480,-0.170,0.826,-24.1,14.0,22.5,35.82,WALKING
1950,0.756,-0.605,-0.171,0.983,-12.0,19.5,13.0,26.33,WALKING
2000,0.838,-0.626,-0.233,1.072,-7.7,18.5,2.1,20.15,WALKING
2050,1.009,-0.710,-0.198,1.250,-4.2,23.5,-7.8,25.11,WALKING
2100,0.872,-0.747,-0.197,1.165,-0.1,20.5,1.6,20.56,WALKING
2150,0.877,-0.739,-0.053,1.148,-57.8,22.8,34.3,70.97,WALKING
2200,1.054,-0.618,-0.089,1.225,-58.8,26.3,41.1,76.41,WALKING
2250,0.928,-0.621,-0.035,1.117,-54.9,36.4,44.9,79.72,WALKING
2300,0.794,-0.539,-0.063,0.962,-68.8,31.9,60.5,97.01,WALKING
2350,0.734,-0.452,-0.080,0.866,-61.6,28.8,63.3,92.90,WALKING
2400,0.689,-0.456,-0.060,0.828,-26.3,19.0,53.5,62.57,WALKING
2450,0.697,-0.438,-0.131,0.834,-33.8,6.8,35.7,49.63,WALKING
2500,0.737,-0.421,-0.156,0.863,-23.1,-12.6,11.7,28.80,WALKING
2550,0.876,-0.392,-0.163,0.973,24.6,-21.3,-33.7,46.85,WALKING
