
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.798,-0.591,-0.046,0.994,-0.7,1.9,1.7,2.64,WALKING
50,0.811,-0.595,-0.043,1.007,-6.7,2.0,-4.1,8.11,WALKING
100,0.793,-0.590,-0.047,0.990,0.7,-2.6,0.4,2.72,WALKING
150,0.770,-0.589,-0.031,0.970,-3.7,0.2,-3.2,4.90,WALKING
200,0.838,-0.597,-0.051,1.030,-6.2,0.5,-10.2,11.95,WALKING
250,0.829,-0.628,-0.033,1.041,3.5,3.6,-7.7,9.19,WALKING
300,0.800,-0.594,-0.046,0.997,-3.5,4.4,-5.0,7.52,WALKING
350,0.785,-0.556,-0.081,0.965,-3.8,1.1,-7.7,8.66,WALKING
400,0.798,-0.547,-0.084,0.971,7.0,-8.5,-9.3,14.41,WALKING
450,0.806,-0.574,-0.072,0.992,5.3,-17.9,-7.1,19.97,WALKING
500,0.841,-0.571,-0.073,1.019,7.7,-13.2,-7.2,16.89,WALKING
550,0.858,-0.607,-0.055,1.052,17.0,-18.8,-16.7,30.35,WALKING
600,0.810,-0.638,-0.022,1.031,7.2,-10.4,-17.7,21.76,WALKING
650,0.783,-0.651,-0.122,1.026,-3.2,-6.9,-12.1,14.29,WALKING
700,0.819,-0.627,-0.242,1.059,1.6,-21.4,-3.4,21.73,WALKING
750,0.825,-0.599,-0.218,1.043,48.5,-46.7,7.7,67.77,WALKING
800,0.804,-0.633,-0.161,1.036,52.5,-51.3,20.7,76.27,WALKING
850,0.750,-0.587,-0.116,0.959,15.4,-33.3,31.7,48.49,WALKING
900,0.852,-0.524,-0.173,1.015,-5.3,-17.8,19.8,27.15,WALKING
950,0.821,-0.520,-0.216,0.996,-9.5,-20.1,6.7,23.22,WALKING
1000,0.721,-0.515,-0.204,0.909,-2.0,-16.3,9.8,19.12,WALKING
1050,0.716,-0.483,-0.217,0.891,0.3,-18.4,-1.1,18.44,WALKING
1100,0.708,-0.508,-0.228,0.901,7.4,-12.8,-12.8,19.56,WALKING
1150,0.704,-0.552,-0.243,0.927,-1.1,-6.6,-20.5,21.56,WALKING
1200,0.689,-0.584,-0.249,0.937,3.8,-8.9,-22.6,24.58,WALKING
1250,0.695,-0.699,-0.239,1.014,-8.6,2.8,-13.9,16.58,WALKING
1300,0.650,-0.743,-0.171,1.002,-1.8,6.6,7.2,9.93,WALKING
1350,0.863,-0.810,-0.158,1.194,6.0,5.3,5.3,9.60,WALKING
1400,0.898,-0.811,-0.249,1.235,-5.3,7.7,3.8,10.09,WALKING
1450,0.608,-0.754,-0.009,0.969,-19.1,39.1,44.4,62.17,WALKING
1500,0.699,-0.617,-0.042,0.933,-72.3,59.4,44.5,103.61,WALKING
1550,0.888,-0.567,-0.059,1.055,-70.1,49.2,16.0,87.12,WALKING
1600,0.946,-0.578,-0.031,1.109,-66.6,28.4,19.4,74.96,WALKING
1650,0.852,-0.556,0.000,1.017,-52.2,22.8,40.8,70.07,WALKING
1700,0.761,-0.469,-0.011,0.894,-40.6,32.5,35.9,63.19,WALKING
1750,0.725,-0.454,-0.074,0.859,-51.8,34.9,21.0,65.90,WALKING
1800,0.745,-0.489,-0.079,0.895,-29.1,29.4,-7.7,42.08,WALKING
1850,0.823,-0.539,-0.074,0.987,-32.9,20.5,-27.4,47.47,WALKING
1900,0.871,-0.583,-0.142,1.058,-16.2,8.6,-27.9,33.39,WALKING
1950,0.874,-0.667,-0.114,1.105,-41.3,-3.6,-16.3,44.55,WALKING
2000,1.117,-0.589,-0.306,1.299,-23.2,-6.3,-25.3,34.90,WALKING
2050,0.841,-0.667,-0.216,1.095,22.4,-20.0,-19.6,35.86,WALKING
2100,0.686,-0.677,-0.211,0.987,-30.3,3.2,20.0,36.45,WALKING
2150,0.817,-0.440,-0.270,0.966,-17.5,-10.2,23.3,30.87,WALKING
2200,0.729,-0.495,-0.137,0.892,24.0,-19.0,7.3,31.47,WALKING
2250,0.685,-0.576,-0.130,0.904,1.8,-2.3,3.9,4.87,WALKING
2300,0.742,-0.520,-0.180,0.924,-19.2,10.5,2.3,22.00,WALKING
2350,0.785,-0.515,-0.208,0.962,-11.0,5.9,5.8,13.76,WALKING
2400,0.744,-0.496,-0.199,0.916,4.4,-0.4,11.7,12.51,WALKING
2450,0.649,-0.522,-0.115,0.841,13.0,11.5,15.1,23.01,WALKING
2500,0.707,-0.561,-0.127,0.911,-7.5,15.9,8.8,19.66,WALKING
2550,0.916,-0.584,-0.137,1.095,-21.7,29.4,2.9,36.66,WALKING
