
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.791,-0.529,-0.307,1.000,0.9,-2.2,4.8,5.36,WALKING
50,0.793,-0.524,-0.300,0.997,1.8,2.0,2.6,3.74,WALKING
100,0.789,-0.513,-0.290,0.985,2.9,-4.6,1.6,5.67,WALKING
150,0.788,-0.501,-0.287,0.977,2.2,-3.9,0.7,4.53,WALKING
200,0.771,-0.507,-0.284,0.965,0.6,-2.3,-2.3,3.31,WALKING
250,0.777,-0.516,-0.281,0.974,-0.6,-1.6,-7.5,7.69,WALKING
300,0.773,-0.548,-0.291,0.991,-5.6,1.3,-0.9,5.82,WALKING
350,0.788,-0.534,-0.293,0.996,-8.6,1.9,-4.4,9.85,WALKING
400,0.789,-0.534,-0.300,0.999,-1.6,-4.4,-5.4,7.15,WALKING
450,0.733,-0.542,-0.284,0.955,7.7,-12.3,-2.1,14.66,WALKING
500,0.701,-0.542,-0.269,0.926,6.2,5.1,-0.3,8.03,WALKING
550,0.790,-0.528,-0.287,0.993,-3.8,12.3,-5.5,14.00,WALKING
600,0.831,-0.513,-0.317,1.027,-6.7,10.1,-6.7,13.85,WALKING
650,0.785,-0.544,-0.341,1.014,10.4,6.7,-2.1,12.55,WALKING
700,0.787,-0.609,-0.348,1.054,0.0,1.4,1.8,2.28,WALKING
750,0.729,-0.606,-0.377,1.020,-1.4,0.0,2.6,2.95,WALKING
800,0.678,-0.624,-0.392,1.001,-0.1,-4.4,-1.9,4.79,WALKING
850,0.643,-0.671,-0.392,1.009,0.1,-2.5,2.5,3.54,WALKING
900,0.691,-0.629,-0.399,1.016,-12.0,-7.3,8.8,16.57,WALKING
950,0.803,-0.603,-0.397,1.080,-15.6,-17.5,7.2,24.52,WALKING
1000,0.961,-0.550,-0.397,1.176,-0.9,-30.8,-3.7,31.03,WALKING
1050,0.941,-0.606,-0.305,1.160,14.9,-42.1,8.6,45.48,WALKING
1100,0.900,-0.486,-0.279,1.060,10.0,-25.4,21.0,34.44,WALKING
1150,0.818,-0.308,-0.270,0.915,9.7,-25.4,18.1,32.66,WALKING
1200,0.733,-0.251,-0.246,0.813,22.4,-35.0,4.1,41.76,WALKING
1250,0.753,-0.232,-0.220,0.818,31.0,-20.8,-14.4,40.01,WALKING
1300,0.935,-0.277,-0.218,0.999,26.9,-22.1,-32.5,47.63,WALKING
1350,0.887,-0.332,-0.242,0.978,26.3,-11.7,-49.3,57.09,WALKING
1400,0.813,-0.376,-0.304,0.946,18.6,-2.2,-58.1,61.04,WALKING
1450,0.783,-0.440,-0.370,0.971,20.1,7.2,-69.5,72.71,WALKING
1500,0.777,-0.502,-0.412,1.013,23.6,0.6,-63.8,68.03,WALKING
1550,0.780,-0.581,-0.354,1.035,20.3,-6.3,-53.6,57.66,WALKING
