
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.786,-0.527,-0.276,0.986,-0.4,-0.2,-0.6,0.75,WALKING
50,0.788,-0.525,-0.277,0.987,-0.2,1.2,13.5,13.55,WALKING
100,0.789,-0.534,-0.281,0.993,3.5,-1.9,-0.7,4.04,WALKING
150,0.789,-0.531,-0.279,0.991,2.5,-3.5,-0.6,4.34,WALKING
200,0.785,-0.532,-0.280,0.989,1.5,-2.1,-0.7,2.67,WALKING
250,0.783,-0.532,-0.280,0.987,0.8,1.6,-3.9,4.29,WALKING
300,0.792,-0.541,-0.280,0.999,-0.9,0.3,-1.3,1.61,WALKING
350,0.794,-0.537,-0.280,0.999,-1.4,2.1,0.0,2.52,WALKING
400,0.786,-0.532,-0.280,0.990,1.0,14.9,-1.4,15.00,WALKING
450,0.789,-0.527,-0.278,0.989,2.5,-3.9,3.9,6.06,WALKING
500,0.791,-0.528,-0.276,0.990,-2.1,-16.1,0.5,16.24,WALKING
550,0.790,-0.528,-0.275,0.989,1.1,-3.9,-1.1,4.20,WALKING
600,0.784,-0.510,-0.287,0.978,5.1,-3.2,-0.2,6.02,WALKING
650,0.757,-0.465,-0.351,0.955,26.2,-18.3,-1.9,32.01,WALKING
700,0.692,-0.584,-0.423,0.999,42.7,-21.4,-5.3,48.06,WALKING
750,0.709,-0.734,-0.458,1.119,24.6,-17.0,9.3,31.32,WALKING
800,0.698,-0.735,-0.448,1.108,16.9,-24.2,20.5,35.94,WALKING
850,0.637,-0.755,-0.361,1.052,24.0,-29.7,30.1,48.62,WALKING
900,0.653,-0.767,-0.330,1.060,8.7,-26.7,35.6,45.34,WALKING
950,0.619,-0.669,-0.309,0.962,-2.8,-21.0,35.7,41.51,WALKING
1000,0.549,-0.618,-0.290,0.876,-9.7,-12.6,38.4,41.56,WALKING
1050,0.557,-0.527,-0.262,0.810,-13.5,-7.4,22.8,27.51,WALKING
1100,0.623,-0.500,-0.282,0.847,-5.8,-1.4,-3.8,7.07,WALKING
1150,0.681,-0.515,-0.289,0.901,-8.0,10.2,-29.5,32.22,WALKING
1200,0.768,-0.524,-0.293,0.975,-8.7,14.9,-45.5,48.66,WALKING
1250,0.938,-0.524,-0.323,1.122,-17.5,31.9,-65.1,74.58,WALKING
1300,1.073,-0.481,-0.292,1.212,10.8,18.4,-89.2,91.72,WALKING
1350,1.050,-0.454,-0.339,1.193,43.2,7.0,-102.1,111.08,WALKING
1400,0.921,-0.348,-0.250,1.016,75.6,-21.0,-114.3,138.64,WALKING
1450,0.798,-0.446,-0.205,0.937,99.7,-28.3,-88.4,136.22,WALKING
1500,0.948,-0.627,-0.208,1.155,72.8,-26.6,-71.0,105.11,WALKING
1550,0.758,-0.617,-0.243,1.007,59.9,-11.4,-46.6,76.74,WALKING
1600,0.599,-0.593,-0.340,0.909,11.4,-12.6,-26.1,31.14,WALKING
1650,0.597,-0.517,-0.372,0.873,4.8,-18.4,-4.2,19.47,WALKING
1700,0.653,-0.601,-0.455,0.997,62.0,-14.9,20.7,67.04,WALKING
1750,0.790,-0.614,-0.381,1.071,32.2,-24.8,37.1,55.03,WALKING
1800,0.912,-0.645,-0.345,1.169,6.1,-30.6,34.6,46.59,WALKING
1850,0.773,-0.697,-0.217,1.063,-7.8,-5.6,36.9,38.13,WALKING
1900,1.006,-0.722,-0.338,1.284,-90.0,33.3,32.6,101.35,WALKING
1950,0.782,-0.703,-0.260,1.083,-42.7,26.1,80.0,94.36,WALKING
2000,0.943,-0.579,-0.197,1.124,-81.9,27.5,111.0,140.66,WALKING
2050,1.075,-0.528,-0.267,1.227,-86.8,20.6,108.0,140.08,WALKING
2100,0.935,-0.428,-0.206,1.049,-52.9,3.1,111.3,123.27,WALKING
2150,0.798,-0.467,-0.200,0.946,-91.3,-0.2,117.3,148.64,WALKING
2200,0.780,-0.383,-0.203,0.892,-98.9,6.1,105.3,144.59,WALKING
2250,0.775,-0.289,-0.210,0.853,-35.9,-10.5,75.1,83.90,WALKING
2300,0.820,-0.245,0.081,0.860,43.4,-3.5,18.3,47.23,WALKING
2350,0.925,-0.306,-0.285,1.015,24.7,-16.0,-50.4,58.36,WALKING
2400,1.004,-0.392,-0.371,1.140,71.1,-28.6,-98.0,124.41,WALKING
2450,0.920,-0.336,-0.088,0.983,40.6,-9.7,-148.4,154.16,WALKING
2500,0.750,-0.748,-0.369,1.122,60.5,13.6,-128.2,142.41,WALKING
2550,1.106,-0.339,-0.492,1.257,-14.7,14.4,-133.3,134.88,WALKING
2600,0.801,-0.576,-0.269,1.023,124.0,-26.3,-109.6,167.57,WALKING
2650,0.608,-0.669,-0.328,0.962,92.6,-18.2,-68.3,116.49,WALKING
2700,0.526,-0.665,-0.217,0.875,0.7,-2.9,-41.6,41.71,WALKING
2750,0.609,-0.628,-0.306,0.927,-21.8,5.1,-29.4,36.95,WALKING
2800,0.763,-0.723,-0.333,1.103,5.0,-10.0,-21.2,23.97,WALKING
2850,0.947,-0.754,-0.349,1.260,17.5,-15.4,7.3,24.43,WALKING
2900,1.253,-0.821,-0.314,1.531,38.7,-12.8,20.5,45.63,WALKING
2950,0.777,-0.772,-0.260,1.126,-26.4,13.7,71.4,77.35,WALKING
3000,0.884,-0.742,-0.237,1.178,-49.4,21.0,124.3,135.40,WALKING
3050,0.981,-0.524,-0.221,1.134,-72.1,39.3,107.0,134.88,WALKING
3100,0.897,-0.610,-0.285,1.122,-90.6,27.3,101.8,138.99,WALKING
3150,0.826,-0.360,-0.180,0.919,-40.5,1.1,112.1,119.20,WALKING
3200,0.764,-0.430,-0.193,0.898,-106.4,-21.2,124.3,164.99,WALKING
3250,0.795,-0.334,-0.243,0.896,-123.4,3.6,109.9,165.28,WALKING
3300,0.872,-0.262,-0.251,0.944,-22.8,-26.6,61.2,70.52,WALKING
3350,1.005,-0.350,-0.036,1.065,63.2,-13.5,-7.2,65.03,WALKING
3400,1.098,-0.343,-0.231,1.173,94.3,-20.5,-90.0,131.96,WALKING
3450,0.744,-0.575,-0.428,1.033,99.2,-1.5,-104.7,144.24,WALKING
3500,0.905,-0.442,-0.459,1.107,31.9,-33.3,-87.2,98.64,WALKING
3550,0.864,-0.365,-0.208,0.961,74.8,-51.8,-94.3,131.04,WALKING
3600,0.735,-0.546,-0.218,0.941,122.0,-40.8,-103.8,165.30,WALKING
3650,0.644,-0.617,-0.203,0.915,59.0,-20.0,-97.5,115.70,WALKING
3700,0.647,-0.548,-0.218,0.875,15.6,-7.3,-82.2,83.99,WALKING
3750,0.703,-0.577,-0.344,0.972,16.7,2.8,-69.4,71.44,WALKING
3800,0.829,-0.581,-0.273,1.048,33.3,0.3,-84.2,90.55,WALKING
3850,0.868,-0.702,-0.375,1.178,45.7,-2.8,-95.2,105.64,WALKING
3900,1.170,-0.947,-0.440,1.568,15.7,8.6,-88.6,90.39,WALKING
3950,0.714,-0.839,-0.359,1.159,-40.3,-3.2,-17.0,43.86,WALKING
4000,0.922,-0.827,-0.370,1.293,-37.4,5.6,71.4,80.80,WALKING
4050,0.955,-0.709,-0.301,1.227,-26.9,-16.0,87.7,93.12,WALKING
4100,0.799,-0.662,-0.235,1.064,-13.1,-16.3,125.0,126.74,WALKING
4150,0.771,-0.589,-0.191,0.989,-46.9,-13.5,152.6,160.21,WALKING
4200,0.837,-0.503,-0.185,0.994,-69.8,-8.8,161.8,176.43,WALKING
4250,0.957,-0.412,-0.225,1.066,-72.1,-22.3,153.1,170.69,WALKING
4300,1.017,-0.332,-0.191,1.087,-39.8,-31.2,116.7,127.19,WALKING
4350,1.015,-0.297,-0.228,1.082,-29.8,-9.2,63.4,70.66,WALKING
4400,0.928,-0.350,-0.247,1.022,42.6,-10.3,24.8,50.36,WALKING
