
Recording started
time,accelX,accelY,accelZ,accelMagnitude,gyroX,gyroY,gyroZ,gyroMagnitude,activity
0,0.795,-0.338,-0.295,0.913,-5.5,-1.0,-10.6,11.98,WALKING
50,0.782,-0.489,-0.327,0.979,8.5,3.7,-1.4,9.38,WALKING
100,0.747,-0.334,-0.299,0.871,32.0,12.4,-22.0,40.76,WALKING
150,0.752,-0.286,-0.343,0.875,94.0,-2.2,-34.3,100.09,WALKING
200,0.723,-0.527,-0.164,0.910,114.2,-10.5,-38.1,120.84,WALKING
250,0.809,-0.547,-0.267,1.012,77.3,11.6,-47.0,91.21,WALKING
300,0.789,-0.621,-0.198,1.023,119.7,-17.0,-32.7,125.25,WALKING
350,0.770,-0.702,-0.092,1.046,38.4,9.2,-9.8,40.68,WALKING
400,0.874,-0.559,-0.256,1.069,20.4,3.2,0.9,20.67,WALKING
450,0.735,-0.561,-0.012,0.925,-33.3,3.6,2.4,33.58,WALKING
500,0.682,-0.391,-0.084,0.791,-52.3,18.2,-15.1,57.40,WALKING
550,0.884,-0.589,-0.065,1.064,-96.3,36.1,-18.4,104.48,WALKING
600,1.132,-0.387,-0.457,1.281,-86.8,26.8,10.0,91.39,WALKING
650,0.983,-0.223,-0.865,1.328,40.1,-46.9,28.4,67.93,WALKING
700,0.800,-0.394,-0.282,0.935,3.9,-68.1,19.3,70.89,WALKING
750,0.683,-0.626,-0.050,0.928,-69.3,-11.2,22.5,73.72,WALKING
800,0.649,-0.478,-0.509,0.953,10.7,-15.4,11.1,21.79,WALKING
850,0.593,-0.801,-0.548,1.137,64.9,-35.1,23.4,77.41,WALKING
900,0.513,-1.203,-0.635,1.454,63.1,-51.8,70.6,107.93,WALKING
950,0.528,-1.304,-0.648,1.549,4.9,-56.6,126.2,138.40,WALKING
1000,0.765,-1.082,-0.478,1.409,-36.1,-61.7,146.5,163.01,WALKING
1050,0.665,-0.744,-0.300,1.042,-2.6,-77.7,153.0,171.62,WALKING
1100,0.523,-0.507,-0.283,0.781,-1.4,-54.3,135.4,145.89,WALKING
1150,0.448,-0.385,-0.158,0.611,6.2,-21.0,83.3,86.13,WALKING
