feature,importance
accelDirectionChangeMean,0.10384571988669446
accelDirectionChangeP90,0.09733301204837744
vectorJerkP90,0.05763757186334207
vectorJerkStd,0.05574331062479414
gyroRegularity,0.05451783097346248
vectorJerkP95,0.05371121109177053
accelDirectionChangeStd,0.0525805116375843
accelHighFrequencyPowerRatio,0.04531319900377531
vectorJerkMean,0.04387763693853559
jerkMotionBandPower,0.04032439768951394
vectorJerkAbove5Rate,0.03254354882034611
impactPeakMean,0.024935759357242415
scalarJerkStd,0.023761037218424094
accelSpectralEntropy,0.023268323898304216
maxAccelJerk,0.020000310122078955
vectorJerkMax,0.018304427522620716
scalarJerkP95,0.017730677896898053
meanAccelJerk,0.016186665248981772
scalarJerkAbove3Rate,0.01597658665689114
accelMagnitudeMedian,0.015877924217981294
accelGyroCorrelation,0.014027425782323856
scalarJerkP90,0.011029993222644913
angularAccelerationP90,0.010641535205467356
accelLowBandPowerRatio,0.010453860530426797
scalarJerkAbove5Rate,0.009763295298142174
angularAccelerationMean,0.009693677622769866
dynamicAccelMean,0.009616677054752429
accelMagnitudeStd,0.00920689447922143
motionBandPower,0.00804985875092262
accelMagnitudeIQR,0.008035989307228394
gyroMagnitudeMean,0.00739723456730893
dynamicAccelRMS,0.006665543913525644
gyroMagnitudeP90,0.0064942412921071046
accelMagnitudeRange,0.005991649812788462
accelUpperBandPowerRatio,0.00594908763682105
dynamicAccelP95,0.005089117338800889
dynamicAccelP90,0.0048864139450533264
accelMagnitudeP90,0.004679016570335395
gyroMagnitudeP95,0.004127974684520201
accelMagnitudeMean,0.004055545795546412
gyroAccelStdRatio,0.003995987568595898
accelMagnitudeP95,0.0031996765249264108
gyroMagnitudeRange,0.0031202209280804163
gyroMagnitudeStd,0.0030773042724211767
accelRegularity,0.0023929486895899253
accelSecondHarmonicRatio,0.002211721373378185
jerkDominantPowerRatio,0.0020624903100311086
accelStepBandPowerRatio,0.0013463109012502405
jerkRegularity,0.0013092126176734924
impactIntervalStd,0.001217521392831979
impactIntervalCV,0.001167498731385234
dominantAccelFrequency,0.0011573310067034197
impactIntervalMean,0.001146671412605177
dominantFrequencyPowerRatio,0.0010846159387626051
jerkDominantFrequency,0.0009381597478321024
impactPeakRate,0.0006576731490149026
impactPeakCount,0.000589959906591596
