model,activityLabel,recording,recordingGroup,target,windowAccuracy,meanWalkingProbability,predictedWalkingWindows,totalWindows,recordingPrediction,recordingCorrect
Baseline RF - 10 features,ARM_SWING,01_normal_walking_cadence,ARM_SWING__01_normal_walking_cadence,0,1.0,0.04060941983464733,0,14,0,True
Baseline RF - 10 features,ARM_SWING,02_slow_cadence,ARM_SWING__02_slow_cadence,0,0.9285714285714286,0.1416944783911752,1,14,0,True
Baseline RF - 10 features,ARM_SWING,03_fast_cadence,ARM_SWING__03_fast_cadence,0,0.21428571428571427,0.6428865540040556,11,14,1,False
Baseline RF - 10 features,ARM_SWING,04_small_swing,ARM_SWING__04_small_swing,0,1.0,0.007971768707482991,0,14,0,True
Baseline RF - 10 features,ARM_SWING,05_large_swing,ARM_SWING__05_large_swing,0,0.07142857142857142,0.8393208023004857,13,14,1,False
Baseline RF - 10 features,ARM_SWING,06_relaxed_swing,ARM_SWING__06_relaxed_swing,0,1.0,0.0012714946070878275,0,14,0,True
Baseline RF - 10 features,ARM_SWING,07_irregular_swing,ARM_SWING__07_irregular_swing,0,1.0,0.11818760148856851,0,14,0,True
Baseline RF - 10 features,ARM_SWING,08_very_walking-like,ARM_SWING__08_very_walking-like,0,0.8571428571428571,0.205043342960902,2,14,0,True
Baseline RF - 10 features,ARM_SWING,09_very_walking-like,ARM_SWING__09_very_walking-like,0,1.0,0.05039835327776442,0,14,0,True
Baseline RF - 10 features,ARM_SWING,10_very_walking-like,ARM_SWING__10_very_walking-like,0,1.0,0.015499412687078233,0,14,0,True
Baseline RF - 10 features,ARM_SWING,11_walking_like_torso_bounce,ARM_SWING__11_walking_like_torso_bounce,0,0.9285714285714286,0.12974322430218227,1,14,0,True
Baseline RF - 10 features,ARM_SWING,12_walking_like_knee_bend,ARM_SWING__12_walking_like_knee_bend,0,0.7857142857142857,0.19041165882635047,3,14,0,True
Baseline RF - 10 features,ARM_SWING,13_walking_like_weight_shift,ARM_SWING__13_walking_like_weight_shift,0,1.0,0.009156396564308925,0,14,0,True
Baseline RF - 10 features,ARM_SWING,14_small_natural_swing,ARM_SWING__14_small_natural_swing,0,1.0,0.01418095238095238,0,14,0,True
Baseline RF - 10 features,ARM_SWING,15_slow_cadence_02,ARM_SWING__15_slow_cadence_02,0,1.0,0.013397989979069453,0,14,0,True
Baseline RF - 10 features,ARM_SWING,16_slow_cadence_03,ARM_SWING__16_slow_cadence_03,0,1.0,0.002365977147360126,0,14,0,True
Baseline RF - 10 features,ARM_SWING,17_fast_cadence_02,ARM_SWING__17_fast_cadence_02,0,1.0,0.221009970015436,0,14,0,True
Baseline RF - 10 features,ARM_SWING,18_fast_cadence_03,ARM_SWING__18_fast_cadence_03,0,0.5,0.4713150473134023,7,14,0,True
Baseline RF - 10 features,ARM_SWING,19_large_swing_02,ARM_SWING__19_large_swing_02,0,0.35714285714285715,0.5473070588106185,9,14,1,False
Baseline RF - 10 features,ARM_SWING,20_large_swing_03,ARM_SWING__20_large_swing_03,0,0.8571428571428571,0.3850038345411645,2,14,0,True
Baseline RF - 10 features,WALKING,01_normal,WALKING__01_normal,1,1.0,0.9000389627768373,14,14,1,True
Baseline RF - 10 features,WALKING,02_normal,WALKING__02_normal,1,1.0,0.9042574259464616,14,14,1,True
Baseline RF - 10 features,WALKING,03_slow,WALKING__03_slow,1,0.7142857142857143,0.5975658519272368,10,14,1,True
Baseline RF - 10 features,WALKING,04_fast,WALKING__04_fast,1,1.0,0.7843583585010938,14,14,1,True
Baseline RF - 10 features,WALKING,05_short_arm_swings,WALKING__05_short_arm_swings,1,1.0,0.98721750648814,14,14,1,True
Baseline RF - 10 features,WALKING,06_large_arm_swings,WALKING__06_large_arm_swings,1,0.14285714285714285,0.269579710005359,2,14,0,False
Baseline RF - 10 features,WALKING,07_relaxed_arms,WALKING__07_relaxed_arms,1,1.0,0.9652127064166461,14,14,1,True
